병원,진료과,2023년_실제,2024년_예측,변화율(%)
광주,정형외과,37401,37525.31964592315,0.3323965827735825
광주,재활의학과,76866,78491.31365090216,2.1144766878752073
광주,신경과,49909,49956.370521871955,0.0949137868359517
광주,신경외과,14066,10559.27016644747,-24.9305405485037
광주,안과,19468,18988.007456048228,-2.465546250009102
광주,치과,21737,21713.065329293313,-0.11011027605781401
광주,피부과,16289,16626.80472458386,2.073821134408869
광주,이비인후과,15686,15812.441570073128,0.8060791156007132
광주,가정의학과,29111,28810.1978183609,-1.0332938807979837
광주,외과,32093,32240.366824608765,0.459186815220657
광주,정신건강의학과,12050,12049.99843044999,-1.3025311283507342e-05
광주,소아청소년과,23702,23883.451585000035,0.7655538984053466
광주,산부인과,3880,3944.976546291391,1.674653254932759
대구,내과,0,0.0,
대구,정형외과,21393,23974.566916785363,12.067344069487042
대구,재활의학과,60650,59888.597662778535,-1.2554036887410802
대구,신경과,2479,954.9594059079756,-61.478039293748466
대구,신경외과,46104,43227.52976068686,-6.2390904028135035
대구,안과,2094,1104.975545324105,-47.23134931594532
대구,치과,10563,10482.930664808877,-0.7580169950877892
대구,피부과,18453,18315.793826014444,-0.7435439981875913
대구,이비인후과,23670,23983.247058954348,1.3233927290002037
대구,가정의학과,48723,31829.186048157895,-34.67318094502002
대구,외과,13512,13221.412429931766,-2.1505888844599883
대구,정신건강의학과,28090,29481.345634663376,4.95317064671903
대구,소아청소년과,5099,3787.064117972539,-25.72927793738892
대구,산부인과,2736,4529.655310772881,65.55757714813163
대전,내과,8164,7975.715443254624,-2.306278255087898
대전,정형외과,74438,74965.73837657664,0.7089636698684041
대전,재활의학과,32101,31714.383013752577,-1.2043767678496728
대전,신경과,36521,36382.729476281056,-0.3786055248184439
대전,신경외과,10634,11224.327412970586,5.551320415371318
대전,안과,11970,12040.403644343707,0.588167454834646
대전,치과,24153,24176.44512672566,0.09706921179836486
대전,피부과,12291,12216.981697414583,-0.6022154632285142
대전,이비인후과,13155,13274.273519295784,0.9066782158554493
대전,가정의학과,37587,35704.08864883239,-5.009474954552402
대전,외과,15291,14958.27042499044,-2.175983094693349
대전,정신건강의학과,7885,8046.472731806052,2.0478469474451777
대전,소아청소년과,150,713.1988834724738,375.4659223149825
대전,산부인과,1907,2327.0399858627525,22.026218451114445
부산,정형외과,66894,66551.888139864,-0.5114238349269093
부산,재활의학과,38785,39196.78859502196,1.0617212711665773
부산,신경과,19236,19297.94670724179,0.3220352840600444
부산,신경외과,58294,58744.52999248924,0.7728582572635928
부산,안과,30703,30928.20394880433,0.7334916744433121
부산,치과,33818,33818.67379177431,0.0019924057434161794
부산,피부과,29657,29736.352495624546,0.26756750724802086
부산,이비인후과,13373,13538.59376345402,1.238269374515969
부산,가정의학과,23531,26870.13425615737,14.190362739183923
부산,외과,6598,7153.447487501459,8.418422059737184
부산,정신건강의학과,18507,18650.876074635216,0.7774143547588283
부산,소아청소년과,11366,12527.958342432288,10.22310700714665
부산,산부인과,2357,2619.8015040459095,11.149830464400063
중앙,정형외과,103238,102994.97623223408,-0.23540146822479804
중앙,재활의학과,136220,146817.3732912627,7.779601593938253
중앙,신경과,88538,88786.52084592672,0.28069399119780886
중앙,신경외과,44204,43393.41396347187,-1.8337391107776067
중앙,안과,75989,73351.11686407326,-3.47140130272373
중앙,치과,141894,139406.86234949995,-1.7528138261660478
중앙,피부과,34721,34461.34583996804,-0.7478303045187682
중앙,이비인후과,40197,40174.026409723985,-0.05715249962936257
중앙,가정의학과,55942,54567.052173638454,-2.457809564122744
중앙,외과,29828,30227.93751142943,1.3408123623086723
중앙,정신건강의학과,43495,43151.40248056036,-0.7899701562010296
중앙,소아청소년과,1416,1415.9744024880374,-0.0018077338956629455
중앙,산부인과,18022,18020.97082590688,-0.005710654162249879
인천,내과,18753,17297.91993012164,-7.7591855696601115
인천,정형외과,25457,9204.606463064682,-63.84253265088313
인천,재활의학과,21768,25528.225159655765,17.274095735280067
인천,신경과,7911,2401.4738169706516,-69.6438652892093
인천,신경외과,3713,3712.998113760475,-5.080095677329818e-05
인천,안과,7825,6612.51852289667,-15.494970953397186
인천,치과,10415,7847.643035539319,-24.65057095017457
인천,피부과,9042,8282.045993175616,-8.404711422521391
인천,이비인후과,9629,10222.52857156984,6.163968964272917
인천,가정의학과,18791,18790.999351110582,-3.453192580433069e-06
인천,외과,3423,3422.9984565514123,-4.509052257242138e-05
