병원,진료과,예측연도,ARIMA예측,RF예측,XGB예측,최근3년평균,최근3년증감률
광주,가정의학과,2024,28810.1978183609,29429.14,29111.71875,30379.333333333332,-14.139507447279161
광주,가정의학과,2025,28657.365453388116,29429.14,29111.71875,30379.333333333332,-14.139507447279161
광주,가정의학과,2026,28579.713982724254,29429.14,29111.71875,30379.333333333332,-14.139507447279161
광주,건강관리과,2024,7025.861196196012,7169.64,7077.48681640625,7301.666666666667,-7.695317594887179
광주,건강관리과,2025,7029.383678106151,7169.64,7077.48681640625,7301.666666666667,-7.695317594887179
광주,건강관리과,2026,7029.141046720896,7169.64,7077.48681640625,7301.666666666667,-7.695317594887179
광주,내과,2024,212273.2518929069,214186.38,213640.546875,215414.33333333334,-2.1790492586928454
광주,내과,2025,211397.02672530638,214186.38,213640.546875,215414.33333333334,-2.1790492586928454
광주,내과,2026,210834.86556224187,214186.38,213640.546875,215414.33333333334,-2.1790492586928454
광주,마취과,2024,763.5895799391718,738.18,726.0184936523438,755.6666666666666,-8.448928121059268
광주,마취과,2025,754.1016229102269,738.18,726.0184936523438,755.6666666666666,-8.448928121059268
광주,마취과,2026,756.4964708635368,738.18,726.0184936523438,755.6666666666666,-8.448928121059268
광주,비뇨기과,2024,37223.33400795642,38417.3,40104.1484375,37223.333333333336,12.543847341097237
광주,비뇨기과,2025,37223.33400795642,38417.3,40104.1484375,37223.333333333336,12.543847341097237
광주,비뇨기과,2026,37223.33400795642,38417.3,40104.1484375,37223.333333333336,12.543847341097237
광주,산부인과,2024,3944.976546291391,4365.7,3879.948486328125,5043.666666666667,-43.71917609515521
광주,산부인과,2025,3950.051095717431,4365.7,3879.948486328125,5043.666666666667,-43.71917609515521
광주,산부인과,2026,3950.4474087464714,4365.7,3879.948486328125,5043.666666666667,-43.71917609515521
광주,소아청소년과,2024,23883.451585000035,23649.72,23702.55078125,23502.333333333332,3.2182206157732005
광주,소아청소년과,2025,23781.998620170332,23649.72,23702.55078125,23502.333333333332,3.2182206157732005
광주,소아청소년과,2026,23838.722864671887,23649.72,23702.55078125,23502.333333333332,3.2182206157732005
광주,신경과,2024,49956.370521871955,49770.76,49907.82421875,49604.333333333336,1.443118762576475
광주,신경과,2025,49971.02953140729,49770.76,49907.82421875,49604.333333333336,1.443118762576475
광주,신경과,2026,49975.56582427604,49770.76,49907.82421875,49604.333333333336,1.443118762576475
광주,신경외과,2024,10559.27016644747,16550.68,14066.9765625,21554.333333333332,-63.02216146586398
광주,신경외과,2025,14065.76664396196,16550.68,14066.9765625,21554.333333333332,-63.02216146586398
광주,신경외과,2026,10559.503506956786,16550.68,14066.9765625,21554.333333333332,-63.02216146586398
광주,안과,2024,18988.007456048228,17829.94,19468.55078125,17747.0,-9.78683966635774
광주,안과,2025,18547.59386494077,17829.94,19468.55078125,17747.0,-9.78683966635774
광주,안과,2026,18143.495647840846,17829.94,19468.55078125,17747.0,-9.78683966635774
광주,외과,2024,32240.366824608765,31453.56,32092.298828125,30843.333333333332,8.064516129032258
광주,외과,2025,32261.653010231785,31453.56,32092.298828125,30843.333333333332,8.064516129032258
광주,외과,2026,32264.72766220709,31453.56,32092.298828125,30843.333333333332,8.064516129032258
광주,이비인후과,2024,15812.441570073128,13946.78,15685.46875,12711.0,35.99791919542223
광주,이비인후과,2025,15785.669860537218,13946.78,15685.46875,12711.0,35.99791919542223
광주,이비인후과,2026,15791.33828454572,13946.78,15685.46875,12711.0,35.99791919542223
광주,재활의학과,2024,78491.31365090216,71650.04,76861.5703125,66433.33333333333,37.26561662916533
광주,재활의학과,2025,80116.00559475424,71650.04,76861.5703125,66433.33333333333,37.26561662916533
광주,재활의학과,2026,81740.07606936859,71650.04,76861.5703125,66433.33333333333,37.26561662916533
광주,정신과,2024,10091.999848448495,11098.6,12485.2919921875,10092.0,43.18807339449541
광주,정신과,2025,10091.999848448495,11098.6,12485.2919921875,10092.0,43.18807339449541
광주,정신과,2026,10091.999848448495,11098.6,12485.2919921875,10092.0,43.18807339449541
광주,정형외과,2024,37525.31964592315,41754.08,37407.96875,46936.333333333336,-37.07031447175812
광주,정형외과,2025,37508.90859233148,41754.08,37407.96875,46936.333333333336,-37.07031447175812
광주,정형외과,2026,37511.074964975065,41754.08,37407.96875,46936.333333333336,-37.07031447175812
광주,치과,2024,21713.065329293313,22147.12,21737.095703125,22881.666666666668,-13.690688902124283
광주,치과,2025,21708.127208188533,22147.12,21737.095703125,22881.666666666668,-13.690688902124283
광주,치과,2026,21707.108391579593,22147.12,21737.095703125,22881.666666666668,-13.690688902124283
광주,피부과,2024,16626.80472458386,16651.54,16289.2578125,17596.666666666668,-22.377888968310696
광주,피부과,2025,16834.57091021035,16651.54,16289.2578125,17596.666666666668,-22.377888968310696
광주,피부과,2026,16962.35712735979,16651.54,16289.2578125,17596.666666666668,-22.377888968310696
광주,핵의학과,2024,241.70614552366908,210.98,227.98626708984375,194.33333333333334,40.74074074074074
광주,핵의학과,2025,234.3132966830426,210.98,227.98626708984375,194.33333333333334,40.74074074074074
광주,핵의학과,2026,238.30086663011272,210.98,227.98626708984375,194.33333333333334,40.74074074074074
광주,흉부외과,2024,3064.0,1965.52,0.9062228202819824,3064.0,-100.0
광주,흉부외과,2025,3064.0,1965.52,0.9062228202819824,3064.0,-100.0
광주,흉부외과,2026,3064.0,1965.52,0.9062228202819824,3064.0,-100.0
광주,응급의학과,2024,10151.651764113985,10880.4,16087.498046875,8495.333333333334,206.72893633244377
광주,응급의학과,2025,13530.34445046685,10880.4,16087.498046875,8495.333333333334,206.72893633244377
광주,응급의학과,2026,11608.321390791616,10880.4,16087.498046875,8495.333333333334,206.72893633244377
광주,정신건강의학과,2024,12049.99843044999,12454.82,12049.8525390625,12954.666666666666,-13.477417965103754
광주,정신건강의학과,2025,12049.996860910222,12454.82,12049.8525390625,12954.666666666666,-13.477417965103754
광주,정신건강의학과,2026,12049.995291380696,12454.82,12049.8525390625,12954.666666666666,-13.477417965103754
광주,내분비내과,2024,15298.775481648696,16977.54,17058.181640625,17341.0,-7.864318893810089
광주,내분비내과,2025,13540.15644564951,16977.54,17058.181640625,17341.0,-7.864318893810089
광주,내분비내과,2026,11782.142683610124,16977.54,17058.181640625,17341.0,-7.864318893810089
광주,소화기내과,2024,37765.79235256334,32697.54,34881.6484375,31838.0,1.4395393474088292
광주,소화기내과,2025,35818.27804113587,32697.54,34881.6484375,31838.0,1.4395393474088292
광주,소화기내과,2026,37133.03887300116,32697.54,34881.6484375,31838.0,1.4395393474088292
광주,순환기내과,2024,49466.99663275686,57971.98,61473.70703125,55916.666666666664,5.922084187673381
광주,순환기내과,2025,60360.169515538466,57971.98,61473.70703125,55916.666666666664,5.922084187673381
광주,순환기내과,2026,50477.50255652906,57971.98,61473.70703125,55916.666666666664,5.922084187673381
광주,신장내과,2024,20529.96297521323,20579.36,20380.1953125,23316.666666666668,-30.552715872691337
광주,신장내과,2025,20674.271671311075,20579.36,20380.1953125,23316.666666666668,-30.552715872691337
광주,신장내과,2026,20813.139280064825,20579.36,20380.1953125,23316.666666666668,-30.552715872691337
광주,호흡기내과,2024,0.0,6433.28,2577.997314453125,15881.0,-91.37335167600578
광주,호흡기내과,2025,0.0,6433.28,2577.997314453125,15881.0,-91.37335167600578
광주,호흡기내과,2026,0.0,6433.28,2577.997314453125,15881.0,-91.37335167600578
광주,감염내과,2024,3653.9728311971703,3792.6,3205.22900390625,5578.333333333333,-63.49658314350797
광주,감염내과,2025,3729.5946002232395,3792.6,3205.22900390625,5578.333333333333,-63.49658314350797
광주,감염내과,2026,3742.3317895435457,3792.6,3205.22900390625,5578.333333333333,-63.49658314350797
광주,한의과,2024,6093.699434914403,5918.1,6093.5634765625,5753.0,1.482098251457119
광주,한의과,2025,6093.398899484826,5918.1,6093.5634765625,5753.0,1.482098251457119
광주,한의과,2026,6093.098393708342,5918.1,6093.5634765625,5753.0,1.482098251457119
광주,혈액종양내과,2024,14961.075234372216,8852.64,8393.7880859375,10244.0,-33.27768503060657
광주,혈액종양내과,2025,8397.273098978381,8852.64,8393.7880859375,10244.0,-33.27768503060657
광주,혈액종양내과,2026,14956.804915412977,8852.64,8393.7880859375,10244.0,-33.27768503060657
광주,비뇨의학과,2024,47539.968198302435,46339.52,47538.5234375,45114.666666666664,7.321037542045737
광주,비뇨의학과,2025,47539.99999987159,46339.52,47538.5234375,45114.666666666664,7.321037542045737
광주,비뇨의학과,2026,47539.96819843084,46339.52,47538.5234375,45114.666666666664,7.321037542045737
대구,가정의학과,2024,31829.186048157895,35728.4,48714.8046875,26583.333333333332,167.82651715039577
대구,가정의학과,2025,38602.21148573623,35728.4,48714.8046875,26583.333333333332,167.82651715039577
대구,가정의학과,2026,35886.78714704916,35728.4,48714.8046875,26583.333333333332,167.82651715039577
대구,건강관리과,2024,27401.47365288796,19425.16,25880.896484375,13986.333333333334,206.22264284869277
대구,건강관리과,2025,27545.034348384972,19425.16,25880.896484375,13986.333333333334,206.22264284869277
대구,건강관리과,2026,27558.62487351697,19425.16,25880.896484375,13986.333333333334,206.22264284869277
대구,내과,2024,0.0,7094.02,32.39448165893555,16311.0,-100.0
대구,내과,2025,0.0,7094.02,32.39448165893555,16311.0,-100.0
대구,내과,2026,0.0,7094.02,32.39448165893555,16311.0,-100.0
대구,마취과,2024,2656.2003165742312,2635.34,2652.001708984375,2655.0,-3.3175355450236967
대구,마취과,2025,2656.0863459812776,2635.34,2652.001708984375,2655.0,-3.3175355450236967
대구,마취과,2026,2656.089438437722,2635.34,2652.001708984375,2655.0,-3.3175355450236967
대구,비뇨기과,2024,50659.24993158723,51835.7,52387.48828125,51199.0,3.8393688925888485
대구,비뇨기과,2025,50659.24993158723,51835.7,52387.48828125,51199.0,3.8393688925888485
대구,비뇨기과,2026,50659.24993158723,51835.7,52387.48828125,51199.0,3.8393688925888485
대구,산부인과,2024,4529.655310772881,3923.0,2736.734130859375,4580.333333333333,-39.64262078093977
대구,산부인과,2025,4837.407956021418,3923.0,2736.734130859375,4580.333333333333,-39.64262078093977
대구,산부인과,2026,4890.211685973668,3923.0,2736.734130859375,4580.333333333333,-39.64262078093977
대구,소아청소년과,2024,3787.064117972539,3580.98,5098.2412109375,2397.0,474.2117117117117
대구,소아청소년과,2025,3150.821975169597,3580.98,5098.2412109375,2397.0,474.2117117117117
대구,소아청소년과,2026,2842.267212834035,3580.98,5098.2412109375,2397.0,474.2117117117117
대구,신경과,2024,954.9594059079755,13991.26,2486.696533203125,22880.666666666668,-92.69054990417219
대구,신경과,2025,2228.238679247167,13991.26,2486.696533203125,22880.666666666668,-92.69054990417219
대구,신경과,2026,1164.4611695141903,13991.26,2486.696533203125,22880.666666666668,-92.69054990417219
대구,신경외과,2024,43227.52976068686,46368.56,46104.12109375,47124.333333333336,-7.605362832922504
