병원,진료과,연도,실제값,ARIMA예측,RF예측,XGB예측,ARIMA_RMSE,RF_RMSE,XGB_RMSE
광주,순환기내과,2022,43730,51114.60251433508,51136.97,51114.996,5828.55471177389,5849.88070313404,5829.052753235297
광주,순환기내과,2023,47452,51114.205040895344,51136.97,51114.996,5828.55471177389,5849.88070313404,5829.052753235297
광주,호흡기내과,2022,11175,17609.56186290945,19647.95,18553.0,11261.700330669046,13721.0784015871,12691.53103451274
광주,호흡기내과,2023,2191,16759.74058757221,19647.95,18553.0,11261.700330669046,13721.0784015871,12691.53103451274
광주,내분비내과,2022,15972,17171.1685172995,18754.94,17664.994,1448.939373566109,3211.3272464200827,2134.3852744994283
광주,내분비내과,2023,15166,16827.57921377767,18754.94,17664.994,1448.939373566109,3211.3272464200827,2134.3852744994283
광주,감염내과,2022,2699,5532.310784880452,3957.09,5274.9985,3290.571031523179,1587.2942506353384,2892.152139843269
광주,감염내과,2023,2098,5789.620975029689,3957.09,5274.9985,3290.571031523179,1587.2942506353384,2892.152139843269
광주,소화기내과,2022,22544,28917.904955044585,29997.35,29441.0,4701.903066528512,5773.949508135656,5257.92012111253
광주,소화기내과,2023,26662,28556.497431541815,29997.35,29441.0,4701.903066528512,5773.949508135656,5257.92012111253
광주,혈액종양내과,2022,6420,8010.215319221268,7031.31,7438.9985,2018.5319367633226,1127.2525564841274,1512.0768002981858
광주,혈액종양내과,2023,5559,7929.68715734088,7031.31,7438.9985,2018.5319367633226,1127.2525564841274,1512.0768002981858
광주,신장내과,2022,14940,15506.42491671126,15183.26,15520.997,462.3943826551465,490.5800114150595,466.3171868481796
광주,신장내과,2023,15833,15506.22799393046,15183.26,15520.997,462.3943826551465,490.5800114150595,466.3171868481796
광주,일반내과,2022,10870,10542.891445985606,8472.97,9022.997,767.2602287224195,2352.9508390317046,1803.052134576258
광주,일반내과,2023,10781,9746.409979243483,8472.97,9022.997,767.2602287224195,2352.9508390317046,1803.052134576258
광주,신경과,2022,38722,40168.41250636632,37988.8,38927.99,1843.8979954719114,1024.8371285233543,263.7797080425255
광주,신경과,2023,39239,41408.748947882625,37988.8,38927.99,1843.8979954719114,1024.8371285233543,263.7797080425255
광주,소아청소년과,2022,23697,22468.09540377844,23292.44,22943.0,1348.3492840697081,319.29070390476573,659.9302993498632
광주,소아청소년과,2023,23493,22034.958478956065,23292.44,22943.0,1348.3492840697081,319.29070390476573,659.9302993498632
광주,정신건강의학과,2022,12887,13926.931568454469,13797.01,13926.997,1517.3309893705098,1392.8679298842374,1517.3516401941904
광주,정신건강의학과,2023,12050,13926.999998811936,13797.01,13926.997,1517.3309893705098,1392.8679298842374,1517.3516401941904
광주,외과,2022,9446,9482.833575787261,9524.98,9343.004,809.4263757987417,757.9432962959693,631.4206699974274
광주,외과,2023,8456,9600.108999777598,9524.98,9343.004,809.4263757987417,757.9432962959693,631.4206699974274
광주,정형외과,2022,30906,34435.27001590942,34868.04,35370.004,5153.821234432936,6087.438763683788,6567.663816000329
광주,정형외과,2023,27225,33602.146680748876,34868.04,35370.004,5153.821234432936,6087.438763683788,6567.663816000329
광주,신경외과,2022,11696,25412.302228820878,25326.38,25456.994,15758.009769179833,15672.365338531386,15802.000379698768
광주,신경외과,2023,7849,25412.963019170176,25326.38,25456.994,15758.009769179833,15672.365338531386,15802.000379698768
광주,산부인과,2022,4357,3650.377958593222,5568.05,6882.9985,834.76767137148,1469.0396361228654,2774.7673776372676
