iter	Passed	Remaining
0	1	159
1	2	128
2	3	109
3	4	115
4	6	120
5	7	113
6	7	105
7	8	99
8	9	93
9	10	90
10	11	89
11	11	86
12	12	85
13	13	84
14	14	82
15	15	80
16	16	78
17	16	77
18	17	74
19	18	74
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	25	66
28	26	64
29	27	64
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	37	51
42	37	50
43	38	49
44	39	48
45	40	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	49	40
55	50	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	67	19
78	68	18
79	72	18
80	72	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	78	10
88	80	9
89	81	9
90	81	8
91	82	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	91	1
98	92	0
99	93	0
