"연령대","순위","상병코드","상병명","건수","癤우뿰"
"59세 이하","1","E30","달리 분류되지 않은 사춘기의 장애","10074",NA
"59세 이하","2","J20","급성 기관지염","3872",NA
"59세 이하","3","J00","급성 코인두염 [감기]","3120",NA
"59세 이하","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2551",NA
"59세 이하","5","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","2111",NA
"59세 이하","6","E34","기타 내분비장애","1931",NA
"59세 이하","7","I10","본태성(원발성) 고혈압","1814",NA
"59세 이하","8","E11","인슐린-비의존 당뇨병","1778",NA
"59세 이하","9","N18","만성 콩팥(신장)기능상실","1321",NA
"59세 이하","10","J21","급성 세기관지염","1317",NA
"59세 이하","11","M48","기타 척추병증","1233",NA
"59세 이하","12","K05","치은염(잇몸염)및 치주 질환","1097",NA
"59세 이하","13","J03","급성 편도염","1093",NA
"59세 이하","14","I20","협심증","943",NA
"59세 이하","15","J30","혈관운동성 및 앨러지성 비염","855",NA
"59세 이하","16","J02","급성 인두염","813",NA
"59세 이하","17","K21","위-식도역류병","799",NA
"59세 이하","18","R52","달리 분류되지 않은 통증","789",NA
"59세 이하","19","M51","기타 추간판장애","780",NA
"59세 이하","20","K29","위염 및 십이지장염","772",NA
"60대","1","I10","본태성(원발성) 고혈압","3553",NA
"60대","2","E11","인슐린-비의존 당뇨병","3328",NA
"60대","3","M48","기타 척추병증","2825",NA
"60대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2614",NA
"60대","5","N40","전립선증식증","2499",NA
"60대","6","I20","협심증","2218",NA
"60대","7","M17","윤충증","2018",NA
"60대","8","K05","치은염(잇몸염)및 치주 질환","1781",NA
"60대","9","K21","위-식도역류병","1288",NA
"60대","10","M75","어깨병변","1119",NA
"60대","11","K29","위염 및 십이지장염","1055",NA
"60대","12","N18","만성 콩팥(신장)기능상실","967",NA
"60대","13","J00","급성 코인두염 [감기]","956",NA
"60대","14","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","955",NA
"60대","15","E78","지질단백질대사장애 및 기타 지질증","930",NA
"60대","16","F32","우울증 에피소드","877",NA
