"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","29"
"가정의학과","2","I69","뇌혈관질환의 후유증","7"
"가정의학과","3","R63","음식 및 수액 섭취에 관계된 증상 및 징후","6"
"가정의학과","4","K29","위염 및 십이지장염","5"
"가정의학과","5","E86","용적고갈","4"
"가정의학과","5","C16","위의 악성 신생물","4"
"가정의학과","7","E11","2형 당뇨병","3"
"가정의학과","7","I10","본태성(원발성) 고혈압","3"
"가정의학과","9","J18","상세불명 병원체의 폐렴","2"
"가정의학과","9","M96","달리 분류되지 않은 처치후 근골격장애","2"
"가정의학과","9","C22","간 및 간내 담관의 악성 신생물","2"
"가정의학과","9","N18","만성 신장병","2"
"가정의학과","9","G82","하반신마비 및 사지마비","2"
"가정의학과","14","C79","기타 및 상세불명 부위의 이차성 악성 신생물","1"
"가정의학과","14","J30","혈관운동성 및 앨러지성 비염","1"
"가정의학과","14","C34","기관지 및 폐의 악성 신생물","1"
"가정의학과","14","S14","목부위의 신경 및 척수의 손상","1"
"가정의학과","14","C54","자궁체부의 악성 신생물","1"
"가정의학과","14","I63","뇌경색증","1"
"가정의학과","14","C56","난소의 악성 신생물","1"
"가정의학과","14","J06","다발성 및 상세불명 부위의 급성 상기도감염","1"
"가정의학과","14","M48","기타 척추병증","1"
"가정의학과","14","J09","확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자","1"
"가정의학과","14","C15","식도의 악성 신생물","1"
"가정의학과","14","J00","급성 비인두염[감기]","1"
"가정의학과","14","G95","척수의 기타 질환","1"
"가정의학과","14","M17","무릎관절증","1"
"가정의학과","14","J20","급성 기관지염","1"
"가정의학과","14","R47","달리 분류되지 않은 언어장애","1"
"가정의학과","14","R53","병감 및 피로","1"
"가정의학과","14","C24","담도의 기타 및 상세불명 부분의 악성 신생물","1"
"가정의학과","14","C61","전립선의 악성 신생물","1"
"내과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","95"
"내과","2","E11","2형 당뇨병","53"
"내과","3","J18","상세불명 병원체의 폐렴","9"
"내과","4","C22","간 및 간내 담관의 악성 신생물","7"
"내과","5","C16","위의 악성 신생물","5"
"내과","5","C34","기관지 및 폐의 악성 신생물","5"
"내과","7","J69","고체 및 액체에 의한 폐렴","4"
"내과","8","C61","전립선의 악성 신생물","3"
"내과","8","N39","비뇨계통의 기타 장애","3"
"내과","8","D46","골수형성이상증후군","3"
"내과","11","C49","기타 결합조직 및 연조직의 악성 신생물","2"
"내과","11","J44","기타 만성 폐색성 폐질환","2"
"내과","11","D64","기타 빈혈","2"
"내과","11","C92","골수성 백혈병","2"
"내과","11","C15","식도의 악성 신생물","2"
"내과","11","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","2"
"내과","11","R53","병감 및 피로","2"
"내과","11","C71","뇌의 악성 신생물","2"
"내과","11","J15","달리 분류되지 않은 세균성 폐렴","2"
"내과","11","N17","급성 신부전","2"
"류마티스내과","1","E11","2형 당뇨병","34"
"류마티스내과","2","M05","혈청검사양성 류마티스관절염","8"
"류마티스내과","3","J18","상세불명 병원체의 폐렴","6"
"류마티스내과","4","M10","통풍","4"
"류마티스내과","4","K59","기타 기능성 장장애","4"
"류마티스내과","4","I48","심방세동 및 조동","4"
"류마티스내과","7","N39","비뇨계통의 기타 장애","3"
"류마티스내과","8","K52","기타 비감염성 위장염 및 결장염","2"
"류마티스내과","8","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","2"
"류마티스내과","8","D50","철결핍빈혈","2"
"류마티스내과","8","J44","기타 만성 폐색성 폐질환","2"
"류마티스내과","12","M51","기타 추간판장애","1"
"류마티스내과","12","C65","신우의 악성 신생물","1"
"류마티스내과","12","L03","연조직염","1"
"류마티스내과","12","D68","기타 응고결함","1"
"류마티스내과","12","C09","편도의 악성 신생물","1"
"류마티스내과","12","I50","심부전","1"
"류마티스내과","12","J40","급성인지 만성인지 명시되지 않은 기관지염","1"
"류마티스내과","12","R50","기타 및 원인미상의 열","1"
"류마티스내과","12","N10","급성 세뇨관-간질신장염","1"
"류마티스내과","12","M15","다발관절증","1"
"류마티스내과","12","J20","급성 기관지염","1"
"류마티스내과","12","I20","협심증","1"
"류마티스내과","12","C20","직장의 악성 신생물","1"
"류마티스내과","12","K27","상세불명 부위의 소화성 궤양","1"
"류마티스내과","12","K29","위염 및 십이지장염","1"
"류마티스내과","12","J09","확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자","1"
"류마티스내과","12","R53","병감 및 피로","1"
"류마티스내과","12","I88","비특이성 림프절염","1"
"류마티스내과","12","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"류마티스내과","12","E10","1형 당뇨병","1"
"비뇨의학과","1","N40","전립선증식증","78"
"비뇨의학과","2","C61","전립선의 악성 신생물","36"
"비뇨의학과","3","N21","하부요로의 결석","3"
"비뇨의학과","4","D09","기타 및 상세불명 부위의 제자리암종","2"
"비뇨의학과","4","N41","전립선의 염증성 질환","2"
"비뇨의학과","6","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","1"
"비뇨의학과","6","R31","상세불명의 혈뇨","1"
"비뇨의학과","6","N28","달리 분류되지 않은 신장 및 요관의 기타 장애","1"
"비뇨의학과","6","R33","소변정체","1"
"비뇨의학과","6","N43","음낭수종 및 정액류","1"
"소아청소년과","1","J18","상세불명 병원체의 폐렴","2"
"소아청소년과","2","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"소화기 내과","1","D12","결장, 직장, 항문 및 항문관의 양성 신생물","199"
"소화기 내과","2","K63","장의 기타 질환","181"
"소화기 내과","3","K29","위염 및 십이지장염","56"
"소화기 내과","4","E11","2형 당뇨병","39"
"소화기 내과","5","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","36"
"소화기 내과","6","K25","위궤양","31"
"소화기 내과","7","C16","위의 악성 신생물","27"
"소화기 내과","8","K21","위-식도역류병","25"
"소화기 내과","9","K59","기타 기능성 장장애","24"
"소화기 내과","10","J18","상세불명 병원체의 폐렴","23"
"소화기 내과","11","C22","간 및 간내 담관의 악성 신생물","17"
"소화기 내과","11","K70","알콜성 간질환","17"
"소화기 내과","13","K58","과민대장증후군","15"
"소화기 내과","14","B15","급성 A형간염","14"
"소화기 내과","15","K31","위 및 십이지장의 기타 질환","13"
"소화기 내과","16","J69","고체 및 액체에 의한 폐렴","12"
"소화기 내과","16","C18","결장의 악성 신생물","12"
"소화기 내과","18","K85","급성 췌장염","9"
"소화기 내과","19","J15","달리 분류되지 않은 세균성 폐렴","8"
"소화기 내과","19","K26","십이지장궤양","8"
"소화기 내과","19","K52","기타 비감염성 위장염 및 결장염","8"
"신경과","1","I63","뇌경색증","138"
"신경과","2","I69","뇌혈관질환의 후유증","50"
"신경과","3","R42","어지럼증 및 어지럼","45"
"신경과","4","G20","파킨슨병","14"
"신경과","5","G45","일과성 뇌허혈발작 및 관련 증후군","8"
"신경과","6","F03","상세불명의 치매","6"
"신경과","7","G22","달리 분류된 질환에서의 파킨슨증","5"
"신경과","7","R51","두통","5"
"신경과","9","H49","마비성 사시","3"
"신경과","10","G51","안면신경장애","2"
"신경과","10","G40","뇌전증","2"
"신경과","10","R53","병감 및 피로","2"
"신경과","13","G03","기타 및 상세불명의 원인에 의한 수막염","1"
