"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","E11","2형 당뇨병","32"
"가정의학과","2","E46","상세불명의 단백질-에너지영양실조","15"
"가정의학과","3","J18","상세불명 병원체의 폐렴","14"
"가정의학과","4","J44","기타 만성 폐색성 폐질환","11"
"가정의학과","5","I10","본태성(원발성) 고혈압","7"
"가정의학과","6","J15","달리 분류되지 않은 세균성 폐렴","6"
"가정의학과","7","C34","기관지 및 폐의 악성 신생물","6"
"가정의학과","8","E14","상세불명의 당뇨병","5"
"가정의학과","9","N18","만성 신장병","4"
"가정의학과","10","M79","달리 분류되지 않은 기타 연조직장애","4"
"가정의학과","11","R53","병감 및 피로","4"
"가정의학과","12","C56","난소의 악성 신생물","3"
"가정의학과","13","N10","급성 세뇨관-간질신장염","3"
"가정의학과","14","J20","급성 기관지염","3"
"가정의학과","15","I50","심부전","3"
"가정의학과","16","R05","기침","3"
"가정의학과","17","N39","비뇨계통의 기타 장애","2"
"가정의학과","18","M48","기타 척추병증","2"
"가정의학과","19","F32","우울에피소드","2"
"가정의학과","20","R06","호흡의 이상","2"
"비뇨의학과","1","N31","달리 분류되지 않은 방광의 신경근육기능장애","59"
"비뇨의학과","2","N40","전립선증식증","49"
"비뇨의학과","3","C67","방광의 악성 신생물","37"
"비뇨의학과","4","C61","전립선의 악성 신생물","24"
"비뇨의학과","5","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","21"
"비뇨의학과","6","N30","방광염","18"
"비뇨의학과","7","N21","하부요로의 결석","5"
"비뇨의학과","8","D09","기타 및 상세불명 부위의 제자리암종","4"
"비뇨의학과","9","N45","고환염 및 부고환염","4"
"비뇨의학과","10","N41","전립선의 염증성 질환","4"
"비뇨의학과","11","N20","신장 및 요관의 결석","3"
"비뇨의학과","12","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","3"
"비뇨의학과","13","N10","급성 세뇨관-간질신장염","2"
"비뇨의학과","14","R31","상세불명의 혈뇨","2"
