"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","E11","2형 당뇨병","21"
"가정의학과","2","M48","기타 척추병증","6"
"가정의학과","3","J18","상세불명 병원체의 폐렴","3"
"가정의학과","3","M51","기타 추간판장애","3"
"가정의학과","3","I10","본태성(원발성) 고혈압","3"
"가정의학과","6","R63","음식 및 수액 섭취에 관계된 증상 및 징후","2"
"가정의학과","6","C22","간 및 간내 담관의 악성 신생물","2"
"가정의학과","6","C61","전립선의 악성 신생물","2"
"가정의학과","6","R53","병감 및 피로","2"
"가정의학과","6","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","2"
"가정의학과","6","C18","결장의 악성 신생물","2"
"가정의학과","6","D12","결장, 직장, 항문 및 항문관의 양성 신생물","2"
"가정의학과","13","F45","신체형장애","1"
"가정의학과","13","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"가정의학과","13","D13","기타 및 부위불명의 소화계통의 양성 신생물","1"
"가정의학과","13","C83","비소포성 림프종","1"
"가정의학과","13","G53","달리 분류된 질환에서의 뇌신경장애","1"
"가정의학과","13","K85","급성 췌장염","1"
"가정의학과","13","M54","등통증","1"
"가정의학과","13","N17","급성 신부전","1"
"가정의학과","13","K62","항문 및 직장의 기타 질환","1"
"가정의학과","13","C16","위의 악성 신생물","1"
"가정의학과","13","C25","췌장의 악성 신생물","1"
"가정의학과","13","C78","호흡 및 소화기관의 이차성 악성 신생물","1"
"가정의학과","13","R10","복부 및 골반 통증","1"
"가정의학과","13","A04","기타 세균성 장감염","1"
"가정의학과","13","K72","달리 분류되지 않은 간부전","1"
"가정의학과","13","K26","십이지장궤양","1"
"가정의학과","13","K52","기타 비감염성 위장염 및 결장염","1"
"가정의학과","13","I25","만성 허혈심장병","1"
"가정의학과","13","C20","직장의 악성 신생물","1"
"가정의학과","13","G12","척수성 근위축 및 관련 증후군","1"
"가정의학과","13","J44","기타 만성 폐색성 폐질환","1"
"가정의학과","13","J45","천식","1"
"가정의학과","13","M43","기타 변형성 등병증","1"
"가정의학과","13","C09","편도의 악성 신생물","1"
"가정의학과","13","Z73","생활-관리의 어려움에 관련된 문제","1"
"가정의학과","13","S36","복강내기관의 손상","1"
"가정의학과","13","K29","위염 및 십이지장염","1"
"가정의학과","13","K25","위궤양","1"
"가정의학과","13","S20","흉부의 표재성 손상","1"
"가정의학과","13","M50","경추간판장애","1"
"가정의학과","13","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"가정의학과","13","L89","욕창궤양 및 압박부위","1"
"가정의학과","13","E66","비만","1"
"가정의학과","13","C34","기관지 및 폐의 악성 신생물","1"
"감염내과","1","N39","비뇨계통의 기타 장애","11"
"감염내과","2","N10","급성 세뇨관-간질신장염","7"
"감염내과","3","I33","급성 및 아급성 심내막염","6"
"감염내과","3","J18","상세불명 병원체의 폐렴","6"
"감염내과","5","J69","고체 및 액체에 의한 폐렴","5"
"감염내과","6","J15","달리 분류되지 않은 세균성 폐렴","4"
"감염내과","6","L03","연조직염","4"
"감염내과","6","M46","기타 염증성 척추병증","4"
"감염내과","9","R50","기타 및 원인미상의 열","3"
"감염내과","10","M86","골수염","2"
"감염내과","10","L89","욕창궤양 및 압박부위","2"
"감염내과","10","N15","기타 신세뇨관-간질질환","2"
"감염내과","10","M79","달리 분류되지 않은 기타 연조직장애","2"
"감염내과","10","K75","기타 염증성 간질환","2"
"감염내과","10","A86","상세불명의 바이러스뇌염","2"
"감염내과","16","A04","기타 세균성 장감염","1"
"감염내과","16","A18","기타 기관의 결핵","1"
"감염내과","16","A49","상세불명 부위의 세균감염","1"
"감염내과","16","I77","동맥 및 세동맥의 기타 장애","1"
"감염내과","16","K65","복막염","1"
"감염내과","16","C01","혓바닥의 악성 신생물","1"
"감염내과","16","K55","장의 혈관장애","1"
"감염내과","16","M00","화농성 관절염","1"
"감염내과","16","K57","장의 게실병","1"
"감염내과","16","L12","유사천포창","1"
"감염내과","16","A19","좁쌀결핵","1"
"감염내과","16","B44","아스페르길루스증","1"
"감염내과","16","J32","만성 부비동염","1"
"감염내과","16","G12","척수성 근위축 및 관련 증후군","1"
"감염내과","16","K11","침샘의 질환","1"
"감염내과","16","A16","세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵","1"
"감염내과","16","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"감염내과","16","B20","감염성 및 기생충성 질환을 유발한 인체면역결핍바이러스병","1"
"감염내과","16","C85","기타 및 상세불명 유형의 비호지킨림프종","1"
"감염내과","16","T85","기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증","1"
"감염내과","16","A75","발진티푸스","1"
"감염내과","16","N30","방광염","1"
