"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","C34","기관지 및 폐의 악성 신생물","81"
"가정의학과","2","C25","췌장의 악성 신생물","40"
"가정의학과","3","C22","간 및 간내 담관의 악성 신생물","37"
"가정의학과","4","C18","결장의 악성 신생물","31"
"가정의학과","5","C16","위의 악성 신생물","24"
"가정의학과","6","C61","전립선의 악성 신생물","11"
"가정의학과","7","C50","유방의 악성 신생물","10"
"가정의학과","7","C20","직장의 악성 신생물","10"
"가정의학과","9","E11","2형 당뇨병","8"
"가정의학과","9","C67","방광의 악성 신생물","8"
"가정의학과","11","C15","식도의 악성 신생물","7"
"가정의학과","11","C71","뇌의 악성 신생물","7"
"가정의학과","11","C23","담낭의 악성 신생물","7"
"가정의학과","14","C49","기타 결합조직 및 연조직의 악성 신생물","6"
"가정의학과","15","M48","기타 척추병증","5"
"가정의학과","15","C56","난소의 악성 신생물","5"
"가정의학과","17","C80","부위의 명시가 없는 악성 신생물","4"
"가정의학과","18","C83","비소포성 림프종","3"
"가정의학과","18","C24","담도의 기타 및 상세불명 부분의 악성 신생물","3"
"가정의학과","18","C19","직장구불결장접합부의 악성 신생물","3"
"감염내과","1","N10","급성 세뇨관-간질신장염","3"
"감염내과","1","B00","헤르페스바이러스[단순헤르페스] 감염","3"
"감염내과","3","A48","달리 분류되지 않은 기타 세균성 질환","2"
"감염내과","3","R50","기타 및 원인미상의 열","2"
"감염내과","3","A49","상세불명 부위의 세균감염","2"
"감염내과","6","N39","비뇨계통의 기타 장애","1"
"감염내과","6","L03","연조직염","1"
"감염내과","6","A75","발진티푸스","1"
"감염내과","6","A41","기타 패혈증","1"
"감염내과","6","N41","전립선의 염증성 질환","1"
"감염내과","6","B02","대상포진","1"
"감염내과","6","A68","재귀열","1"
"내분비내과","1","E11","2형 당뇨병","71"
"내분비내과","2","E23","뇌하수체의 기능저하 및 기타 장애","4"
"내분비내과","3","D35","기타 및 상세불명의 내분비선의 양성 신생물","2"
"내분비내과","3","G63","달리 분류된 질환에서의 다발신경병증","2"
"내분비내과","3","E14","상세불명의 당뇨병","2"
"내분비내과","6","I46","심장정지","1"
"내분비내과","6","J18","상세불명 병원체의 폐렴","1"
"내분비내과","6","C25","췌장의 악성 신생물","1"
"내분비내과","6","E16","췌장내분비의 기타 장애","1"
"비뇨의학과","1","N40","전립선증식증","492"
"비뇨의학과","2","C61","전립선의 악성 신생물","78"
"비뇨의학과","3","C67","방광의 악성 신생물","64"
"비뇨의학과","4","N20","신장 및 요관의 결석","48"
"비뇨의학과","5","N39","비뇨계통의 기타 장애","26"
"비뇨의학과","6","N21","하부요로의 결석","12"
"비뇨의학과","7","N45","고환염 및 부고환염","11"
"비뇨의학과","7","R31","상세불명의 혈뇨","11"
"비뇨의학과","9","N30","방광염","9"
"비뇨의학과","10","N43","음낭수종 및 정액류","8"
"비뇨의학과","11","N41","전립선의 염증성 질환","6"
"비뇨의학과","11","N10","급성 세뇨관-간질신장염","6"
"비뇨의학과","13","N31","달리 분류되지 않은 방광의 신경근육기능장애","5"
"비뇨의학과","13","N28","달리 분류되지 않은 신장 및 요관의 기타 장애","5"
"비뇨의학과","15","C64","신우를 제외한 신장의 악성 신생물","4"
"비뇨의학과","16","C66","요관의 악성 신생물","3"
"비뇨의학과","16","D09","기타 및 상세불명 부위의 제자리암종","3"
"비뇨의학과","16","N32","방광의 기타 장애","3"
"비뇨의학과","16","N13","폐색성 및 역류성 요로병증","3"
"비뇨의학과","20","N48","음경의 기타 장애","2"
"비뇨의학과","20","L02","피부의 농양, 종기 및 큰종기","2"
"산부인과","1","F45","신체형장애","1"
"소아청소년과","1","E30","달리 분류되지 않은 사춘기의 장애","239"
"소아청소년과","2","E34","기타 내분비장애","38"
"소아청소년과","3","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","17"
"소아청소년과","3","E23","뇌하수체의 기능저하 및 기타 장애","17"
"소아청소년과","5","R50","기타 및 원인미상의 열","16"
"소아청소년과","6","J11","바이러스가 확인되지 않은 인플루엔자","15"
"소아청소년과","7","K52","기타 비감염성 위장염 및 결장염","13"
"소아청소년과","7","J15","달리 분류되지 않은 세균성 폐렴","13"
"소아청소년과","9","J03","급성 편도염","12"
"소아청소년과","10","N39","비뇨계통의 기타 장애","10"
"소아청소년과","11","J18","상세불명 병원체의 폐렴","8"
"소아청소년과","11","J20","급성 기관지염","8"
"소아청소년과","13","B34","상세불명 부위의 바이러스감염","7"
"소아청소년과","13","J21","급성 세기관지염","7"
"소아청소년과","15","J09","확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자","6"
"소아청소년과","15","A08","바이러스성 및 기타 명시된 장감염","6"
"소아청소년과","17","N10","급성 세뇨관-간질신장염","5"
"소아청소년과","18","B08","달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염","4"
"소아청소년과","18","A04","기타 세균성 장감염","4"
"소아청소년과","20","R11","구역 및 구토","3"
"소아청소년과","20","L04","급성 림프절염","3"
"소화기내과","1","K80","담석증","66"
"소화기내과","2","C22","간 및 간내 담관의 악성 신생물","62"
"소화기내과","3","D13","기타 및 부위불명의 소화계통의 양성 신생물","60"
