"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","C34","기관지 및 폐의 악성 신생물","51"
"가정의학과","2","C22","간 및 간내 담관의 악성 신생물","28"
"가정의학과","3","C16","위의 악성 신생물","23"
"가정의학과","4","C25","췌장의 악성 신생물","17"
"가정의학과","5","C18","결장의 악성 신생물","10"
"가정의학과","6","C50","유방의 악성 신생물","9"
"가정의학과","6","C20","직장의 악성 신생물","9"
"가정의학과","8","C24","담도의 기타 및 상세불명 부분의 악성 신생물","7"
"가정의학과","8","C23","담낭의 악성 신생물","7"
"가정의학과","10","C67","방광의 악성 신생물","6"
"가정의학과","11","C61","전립선의 악성 신생물","4"
"가정의학과","11","C64","신우를 제외한 신장의 악성 신생물","4"
"가정의학과","13","C02","혀의 기타 및 상세불명 부분의 악성 신생물","3"
"가정의학과","13","C78","호흡 및 소화기관의 이차성 악성 신생물","3"
"가정의학과","13","C71","뇌의 악성 신생물","3"
"가정의학과","13","C15","식도의 악성 신생물","3"
"가정의학과","17","C11","비인두의 악성 신생물","2"
"가정의학과","17","C19","직장구불결장접합부의 악성 신생물","2"
"가정의학과","17","C75","기타 내분비선 및 관련 구조물의 악성 신생물","2"
"가정의학과","17","C90","다발골수종 및 악성 형질세포신생물","2"
"가정의학과","17","C66","요관의 악성 신생물","2"
"가정의학과","17","C45","중피종","2"
"가정의학과","17","C85","기타 및 상세불명 유형의 비호지킨림프종","2"
"가정의학과","17","C32","후두의 악성 신생물","2"
"내분비내과","1","E11","2형 당뇨병","68"
"내분비내과","2","D35","기타 및 상세불명의 내분비선의 양성 신생물","9"
"내분비내과","3","E13","기타 명시된 당뇨병","3"
"내분비내과","4","E14","상세불명의 당뇨병","2"
"내분비내과","4","E26","고알도스테론증","2"
"내분비내과","4","I20","협심증","2"
"내분비내과","7","E27","부신의 기타 장애","1"
"내분비내과","7","E04","기타 비독성 고이터","1"
"내분비내과","7","E10","1형 당뇨병","1"
"비뇨의학과","1","N40","전립선증식증","156"
"비뇨의학과","2","C61","전립선의 악성 신생물","54"
"비뇨의학과","3","C67","방광의 악성 신생물","30"
"비뇨의학과","4","N48","음경의 기타 장애","11"
"비뇨의학과","4","N41","전립선의 염증성 질환","11"
"비뇨의학과","6","N39","비뇨계통의 기타 장애","9"
"비뇨의학과","7","N45","고환염 및 부고환염","8"
"비뇨의학과","8","N43","음낭수종 및 정액류","7"
"비뇨의학과","9","N31","달리 분류되지 않은 방광의 신경근육기능장애","6"
"비뇨의학과","9","R31","상세불명의 혈뇨","6"
"비뇨의학과","11","N10","급성 세뇨관-간질신장염","4"
"비뇨의학과","12","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","3"
"비뇨의학과","12","N20","신장 및 요관의 결석","3"
"비뇨의학과","12","D30","비뇨기관의 양성 신생물","3"
"비뇨의학과","12","N49","달리 분류되지 않은 남성생식기관의 염증성 장애","3"
"비뇨의학과","16","N35","요도협착","2"
"비뇨의학과","16","N11","만성 세뇨관-간질신장염","2"
"비뇨의학과","18","E11","2형 당뇨병","1"
"비뇨의학과","18","D09","기타 및 상세불명 부위의 제자리암종","1"
"비뇨의학과","18","N18","만성 신장병","1"
"비뇨의학과","18","K05","치은염 및 치주질환","1"
"비뇨의학과","18","R10","복부 및 골반 통증","1"
"비뇨의학과","18","N21","하부요로의 결석","1"
"비뇨의학과","18","A41","기타 패혈증","1"
"비뇨의학과","18","N32","방광의 기타 장애","1"
"비뇨의학과","18","N44","고환의 염전","1"
"비뇨의학과","18","N30","방광염","1"
"소화기내과","1","K29","위염 및 십이지장염","131"
"소화기내과","2","K63","장의 기타 질환","127"
"소화기내과","3","K58","과민대장증후군","55"
"소화기내과","4","E11","2형 당뇨병","53"
"소화기내과","5","K21","위-식도역류병","50"
"소화기내과","6","C22","간 및 간내 담관의 악성 신생물","43"
"소화기내과","7","K59","기타 기능성 장장애","41"
"소화기내과","7","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","41"
"소화기내과","9","C16","위의 악성 신생물","39"
"소화기내과","10","K92","소화계통의 기타 질환","36"
"소화기내과","11","K74","간의 섬유증 및 경변증","29"
"소화기내과","12","D13","기타 및 부위불명의 소화계통의 양성 신생물","28"
"소화기내과","13","J18","상세불명 병원체의 폐렴","27"
"소화기내과","14","K70","알콜성 간질환","26"
"소화기내과","15","K25","위궤양","25"
"소화기내과","16","K56","탈장이 없는 마비성 장폐색증 및 장폐색","23"
"소화기내과","16","D64","기타 빈혈","23"
"소화기내과","18","K85","급성 췌장염","19"
"소화기내과","18","K30","기능성 소화불량","19"
"소화기내과","20","C18","결장의 악성 신생물","15"
"소화기내과","20","K80","담석증","15"
"순환기내과","1","I20","협심증","792"
"순환기내과","2","I50","심부전","160"
"순환기내과","3","I73","기타 말초혈관질환","82"
"순환기내과","4","I48","심방세동 및 조동","37"
"순환기내과","5","I10","본태성(원발성) 고혈압","33"
"순환기내과","6","I21","급성 심근경색증","19"
"순환기내과","7","Z45","이식장치의 조정 및 관리를 위하여 보건서비스와 접하고 있는 사람","16"
"순환기내과","8","I49","기타 심장부정맥","13"
"순환기내과","9","I42","심근병증","12"
"순환기내과","9","I44","방실차단 및 좌각차단","12"
"순환기내과","11","I26","폐색전증","10"
"순환기내과","12","I47","발작성 빈맥","9"
"순환기내과","12","R60","달리 분류되지 않은 부종","9"
"순환기내과","12","I80","정맥염 및 혈전정맥염","9"
"순환기내과","15","I71","대동맥동맥류 및 박리","8"
"순환기내과","16","I31","심장막의 기타 질환","6"
"순환기내과","16","R55","실신 및 허탈","6"
"순환기내과","16","I11","고혈압성 심장병","6"
"순환기내과","19","I25","만성 허혈심장병","5"
"순환기내과","19","R06","호흡의 이상","5"
"순환기내과","19","R07","목구멍 및 가슴의 통증","5"
"순환기내과","19","I70","죽상경화증","5"
"신경과","1","I63","뇌경색증","31"
"신경과","2","R42","어지럼증 및 어지럼","4"
"신경과","3","I69","뇌혈관질환의 후유증","3"
"신경과","3","G45","일과성 뇌허혈발작 및 관련 증후군","3"
"신경과","3","G25","기타 추체외로 및 운동 장애","3"
"신경과","6","R51","두통","2"
