"진료과","순위","질병코드","상병명","실인원"
"내과","1","E11","인슐린-비의존 당뇨병","112"
"내과","2","J21","급성 세기관지염","41"
"내과","3","J44","기타 만성 폐색성 폐질환","30"
"내과","4","J45","천식","23"
"내과","5","K56","탈장이 없는 마비성 장폐색증 및 장폐색","21"
"내과","6","I10","본태성(원발성) 고혈압","13"
"내과","7","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","11"
"내과","8","J18","상세불명 병원체의 폐렴","8"
"내과","9","J90","달리 분류되지 않은 흉막삼출액","7"
"내과","10","K29","위염 및 십이지장염","6"
"내과","11","N39","비뇨계통의 기타 장애","5"
"내과","12","C25","췌장의 악성 신생물","5"
"내과","13","I89","림프관 및 림프절의 기타 비감염성 장애","5"
"내과","14","J15","달리 분류되지 않은 세균성 폐렴","4"
"내과","15","N17","급성 신부전","4"
"내과","16","K70","알콜성 간질환","4"
"내과","17","D59","후천성 용혈성 빈혈","4"
"내과","18","C18","결장의 악성 신생물","4"
"내과","19","M05","혈청검사양성 류마티스관절염","3"
"내과","20","K64","치핵 및 항문주위정맥혈전증","3"
"소화기내과","1","E11","인슐린-비의존 당뇨병","25"
"소화기내과","2","J44","기타 만성 폐색성 폐질환","20"
"소화기내과","3","K29","위염 및 십이지장염","14"
"소화기내과","4","C16","위의 악성 신생물","12"
"소화기내과","5","K59","기타 기능성 장장애","8"
"소화기내과","6","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","7"
"소화기내과","7","R63","음식 및 수액 섭취에 관계된 증상 및 징후","6"
"소화기내과","8","I10","본태성(원발성) 고혈압","5"
"소화기내과","9","K63","장의 기타 질환","4"
"소화기내과","10","K74","간의 섬유증 및 경변증","4"
"소화기내과","11","K21","위-식도역류병","4"
"소화기내과","12","J86","농흉","4"
"소화기내과","13","I50","심부전","3"
"소화기내과","14","C22","간 및 간내 담관의 악성 신생물","3"
"소화기내과","15","E14","상세불명의 당뇨병","2"
"소화기내과","16","K56","탈장이 없는 마비성 장폐색증 및 장폐색","2"
"소화기내과","17","C34","기관지 및 폐의 악성 신생물","2"
"소화기내과","18","J18","상세불명 병원체의 폐렴","2"
"소화기내과","19","K57","장의 게실병","2"
"소화기내과","20","M48","기타 척추병증","2"
"가정의학과","1","E11","인슐린-비의존 당뇨병","46"
"가정의학과","2","I10","본태성(원발성) 고혈압","20"
"가정의학과","3","J44","기타 만성 폐색성 폐질환","3"
"가정의학과","4","R53","병감 및 피로","1"
"가정의학과","5","K59","기타 기능성 장장애","1"
"가정의학과","6","T93","다리손상의 후유증","1"
"가정의학과","7","G31","달리 분류되지 않은 신경계통의 기타 퇴행성 질환","1"
"가정의학과","8","C34","기관지 및 폐의 악성 신생물","1"
"가정의학과","9","I11","고혈압성 심장병","1"
"신경과","1","I63","뇌경색증","10"
"신경과","2","G45","일과성 뇌허혈발작 및 관련 증후군","4"
"신경과","3","I67","기타 뇌혈관질환","1"
"신경과","4","I65","뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착","1"
"신경과","5","F06","뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애","1"
"신경과","6","G44","기타 두통증후군","1"
"안과","1","H25","노년백내장","264"
"안과","2","H26","기타 백내장","1"
"이비인후과","1","J34","코 및 비동의 기타 장애","9"
"이비인후과","2","J31","만성 비염, 비인두염 및 인두염","9"
"이비인후과","3","J32","만성 부비동염","6"
"이비인후과","4","R42","어지럼증 및 어지럼","5"
"이비인후과","5","H81","전정기능의 장애","3"
"이비인후과","6","H90","전음성 및 감각신경성 청력소실","3"
"이비인후과","7","H66","화농성 및 상세불명의 중이염","3"
