부서명,순위,질병코드,상병명,실인원
가정의학과,1,C34,기관지 및 폐의 악성 신생물,62
가정의학과,2,C22,간 및 간내 담관의 악성 신생물,40
가정의학과,3,C16,위의 악성 신생물,38
가정의학과,4,C25,췌장의 악성 신생물,23
가정의학과,5,C18,결장의 악성 신생물,12
가정의학과,6,C61,전립선의 악성 신생물,9
가정의학과,7,C67,방광의 악성 신생물,8
가정의학과,8,C50,유방의 악성 신생물,6
가정의학과,9,C83,비소포성 림프종,5
가정의학과,9,C49,기타 결합조직 및 연조직의 악성 신생물,5
가정의학과,9,C56,난소의 악성 신생물,5
가정의학과,9,C23,담낭의 악성 신생물,5
가정의학과,9,C17,소장의 악성 신생물,5
가정의학과,9,C15,식도의 악성 신생물,5
가정의학과,15,C71,뇌의 악성 신생물,4
가정의학과,15,C20,직장의 악성 신생물,4
가정의학과,17,C24,담도의 기타 및 상세불명 부분의 악성 신생물,3
가정의학과,17,C80,부위의 명시가 없는 악성 신생물,3
가정의학과,17,G81,편마비,3
가정의학과,17,C65,신우의 악성 신생물,3
가정의학과,17,E11,2형 당뇨병,3
감염내과,1,U07,U07의 응급사용,273
감염내과,2,R50,기타 및 원인미상의 열,16
감염내과,3,N10,급성 세뇨관-간질신장염,9
감염내과,4,N39,비뇨계통의 기타 장애,8
감염내과,5,N30,방광염,6
감염내과,6,L03,연조직염,4
감염내과,6,A49,상세불명 부위의 세균감염,4
감염내과,6,A41,기타 패혈증,4
감염내과,9,K83,담도의 기타 질환,2
감염내과,9,R10,복부 및 골반 통증,2
감염내과,9,J18,상세불명 병원체의 폐렴,2
감염내과,9,A75,발진티푸스,2
감염내과,13,T14,상세불명의 신체부위의 손상,1
감염내과,13,B95,다른 장에서 분류된 질환의 원인으로서의 연쇄알균 및 포도알균,1
감염내과,13,C95,상세불명 세포형의 백혈병,1
감염내과,13,K81,담낭염,1
감염내과,13,R39,비뇨계통의 기타 증상 및 징후,1
감염내과,13,E11,2형 당뇨병,1
감염내과,13,I33,급성 및 아급성 심내막염,1
감염내과,13,J69,고체 및 액체에 의한 폐렴,1
감염내과,13,G06,두개내 및 척추내 농양 및 육아종,1
감염내과,13,R57,달리 분류되지 않은 쇼크,1
감염내과,13,C22,간 및 간내 담관의 악성 신생물,1
감염내과,13,D72,백혈구의 기타 장애,1
내분비내과,1,E11,2형 당뇨병,50
내분비내과,2,D35,기타 및 상세불명의 내분비선의 양성 신생물,2
내분비내과,2,E14,상세불명의 당뇨병,2
내분비내과,4,E13,기타 명시된 당뇨병,1
내분비내과,4,D50,철결핍빈혈,1
비뇨의학과,1,N40,전립선증식증,515
비뇨의학과,2,C61,전립선의 악성 신생물,120
비뇨의학과,3,C67,방광의 악성 신생물,72
비뇨의학과,4,N20,신장 및 요관의 결석,62
비뇨의학과,5,N41,전립선의 염증성 질환,17
비뇨의학과,6,N35,요도협착,16
비뇨의학과,6,N39,비뇨계통의 기타 장애,16
