부서명,순위,질병코드,상병명,실인원
가정의학과,1,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,190
가정의학과,2,C34,기관지 및 폐의 악성 신생물,3
가정의학과,3,C16,위의 악성 신생물,2
가정의학과,4,C83,비소포성 림프종,1
내과,1,E11,2형 당뇨병,45
내과,2,N18,만성 신장병,29
내과,3,J18,상세불명 병원체의 폐렴,22
내과,4,D13,기타 및 부위불명의 소화계통의 양성 신생물,20
내과,5,N17,급성 신부전,8
내과,6,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",6
내과,6,K25,위궤양,6
내과,6,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,6
내과,9,J44,기타 만성 폐쇄성 폐질환,5
내과,9,K59,기타 기능성 장장애,5
내과,9,J69,고체 및 액체에 의한 폐렴,5
내과,9,N10,급성 세뇨관-간질신장염,5
내과,13,I10,본태성(원발성) 고혈압,4
내과,13,K70,알코올성 간질환,4
내과,13,C25,췌장의 악성 신생물,4
내과,16,N39,비뇨계통의 기타 장애,3
내과,16,K22,식도의 기타 질환,3
내과,16,K29,위염 및 십이지장염,3
내과,16,C22,간 및 간내 담관의 악성 신생물,3
내과,16,C18,결장의 악성 신생물,3
내과,16,K83,담도의 기타 질환,3
내분비내과,1,E11,2형 당뇨병,67
내분비내과,2,J18,상세불명 병원체의 폐렴,7
내분비내과,3,J45,천식,5
내분비내과,4,N39,비뇨계통의 기타 장애,2
내분비내과,4,R50,기타 및 원인미상의 열,2
내분비내과,4,E87,"수분, 전해질 및 산-염기균형의 기타 장애",2
내분비내과,4,C34,기관지 및 폐의 악성 신생물,2
내분비내과,4,J44,기타 만성 폐쇄성 폐질환,2
내분비내과,9,I67,기타 뇌혈관질환,1
내분비내과,9,J69,고체 및 액체에 의한 폐렴,1
내분비내과,9,E03,기타 갑상선기능저하증,1
내분비내과,9,L03,연조직염,1
내분비내과,9,D35,기타 및 상세불명의 내분비선의 양성 신생물,1
내분비내과,9,E10,1형 당뇨병,1
내분비내과,9,D64,기타 빈혈,1
내분비내과,9,M48,기타 척추병증,1
내분비내과,9,N17,급성 신부전,1
내분비내과,9,K30,기능성 소화불량,1
내분비내과,9,K26,십이지장궤양,1
비뇨의학과,1,Z03,"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",122
비뇨의학과,2,C61,전립선의 악성 신생물,96
비뇨의학과,3,N40,전립선증식증,33
비뇨의학과,4,D09,기타 및 상세불명 부위의 제자리암종,18
비뇨의학과,5,N39,비뇨계통의 기타 장애,16
비뇨의학과,6,N43,음낭수종 및 정액류,9
비뇨의학과,6,C67,방광의 악성 신생물,9
비뇨의학과,8,N10,급성 세뇨관-간질신장염,6
비뇨의학과,9,N35,요도협착,5
비뇨의학과,9,N21,하부요로의 결석,5
비뇨의학과,11,N30,방광염,4
비뇨의학과,12,Z48,기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,3
비뇨의학과,12,N20,신장 및 요관의 결석,3
비뇨의학과,12,R31,상세불명의 혈뇨,3
비뇨의학과,15,D41,비뇨기관의 행동양식 불명 또는 미상의 신생물,2
비뇨의학과,15,J18,상세불명 병원체의 폐렴,2
비뇨의학과,15,N32,방광의 기타 장애,2
비뇨의학과,18,I86,기타 부위의 정맥류,1
비뇨의학과,18,N19,상세불명의 신부전,1
비뇨의학과,18,T81,달리 분류되지 않은 처치의 합병증,1
비뇨의학과,18,Z54,회복기,1
비뇨의학과,18,B39,히스토플라스마증,1
비뇨의학과,18,N17,급성 신부전,1
비뇨의학과,18,C68,기타 및 상세불명의 비뇨기관의 악성 신생물,1
비뇨의학과,18,R33,소변정체,1
비뇨의학과,18,T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",1
비뇨의학과,18,C64,신우를 제외한 신장의 악성 신생물,1
비뇨의학과,18,N48,음경의 기타 장애,1
소화기내과,1,E11,2형 당뇨병,43
소화기내과,2,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,35
소화기내과,3,D13,기타 및 부위불명의 소화계통의 양성 신생물,32
소화기내과,4,J18,상세불명 병원체의 폐렴,25
소화기내과,4,U07,U07의 응급사용,25
소화기내과,6,J44,기타 만성 폐쇄성 폐질환,16
소화기내과,7,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",14
소화기내과,8,C34,기관지 및 폐의 악성 신생물,11
소화기내과,8,C16,위의 악성 신생물,11
소화기내과,10,N10,급성 세뇨관-간질신장염,9
소화기내과,11,C22,간 및 간내 담관의 악성 신생물,8
소화기내과,11,K25,위궤양,8
소화기내과,13,K21,위-식도역류병,7
소화기내과,13,K80,담석증,7
소화기내과,13,I10,본태성(원발성) 고혈압,7
소화기내과,16,K59,기타 기능성 장장애,6
소화기내과,16,D50,철결핍빈혈,6
소화기내과,16,K58,과민대장증후군,6
소화기내과,19,R10,복부 및 골반 통증,5
소화기내과,19,J69,고체 및 액체에 의한 폐렴,5
소화기내과,19,C25,췌장의 악성 신생물,5
순환기내과,1,I20,협심증,614
순환기내과,2,I48,심방세동 및 조동,137
순환기내과,3,R07,목구멍 및 가슴의 통증,110
순환기내과,4,I50,심부전,65
순환기내과,5,E11,2형 당뇨병,44
순환기내과,6,I70,죽상경화증,40
순환기내과,7,I77,동맥 및 세동맥의 기타 장애,30
순환기내과,8,I21,급성 심근경색증,25
순환기내과,9,I10,본태성(원발성) 고혈압,23
순환기내과,10,I49,기타 심장부정맥,22
순환기내과,10,U07,U07의 응급사용,22
순환기내과,10,J18,상세불명 병원체의 폐렴,22
순환기내과,13,I25,만성 허혈심장병,21
순환기내과,14,I47,발작성 빈맥,20
순환기내과,15,I73,기타 말초혈관질환,17
순환기내과,16,I71,대동맥동맥류 및 박리,15
순환기내과,16,I44,방실차단 및 좌각차단,15
순환기내과,18,I11,고혈압성 심장병,13
