진료과,순위,질병코드,주진단명,실인원
내과,1,N18,만성 신장병,12
내과,2,E11,2형 당뇨병,4
내과,3,Z51,기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,4
내과,4,J15,달리 분류되지 않은 세균성 폐렴,3
내과,5,N10,급성 세뇨관-간질신장염,3
내과,6,N17,급성 신부전,3
내과,7,E16,췌장내분비의 기타 장애,2
내과,8,E87,"수분, 전해질 및 산-염기균형의 기타 장애",2
내과,9,J18,상세불명 병원체의 폐렴,2
내과,10,R57,달리 분류되지 않은 쇼크,2
내과,11,A75,발진티푸스,1
내과,12,C05,구개의 악성 신생물,1
내과,13,C16,위의 악성 신생물,1
내과,14,C55,자궁의 상세불명 부분의 악성 신생물,1
내과,15,C61,전립선의 악성 신생물,1
내과,16,E14,상세불명의 당뇨병,1
내과,17,I11,고혈압성 심장병,1
내과,18,I50,심부전,1
내과,19,I63,뇌경색증,1
내과,20,J44,기타 만성 폐쇄성 폐질환,1
소화기내과,1,D12,"결장, 직장, 항문 및 항문관의 양성 신생물",340
소화기내과,2,K63,장의 기타 질환,247
소화기내과,3,K29,위염 및 십이지장염,72
소화기내과,4,A09,감염성 및 상세불명 기원의 기타 위장염 및 결장염,54
소화기내과,5,K59,기타 기능성 장장애,50
소화기내과,6,E11,2형 당뇨병,49
소화기내과,7,K25,위궤양,30
소화기내과,8,J18,상세불명 병원체의 폐렴,29
소화기내과,9,C16,위의 악성 신생물,27
소화기내과,10,K58,과민대장증후군,27
소화기내과,11,C22,간 및 간내 담관의 악성 신생물,24
소화기내과,12,K21,위-식도역류병,21
소화기내과,13,K30,기능성 소화불량,20
소화기내과,14,K70,알코올성 간질환,17
소화기내과,15,K92,소화계통의 기타 질환,11
소화기내과,16,Z08,악성 신생물에 대한 치료후 추적검사,11
소화기내과,17,K56,탈장이 없는 마비성 장폐색증 및 장폐색,9
소화기내과,18,D50,철결핍빈혈,8
소화기내과,19,D64,기타 빈혈,8
소화기내과,20,J15,달리 분류되지 않은 세균성 폐렴,8
심장내과,1,I20,협심증,97
심장내과,2,R07,목구멍 및 가슴의 통증,21
심장내과,3,Z95,심장 및 혈관 삽입물 및 이식편의 존재,21
심장내과,4,R06,호흡의 이상,18
심장내과,5,I25,만성 허혈심장병,13
심장내과,6,I10,본태성(원발성) 고혈압,3
심장내과,7,I48,심방세동 및 조동,2
심장내과,8,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,2
심장내과,9,C40,사지의 골 및 관절연골의 악성 신생물,1
심장내과,10,I21,급성 심근경색증,1
심장내과,11,I45,기타 전도장애,1
심장내과,12,I50,심부전,1
심장내과,13,J18,상세불명 병원체의 폐렴,1
심장내과,14,R53,병감 및 피로,1
심장내과,15,R55,실신 및 허탈,1
호흡기내과,1,U07,U07의 응급사용,904
호흡기내과,2,J18,상세불명 병원체의 폐렴,46
호흡기내과,3,J44,기타 만성 폐쇄성 폐질환,19
호흡기내과,4,C34,기관지 및 폐의 악성 신생물,5
호흡기내과,5,J90,달리 분류되지 않은 흉막삼출액,4
호흡기내과,6,I50,심부전,3
호흡기내과,7,J45,천식,3
호흡기내과,8,J93,기흉,3
호흡기내과,9,J98,기타 호흡장애,3
호흡기내과,10,J47,기관지확장증,2
호흡기내과,11,N39,비뇨계통의 기타 장애,2
호흡기내과,12,A15,세균학적 및 조직학적으로 확인된 호흡기결핵,1
호흡기내과,13,A16,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,1
호흡기내과,14,D50,철결핍빈혈,1
호흡기내과,15,G93,뇌의 기타 장애,1
호흡기내과,16,I26,폐색전증,1
호흡기내과,17,J00,급성 비인두염[감기],1
