"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","C34","기관지 및 폐의 악성 신생물","44"
"가정의학과","2","C22","간 및 간내 담관의 악성 신생물","30"
"가정의학과","3","C25","췌장의 악성 신생물","20"
"가정의학과","4","C16","위의 악성 신생물","19"
"가정의학과","5","C18","결장의 악성 신생물","10"
"가정의학과","6","C61","전립선의 악성 신생물","9"
"가정의학과","6","C20","직장의 악성 신생물","9"
"가정의학과","8","C19","직장구불결장접합부의 악성 신생물","7"
"가정의학과","8","C67","방광의 악성 신생물","7"
"가정의학과","10","C24","담도의 기타 및 상세불명 부분의 악성 신생물","6"
"가정의학과","10","C15","식도의 악성 신생물","6"
"가정의학과","12","C80","부위의 명시가 없는 악성 신생물","4"
"가정의학과","12","C71","뇌의 악성 신생물","4"
"가정의학과","14","C79","기타 및 상세불명 부위의 이차성 악성 신생물","3"
"가정의학과","14","C64","신우를 제외한 신장의 악성 신생물","3"
"가정의학과","14","C50","유방의 악성 신생물","3"
"가정의학과","14","C56","난소의 악성 신생물","3"
"가정의학과","18","C11","비인두의 악성 신생물","2"
"가정의학과","18","C38","심장, 종격 및 흉막의 악성 신생물","2"
"가정의학과","18","B02","대상포진","2"
"가정의학과","18","C06","입의 기타 및 상세불명 부분의 악성 신생물","2"
"가정의학과","18","C23","담낭의 악성 신생물","2"
"가정의학과","18","C54","자궁체부의 악성 신생물","2"
"가정의학과","18","M51","기타 추간판장애","2"
"가정의학과","18","C65","신우의 악성 신생물","2"
"가정의학과","18","C43","피부의 악성 흑색종","2"
"감염내과","1","U07","U07의 응급사용","164"
"감염내과","2","R50","기타 및 원인미상의 열","10"
"감염내과","3","N10","급성 세뇨관-간질신장염","7"
"감염내과","3","A49","상세불명 부위의 세균감염","7"
"감염내과","5","N39","비뇨계통의 기타 장애","4"
"감염내과","5","L03","연조직염","4"
"감염내과","5","B02","대상포진","4"
"감염내과","8","N30","방광염","3"
"감염내과","8","U09","코로나-19 이후 병태","3"
"감염내과","8","J18","상세불명 병원체의 폐렴","3"
"감염내과","8","J15","달리 분류되지 않은 세균성 폐렴","3"
"감염내과","12","A75","발진티푸스","2"
"감염내과","12","A41","기타 패혈증","2"
"감염내과","14","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","1"
"감염내과","14","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","1"
"감염내과","14","N41","전립선의 염증성 질환","1"
"감염내과","14","I63","뇌경색증","1"
"감염내과","14","C90","다발골수종 및 악성 형질세포신생물","1"
"감염내과","14","B00","헤르페스바이러스[단순헤르페스] 감염","1"
"감염내과","14","N15","기타 신세뇨관-간질질환","1"
"감염내과","14","N12","급성 또는 만성으로 명시되지 않은 세뇨관-간질신장염","1"
"감염내과","14","M00","화농성 관절염","1"
"감염내과","14","J69","고체 및 액체에 의한 폐렴","1"
"내분비내과","1","E11","2형 당뇨병","37"
"내분비내과","2","E27","부신의 기타 장애","2"
"내분비내과","3","U07","U07의 응급사용","1"
"내분비내과","3","D35","기타 및 상세불명의 내분비선의 양성 신생물","1"
"내분비내과","3","E10","1형 당뇨병","1"
"내분비내과","3","I10","본태성(원발성) 고혈압","1"
"내분비내과","3","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","1"
"내분비내과","3","E03","기타 갑상선기능저하증","1"
"내분비내과","3","R73","혈당치상승","1"
"비뇨의학과","1","N40","전립선증식증","595"
"비뇨의학과","2","C61","전립선의 악성 신생물","160"
"비뇨의학과","3","C67","방광의 악성 신생물","82"
"비뇨의학과","4","N20","신장 및 요관의 결석","28"
"비뇨의학과","5","N39","비뇨계통의 기타 장애","20"
"비뇨의학과","6","N43","음낭수종 및 정액류","10"
"비뇨의학과","7","N41","전립선의 염증성 질환","9"
"비뇨의학과","8","N35","요도협착","8"
"비뇨의학과","8","N21","하부요로의 결석","8"
"비뇨의학과","8","N45","고환염 및 부고환염","8"
"비뇨의학과","11","C66","요관의 악성 신생물","7"
"비뇨의학과","11","I86","기타 부위의 정맥류","7"
"비뇨의학과","13","N31","달리 분류되지 않은 방광의 신경근육기능장애","5"
"비뇨의학과","13","N32","방광의 기타 장애","5"
"비뇨의학과","13","N10","급성 세뇨관-간질신장염","5"
"비뇨의학과","16","N30","방광염","4"
"비뇨의학과","17","C65","신우의 악성 신생물","2"
"비뇨의학과","17","A41","기타 패혈증","2"
"비뇨의학과","17","R31","상세불명의 혈뇨","2"
"비뇨의학과","20","M54","등통증","1"
"비뇨의학과","20","D09","기타 및 상세불명 부위의 제자리암종","1"
"비뇨의학과","20","S30","복부, 아래등 및 골반의 표재성 손상","1"
"비뇨의학과","20","N28","달리 분류되지 않은 신장 및 요관의 기타 장애","1"
"비뇨의학과","20","N50","남성생식기관의 기타 장애","1"
"비뇨의학과","20","N34","요도염 및 요도증후군","1"
"비뇨의학과","20","T81","달리 분류되지 않은 처치의 합병증","1"
"비뇨의학과","20","N13","폐색성 및 역류성 요로병증","1"
"비뇨의학과","20","D30","비뇨기관의 양성 신생물","1"
"비뇨의학과","20","N36","요도의 기타 장애","1"
"비뇨의학과","20","B02","대상포진","1"
"비뇨의학과","20","N15","기타 신세뇨관-간질질환","1"
"비뇨의학과","20","N42","전립선의 기타 장애","1"
"비뇨의학과","20","D17","양성 지방종성 신생물","1"
"소아청소년과","1","E34","기타 내분비장애","37"
"소아청소년과","2","E30","달리 분류되지 않은 사춘기의 장애","20"
"소아청소년과","3","E23","뇌하수체의 기능저하 및 기타 장애","3"
"소아청소년과","4","A04","기타 세균성 장감염","2"
"소아청소년과","5","J11","바이러스가 확인되지 않은 인플루엔자","1"
"소아청소년과","5","J02","급성 인두염","1"
"소아청소년과","5","L00","포도알균성 화상피부증후군","1"
"소아청소년과","5","R27","기타 협조결여","1"
"소아청소년과","5","F40","공포성 불안장애","1"
"소아청소년과","5","L50","두드러기","1"
"소아청소년과","5","K12","구내염 및 관련 병변","1"
"소아청소년과","5","R51","두통","1"
"소아청소년과","5","J18","상세불명 병원체의 폐렴","1"
"소아청소년과","5","K52","기타 비감염성 위장염 및 결장염","1"
"소화기내과","1","K80","담석증","32"
"소화기내과","2","C22","간 및 간내 담관의 악성 신생물","24"
"소화기내과","3","K83","담도의 기타 질환","20"
"소화기내과","4","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","18"
"소화기내과","5","K74","간의 섬유증 및 경변증","16"
"소화기내과","5","D13","기타 및 부위불명의 소화계통의 양성 신생물","16"
"소화기내과","5","D12","결장, 직장, 항문 및 항문관의 양성 신생물 ","16"
"소화기내과","8","K63","장의 기타 질환","13"
"소화기내과","9","K21","위-식도역류병","12"
"소화기내과","10","K85","급성 췌장염","10"
"소화기내과","11","K86","췌장의 기타 질환","9"
"소화기내과","11","K70","알코올성 간질환","9"
"소화기내과","11","K25","위궤양","9"
"소화기내과","14","K59","기타 기능성 장장애","7"
"소화기내과","14","C16","위의 악성 신생물","7"
"소화기내과","14","K30","기능성 소화불량","7"
"소화기내과","17","K92","소화계통의 기타 질환","5"
"소화기내과","17","K26","십이지장궤양","5"
"소화기내과","17","K75","기타 염증성 간질환","5"
"소화기내과","20","U07","U07의 응급사용","4"
"소화기내과","20","R94","기능검사의 이상결과","4"
"소화기내과","20","C25","췌장의 악성 신생물","4"
"순환기내과","1","I20","협심증","251"
"순환기내과","2","I48","심방세동 및 조동","45"
"순환기내과","3","I50","심부전","35"
"순환기내과","4","I10","본태성(원발성) 고혈압","33"
"순환기내과","5","I21","급성 심근경색증","28"
"순환기내과","6","I25","만성 허혈심장병","21"
"순환기내과","7","I70","죽상경화증","11"
"순환기내과","8","I42","심근병증","9"
"순환기내과","8","I44","방실차단 및 좌각차단","9"
"순환기내과","8","I35","비류마티스성 대동맥판장애","9"
"순환기내과","11","R06","호흡의 이상","5"
"순환기내과","11","R07","목구멍 및 가슴의 통증","5"
"순환기내과","11","U07","U07의 응급사용","5"
"순환기내과","11","E11","2형 당뇨병","5"
"순환기내과","11","I26","폐색전증","5"
"순환기내과","16","I49","기타 심장부정맥","3"
"순환기내과","16","I34","비류마티스성 승모판장애","3"
"순환기내과","16","R55","실신 및 허탈","3"
"순환기내과","16","D50","철결핍빈혈","3"
"순환기내과","16","J18","상세불명 병원체의 폐렴","3"
"순환기내과","16","I47","발작성 빈맥","3"
"신경과","1","I63","뇌경색증","126"
"신경과","2","R42","어지럼증 및 어지럼","52"
"신경과","3","G43","편두통","50"
"신경과","4","R51","두통","44"
"신경과","5","F00","알츠하이머병에서의 치매(G30.-+)","39"
"신경과","6","G20","파킨슨병","29"
"신경과","7","R55","실신 및 허탈","17"
"신경과","8","R41","인지기능 및 자각에 관련된 기타 증상 및 징후","16"
"신경과","9","H81","전정기능의 장애","15"
"신경과","10","I67","기타 뇌혈관질환","13"
"신경과","11","G51","안면신경장애","10"
"신경과","11","S06","두개내손상","10"
"신경과","13","I65","뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착","9"
"신경과","14","G45","일과성 뇌허혈발작 및 관련 증후군","7"
"신경과","14","R56","달리 분류되지 않은 경련","7"
"신경과","14","I61","뇌내출혈","7"
"신경과","17","I10","본태성(원발성) 고혈압","6"
"신경과","18","F02","달리 분류된 기타 질환에서의 치매","4"
"신경과","18","G12","척수성 근위축 및 관련 증후군","4"
"신경과","18","D32","수막의 양성 신생물","4"
