"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","209"
"가정의학과","2","C34","기관지 및 폐의 악성 신생물","4"
"가정의학과","3","C80","부위의 명시가 없는 악성 신생물","1"
"가정의학과","3","C18","결장의 악성 신생물","1"
"가정의학과","3","C16","위의 악성 신생물","1"
"가정의학과","3","R53","병감 및 피로","1"
"가정의학과","3","D46","골수형성이상증후군","1"
"내분비내과","1","U07","U07의 응급사용","67"
"내분비내과","1","E11","2형 당뇨병","67"
"내분비내과","3","J18","상세불명 병원체의 폐렴","12"
"내분비내과","4","N39","비뇨계통의 기타 장애","7"
"내분비내과","5","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","6"
"내분비내과","6","J69","고체 및 액체에 의한 폐렴","4"
"내분비내과","6","N17","급성 신부전","4"
"내분비내과","6","R50","기타 및 원인미상의 열","4"
"내분비내과","9","J12","달리 분류되지 않은 바이러스폐렴","3"
"내분비내과","9","R53","병감 및 피로","3"
"내분비내과","11","E27","부신의 기타 장애","2"
"내분비내과","11","E87","수분, 전해질 및 산-염기균형의 기타 장애","2"
"내분비내과","11","I20","협심증","2"
"내분비내과","11","R11","구역 및 구토","2"
"내분비내과","15","I67","기타 뇌혈관질환","1"
"내분비내과","15","G12","척수성 근위축 및 관련 증후군","1"
"내분비내과","15","A15","세균학적 및 조직학적으로 확인된 호흡기결핵","1"
"내분비내과","15","D46","골수형성이상증후군","1"
"내분비내과","15","N18","만성 신장병","1"
"내분비내과","15","C34","기관지 및 폐의 악성 신생물","1"
"내분비내과","15","J44","기타 만성 폐쇄성 폐질환","1"
"내분비내과","15","C64","신우를 제외한 신장의 악성 신생물","1"
"내분비내과","15","K86","췌장의 기타 질환","1"
"내분비내과","15","R56","달리 분류되지 않은 경련","1"
"내분비내과","15","D64","기타 빈혈","1"
"내분비내과","15","U09","코로나-19 이후 병태","1"
"내분비내과","15","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","1"
"내분비내과","15","J06","다발성 및 상세불명 부위의 급성 상기도감염","1"
"내분비내과","15","J45","천식","1"
"내분비내과","15","A46","단독(丹毒)","1"
"내분비내과","15","J96","달리 분류되지 않은 호흡부전","1"
"내분비내과","15","N10","급성 세뇨관-간질신장염","1"
"내분비내과","15","C78","호흡 및 소화기관의 이차성 악성 신생물","1"
"내분비내과","15","M10","통풍","1"
"내분비내과","15","K25","위궤양","1"
"내분비내과","15","G81","편마비","1"
"내분비내과","15","D12","결장, 직장, 항문 및 항문관의 양성 신생물","1"
"비뇨의학과","1","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된","112"
"비뇨의학과","2","C61","전립선의 악성 신생물","70"
"비뇨의학과","3","N39","비뇨계통의 기타 장애","24"
"비뇨의학과","4","N40","전립선증식증","23"
"비뇨의학과","5","D09","기타 및 상세불명 부위의 제자리암종","18"
"비뇨의학과","6","N30","방광염","7"
"비뇨의학과","6","C67","방광의 악성 신생물","7"
"비뇨의학과","8","N35","요도협착","5"
"비뇨의학과","8","R31","상세불명의 혈뇨","5"
"비뇨의학과","8","N21","하부요로의 결석","5"
"비뇨의학과","8","N10","급성 세뇨관-간질신장염","5"
"비뇨의학과","12","N43","음낭수종 및 정액류","4"
"비뇨의학과","13","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","2"
"비뇨의학과","13","N45","고환염 및 부고환염","2"
"비뇨의학과","13","N31","달리 분류되지 않은 방광의 신경근육기능장애","2"
"비뇨의학과","16","N20","신장 및 요관의 결석","1"
"비뇨의학과","16","M79","달리 분류되지 않은 기타 연조직장애","1"
"비뇨의학과","16","N51","달리 분류된 질환에서의 남성생식기관의 장애","1"
"비뇨의학과","16","R10","복부 및 골반 통증","1"
"비뇨의학과","16","N41","전립선의 염증성 질환","1"
"비뇨의학과","16","Z53","수행되지 않은 특정 처치를 위해 보건서비스에 접하고 있는 사람","1"
"비뇨의학과","16","N48","음경의 기타 장애","1"
"비뇨의학과","16","K63","장의 기타 질환","1"
"소화기내과","1","U07","U07의 응급사용","400"
"소화기내과","2","E11","2형 당뇨병","55"
"소화기내과","3","J18","상세불명 병원체의 폐렴","41"
"소화기내과","4","D13","기타 및 부위불명의 소화계통의 양성 신생물","40"
"소화기내과","5","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","31"
"소화기내과","6","D12","결장, 직장, 항문 및 항문관의 양성 신생물","25"
"소화기내과","7","C22","간 및 간내 담관의 악성 신생물","23"
"소화기내과","7","C16","위의 악성 신생물","23"
"소화기내과","9","J44","기타 만성 폐쇄성 폐질환","20"
"소화기내과","10","K59","기타 기능성 장장애","13"
"소화기내과","11","R53","병감 및 피로","12"
"소화기내과","11","K21","위-식도역류병","12"
"소화기내과","13","C34","기관지 및 폐의 악성 신생물","11"
"소화기내과","14","K25","위궤양","10"
"소화기내과","15","K74","간의 섬유증 및 경변증","9"
"소화기내과","16","N39","비뇨계통의 기타 장애","8"
"소화기내과","16","K80","담석증","8"
"소화기내과","16","I10","본태성(원발성) 고혈압","8"
"소화기내과","16","J12","달리 분류되지 않은 바이러스폐렴","8"
"소화기내과","20","R11","구역 및 구토","7"
"순환기내과","1","I20","협심증","662"
"순환기내과","2","U07","U07의 응급사용","260"
