"진료과","순위","질병코드","상병명","실인원"
"내과","1","N18","만성 신장병","25"
"내과","2","E11","2형 당뇨병","8"
"내과","3","N10","급성 세뇨관-간질신장염","4"
"내과","4","R50","기타 및 원인미상의 열","4"
"내과","5","E87","수분, 전해질 및 산-염기균형의 기타 장애","3"
"내과","6","R53","병감 및 피로","3"
"내과","7","J18","상세불명 병원체의 폐렴","2"
"내과","8","K75","기타 염증성 간질환","2"
"내과","9","K92","소화계통의 기타 질환","2"
"내과","10","N17","급성 신부전","2"
"내과","11","N39","비뇨계통의 기타 장애","2"
"내과","12","A05","달리 분류되지 않은 기타 세균성 음식매개중독","1"
"내과","13","C20","직장의 악성 신생물","1"
"내과","14","C25","췌장의 악성 신생물","1"
"내과","15","C34","기관지 및 폐의 악성 신생물","1"
"내과","16","D64","기타 빈혈","1"
"내과","17","E14","상세불명의 당뇨병","1"
"내과","18","J15","달리 분류되지 않은 세균성 폐렴","1"
"내과","19","K25","위궤양","1"
"내과","20","K29","위염 및 십이지장염","1"
"소화기내과","1","K63","장의 기타 질환","264"
"소화기내과","2","D12","결장, 직장, 항문 및 항문관의 양성 신생물","208"
"소화기내과","3","K29","위염 및 십이지장염","55"
"소화기내과","4","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","37"
"소화기내과","5","K59","기타 기능성 장장애","36"
"소화기내과","6","E11","2형 당뇨병","34"
"소화기내과","7","K25","위궤양","29"
"소화기내과","8","J18","상세불명 병원체의 폐렴","24"
"소화기내과","9","K21","위-식도역류병","24"
"소화기내과","10","C16","위의 악성 신생물","18"
"소화기내과","11","J15","달리 분류되지 않은 세균성 폐렴","11"
"소화기내과","12","A08","바이러스성 및 기타 명시된 장감염","10"
"소화기내과","13","K58","과민대장증후군","10"
"소화기내과","14","K22","식도의 기타 질환","9"
"소화기내과","15","N10","급성 세뇨관-간질신장염","9"
"소화기내과","16","C18","결장의 악성 신생물","8"
"소화기내과","17","C22","간 및 간내 담관의 악성 신생물","8"
"소화기내과","18","R53","병감 및 피로","8"
"소화기내과","19","D64","기타 빈혈","7"
