부서명,순위,질병코드,상병명,실인원
가정의학과,1,C34,기관지 및 폐의 악성 신생물,42
가정의학과,2,C25,췌장의 악성 신생물,19
가정의학과,3,C22,간 및 간내 담관의 악성 신생물,18
가정의학과,4,C18,결장의 악성 신생물,16
가정의학과,5,C16,위의 악성 신생물,14
가정의학과,6,C61,전립선의 악성 신생물,12
가정의학과,7,C20,직장의 악성 신생물,7
가정의학과,8,C24,담도의 기타 및 상세불명 부분의 악성 신생물,6
가정의학과,8,C71,뇌의 악성 신생물,6
가정의학과,8,C78,호흡 및 소화기관의 이차성 악성 신생물,6
가정의학과,11,C23,담낭의 악성 신생물,5
가정의학과,12,C56,난소의 악성 신생물,4
가정의학과,12,C67,방광의 악성 신생물,4
가정의학과,14,C50,유방의 악성 신생물,3
가정의학과,15,C70,수막의 악성 신생물,2
가정의학과,15,C19,직장구불결장접합부의 악성 신생물,2
가정의학과,15,C64,신우를 제외한 신장의 악성 신생물,2
가정의학과,15,C49,기타 결합조직 및 연조직의 악성 신생물,2
가정의학과,19,C02,혀의 기타 및 상세불명 부분의 악성 신생물,1
가정의학과,19,C80,부위의 명시가 없는 악성 신생물,1
가정의학과,19,C96,"림프, 조혈 및 관련 조직의 기타 및 상세불명의 악성 신생물",1
가정의학과,19,C53,자궁경부의 악성 신생물,1
가정의학과,19,C44,기타 피부의 악성 신생물,1
가정의학과,19,C04,입바닥의 악성 신생물,1
가정의학과,19,C45,중피종,1
가정의학과,19,C73,갑상선의 악성 신생물,1
내분비내과,1,E11,2형 당뇨병,2
류마티스내과,1,M05,혈청검사양성 류마티스관절염,1
류마티스내과,1,M06,기타 류마티스관절염,1
비뇨의학과,1,N40,전립선증식증,337
비뇨의학과,2,C61,전립선의 악성 신생물,39
비뇨의학과,3,N31,달리 분류되지 않은 방광의 신경근육기능장애,20
비뇨의학과,4,N39,비뇨계통의 기타 장애,17
비뇨의학과,5,N41,전립선의 염증성 질환,9
비뇨의학과,6,N35,요도협착,7
비뇨의학과,6,N21,하부요로의 결석,7
비뇨의학과,6,C67,방광의 악성 신생물,7
비뇨의학과,9,N48,음경의 기타 장애,5
비뇨의학과,10,D41,비뇨기관의 행동양식 불명 또는 미상의 신생물,3
비뇨의학과,10,D30,비뇨기관의 양성 신생물,3
비뇨의학과,12,N30,방광염,2
비뇨의학과,12,N20,신장 및 요관의 결석,2
비뇨의학과,12,N10,급성 세뇨관-간질신장염,2
비뇨의학과,12,R33,소변정체,2
비뇨의학과,16,C66,요관의 악성 신생물,1
비뇨의학과,16,J15,달리 분류되지 않은 세균성 폐렴,1
비뇨의학과,16,N43,음낭수종 및 정액류,1
비뇨의학과,16,N45,고환염 및 부고환염,1
비뇨의학과,16,U07,U07의 응급사용,1
비뇨의학과,16,R31,상세불명의 혈뇨,1
비뇨의학과,16,U82,베타락탐항생제 내성,1
비뇨의학과,16,J03,급성 편도염,1
소아청소년과,1,U07,U07의 응급사용,1
소화기내과,1,K63,장의 기타 질환,61
소화기내과,2,J18,상세불명 병원체의 폐렴,53
소화기내과,3,K21,위-식도역류병,48
소화기내과,4,C22,간 및 간내 담관의 악성 신생물,39
소화기내과,5,C16,위의 악성 신생물,31
