"부서명","순위","질병코드","상병명","실인원"
"내과","1","E11","2형 당뇨병","37"
"내과","2","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","14"
"내과","3","K29"," 위염 및 십이지장염","11"
"내과","4","C34","기관지 및 폐의 악성 신생물","5"
"내과","5","K70","알코올성 간질환","5"
"내과","6","D12","결장, 직장, 항문 및 항문관의 양성 신생물","4"
"내과","7","K56","탈장이 없는 마비성 장폐색증 및 장폐색","4"
"내과","8","E10"," 1형 당뇨병","4"
"내과","9","E14","상세불명의 당뇨병","4"
"내과","10","K58","과민대장증후군","3"
"내과","11","B18","만성 바이러스간염","3"
"내과","12","N39"," 비뇨계통의 기타 장애","3"
"내과","13","K72","달리 분류되지 않은 간부전","3"
"내과","14","I10","본태성(원발성) 고혈압","3"
"내과","15","R42","어지럼증 및 어지럼","3"
"내과","16","J44","기타 만성 폐쇄성 폐질환","2"
"내과","17","N18","만성 신장병","2"
"내과","18","K80"," 담석증","2"
"내과","19","K59","기타 기능성 장장애","2"
"내과","20","I48","심방세동 및 조동","2"
"호흡기내과","1","J18","상세불명 병원체의 폐렴","40"
"호흡기내과","2","J40"," 급성인지 만성인지 명시되지 않은 기관지염","9"
"호흡기내과","3","U07"," U07의 응급사용","3"
"호흡기내과","4","A15","세균학적 및 조직학적으로 확인된 호흡기결핵","3"
"호흡기내과","5","J44","기타 만성 폐쇄성 폐질환","2"
"호흡기내과","6","C34","기관지 및 폐의 악성 신생물","2"
"호흡기내과","7","I25","만성 허혈심장병","1"
"호흡기내과","8","K81"," 담낭염","1"
"호흡기내과","9","J10"," 확인된 계절성 인플루엔자바이러스에 의한 인플루엔자","1"
"호흡기내과","10","J45","천식","1"
"가정의학과","1","E11","2형 당뇨병","31"
"가정의학과","2","K30","기능성 소화불량","6"
"가정의학과","3","I10","본태성(원발성) 고혈압","5"
"가정의학과","4","I50","심부전","2"
"가정의학과","5","E14","상세불명의 당뇨병","2"
"가정의학과","6","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"가정의학과","7","F00","알츠하이머병에서의 치매(G30.-†)","1"
"가정의학과","8","N39"," 비뇨계통의 기타 장애","1"
"가정의학과","9","E05","갑상선독증[갑상선기능항진증]","1"
"가정의학과","10","C25","췌장의 악성 신생물","1"
"신경과","1","F00","알츠하이머병에서의 치매(G30.-†)","35"
"신경과","2","I63","뇌경색증","17"
"신경과","3","G20","파킨슨병","8"
"신경과","4","F06"," 뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애","6"
"신경과","5","H81","전정기능의 장애","5"
"신경과","6","R55","실신 및 허탈","3"
"신경과","7","I61","뇌내출혈","3"
"신경과","8","R25"," 이상불수의운동","2"
"신경과","9","I71","대동맥동맥류 및 박리","2"
"신경과","10","F05","알코올 및 기타 정신활성물질에 의하여 유발된 것이 아닌 섬망","2"
"신경과","11","G40"," 뇌전증","2"
"신경과","12","G91","수두증","2"
"신경과","13","J06","다발성 및 상세불명 부위의 급성 상기도감염","1"
"신경과","14","S72"," 대퇴골의 골절","1"
"신경과","15","R42","어지럼증 및 어지럼","1"
"신경과","16","I22"," 후속심근경색증","1"
"신경과","17","G45"," 일과성 뇌허혈발작 및 관련 증후군","1"
"신경과","18","F01"," 혈관성 치매","1"
"신경과","19","G60","유전성 및 특발성 신경병증","1"
"신경과","20","G44"," 기타 두통증후군","1"
"안과","1","H25","노년백내장","117"
"안과","2","Z53","수행되지 않은 특정 처치를 위해 보건서비스에 접하고 있는 사람","1"
"안과","3","H26","기타 백내장","1"
"이비인후과","1","J31","만성 비염, 비인두염 및 인두염","8"
"이비인후과","2","J34","코 및 비동의 기타 장애","7"
"이비인후과","3","H81","전정기능의 장애","6"
"이비인후과","4","J32"," 만성 부비동염","5"
"이비인후과","5","R42","어지럼증 및 어지럼","3"
"이비인후과","6","H90"," 전음성 및 감각신경성 청력소실","2"
"이비인후과","7","E03","기타 갑상선기능저하증","1"
"이비인후과","8","J36","편도주위농양","1"
"이비인후과","9","Z53","수행되지 않은 특정 처치를 위해 보건서비스에 접하고 있는 사람","1"
"이비인후과","10","K11"," 침샘의 질환","1"
"이비인후과","11","J37"," 만성 후두염 및 후두기관염","1"
"이비인후과","12","J47","기관지확장증","1"
"이비인후과","13","J20","급성 기관지염","1"
"이비인후과","14","K12","구내염 및 관련 병변","1"
"이비인후과","15","L03"," 연조직염","1"
"이비인후과","16","J33","코폴립","1"
"이비인후과","17","J35"," 편도 및 아데노이드의 만성 질환","1"
"이비인후과","18","B49","상세불명의 진균증","1"
"이비인후과","19","H65","비화농성 중이염","1"
"이비인후과","20","Z47","기타 정형외과적 추적치료","1"
"재활의학과","1","I63","뇌경색증","20"
"재활의학과","2","G81"," 편마비","16"
"재활의학과","3","M54"," 등통증","11"
"재활의학과","4","M17"," 무릎관절증","7"
"재활의학과","5","S72"," 대퇴골의 골절","6"
"재활의학과","6","I61","뇌내출혈","5"
"재활의학과","7","M50"," 경추간판장애","4"
"재활의학과","8","S32","요추 및 골반의 골절","3"
"재활의학과","9","M51"," 기타 추간판장애","3"
"재활의학과","10","G20"," 파킨슨병","2"
"재활의학과","11","M75","어깨병변","2"
"재활의학과","12","S82","발목을 포함한 아래다리의 골절","2"
"재활의학과","13","G82","하반신마비 및 사지마비","2"
"재활의학과","14","G72"," 기타 근병증","1"
"재활의학과","15","M96","달리 분류되지 않은 처치후 근골격장애","1"
"재활의학과","16","G04","뇌염, 척수염 및 뇌척수염","1"
"재활의학과","17","S33"," 요추 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장","1"
"재활의학과","18","M43","기타 변형성 등병증","1"
"재활의학과","19","G37"," 중추신경계통의 기타 탈수초질환","1"
"재활의학과","20","M65","윤활막염 및 힘줄윤활막염","1"
"치과","1","K04"," 치수 및 근단주위조직의 질환","2"
"신경외과","1","M48","기타 척추병증","37"
"신경외과","2","M96","달리 분류되지 않은 처치후 근골격장애","5"
"신경외과","3","M51"," 기타 추간판장애","3"
"신경외과","4","S32","요추 및 골반의 골절","3"
"신경외과","5","S22","늑골, 흉골 및 흉추의 골절","3"
"신경외과","6","I63","뇌경색증","2"
"신경외과","7","G44"," 기타 두통증후군","2"
"신경외과","8","M62"," 근육의 기타 장애","1"
"신경외과","9","M50"," 경추간판장애","1"
"신경외과","10","K72","달리 분류되지 않은 간부전","1"
"신경외과","11","M41"," 척주측만증","1"
"신경외과","12","G95"," 척수의 기타 질환","1"
"신경외과","13","S06"," 두개내손상","1"
"신경외과","14","M79","달리 분류되지 않은 기타 연조직장애","1"
"신경외과","15","R42","어지럼증 및 어지럼","1"
"신경외과","16","L03"," 연조직염","1"
"신경외과","17","I67","기타 뇌혈관질환","1"
"신경외과","18","U07"," U07의 응급사용","1"
