부서명,순위,질병코드,상병명,실인원
가정의학과,1,C34,기관지 및 폐의 악성 신생물,68
가정의학과,2,C22,간 및 간내 담관의 악성 신생물,49
가정의학과,3,C16,위의 악성 신생물,34
가정의학과,4,C18,결장의 악성 신생물,28
가정의학과,4,C25,췌장의 악성 신생물,28
가정의학과,6,C23,담낭의 악성 신생물,12
가정의학과,7,C67,방광의 악성 신생물,10
가정의학과,8,C20,직장의 악성 신생물,9
가정의학과,9,C61,전립선의 악성 신생물,8
가정의학과,10,C71,뇌의 악성 신생물,7
가정의학과,11,C15,식도의 악성 신생물,5
가정의학과,11,C64,신우를 제외한 신장의 악성 신생물,5
가정의학과,13,C83,비소포성 림프종,4
가정의학과,13,C24,담도의 기타 및 상세불명 부분의 악성 신생물,4
가정의학과,13,C66,요관의 악성 신생물,4
가정의학과,13,C19,직장구불결장접합부의 악성 신생물,4
가정의학과,17,C78,호흡 및 소화기관의 이차성 악성 신생물,3
가정의학과,17,C13,하인두의 악성 신생물,3
가정의학과,17,C50,유방의 악성 신생물,3
가정의학과,20,C02,혀의 기타 및 상세불명 부분의 악성 신생물,2
가정의학과,20,C17,소장의 악성 신생물,2
가정의학과,20,C53,자궁경부의 악성 신생물,2
가정의학과,20,C32,후두의 악성 신생물,2
가정의학과,20,C49,기타 결합조직 및 연조직의 악성 신생물,2
가정의학과,20,C73,갑상선의 악성 신생물,2
가정의학과,20,C79,기타 및 상세불명 부위의 이차성 악성 신생물,2
가정의학과,20,C70,수막의 악성 신생물,2
감염내과,1,N39,비뇨계통의 기타 장애,15
감염내과,2,R50,기타 및 원인미상의 열,14
감염내과,3,N10,급성 세뇨관-간질신장염,12
감염내과,4,U07,U07의 응급사용,9
감염내과,5,A49,상세불명 부위의 세균감염,7
감염내과,6,N30,방광염,3
감염내과,6,J18,상세불명 병원체의 폐렴,3
감염내과,8,L03,연조직염,2
감염내과,8,J84,기타 간질성 폐질환,2
감염내과,8,J69,고체 및 액체에 의한 폐렴,2
감염내과,8,J11,바이러스가 확인되지 않은 인플루엔자,2
감염내과,8,B00,헤르페스바이러스[단순헤르페스] 감염,2
감염내과,8,B02,대상포진,2
감염내과,14,J15,달리 분류되지 않은 세균성 폐렴,1
감염내과,14,K80,담석증,1
감염내과,14,C16,위의 악성 신생물,1
감염내과,14,A41,기타 패혈증,1
감염내과,14,B34,상세불명 부위의 바이러스감염,1
감염내과,14,B95,다른 장에서 분류된 질환의 원인으로서의 연쇄알균 및 포도알균,1
감염내과,14,J21,급성 세기관지염,1
감염내과,14,I33,급성 및 아급성 심내막염,1
내분비내과,1,E11,2형 당뇨병,78
