"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","21"
"가정의학과","2","Z71","달리 분류되지 않은 기타 상담 및 의학적 권고를 위해 보건서비스와 접하고 있는 사람","8"
"가정의학과","3","G81","편마비","4"
"가정의학과","4","E86","용적고갈","3"
"가정의학과","5","E11","2형 당뇨병","2"
"가정의학과","5","M48","기타 척추병증","2"
"가정의학과","5","C23","담낭의 악성 신생물","2"
"가정의학과","5","G82","하반신마비 및 사지마비","2"
"가정의학과","9","G47","수면장애","1"
"가정의학과","9","G44","기타 두통증후군","1"
"가정의학과","9","J18","상세불명 병원체의 폐렴","1"
"가정의학과","9","C34","기관지 및 폐의 악성 신생물","1"
"가정의학과","9","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"가정의학과","9","C18","결장의 악성 신생물","1"
"가정의학과","9","C22","간 및 간내 담관의 악성 신생물","1"
"가정의학과","9","M96","달리 분류되지 않은 처치후 근골격장애","1"
"가정의학과","9","C64","신우를 제외한 신장의 악성 신생물","1"
"가정의학과","9","R47","달리 분류되지 않은 언어장애","1"
"가정의학과","9","R53","병감 및 피로","1"
"가정의학과","9","I63","뇌경색증","1"
"가정의학과","9","K29","위염 및 십이지장염","1"
"가정의학과","9","J90","달리 분류되지 않은 흉막삼출액","1"
"가정의학과","9","C25","췌장의 악성 신생물","1"
"가정의학과","9","B02","대상포진","1"
"가정의학과","9","F51","비기질성 수면장애","1"
"가정의학과","9","I10","본태성(원발성) 고혈압","1"
"가정의학과","9","M50","경추간판장애","1"
"가정의학과","9","K08","치아 및 지지구조의 기타 장애","1"
"가정의학과","9","K30","기능성 소화불량","1"
"가정의학과","9","M05","혈청검사양성 류마티스관절염","1"
"가정의학과","9","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1"
"내과","1","N18","만성 신장병","23"
"내과","2","E11","2형 당뇨병","11"
"내과","3","N17","급성 신부전","4"
"내과","3","N10","급성 세뇨관-간질신장염","4"
"내과","5","N39","비뇨계통의 기타 장애","3"
"내과","5","U07","U07의 응급사용","3"
"내과","7","J18","상세불명 병원체의 폐렴","2"
"내과","7","J69","고체 및 액체에 의한 폐렴","2"
"내과","7","R50","기타 및 원인미상의 열","2"
"내과","7","A75","발진티푸스","2"
"내과","11","B17","기타 급성 바이러스간염","1"
"내과","11","R65","전신염증반응증후군","1"
"내과","11","I50","심부전","1"
"내과","11","K30","기능성 소화불량","1"
"내과","11","E27","부신의 기타 장애","1"
"내과","11","K80","담석증","1"
"내과","11","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","1"
"내과","11","E16","췌장내분비의 기타 장애","1"
"내과","11","A04","기타 세균성 장감염","1"
"내과","11","K21","위-식도역류병","1"
"내과","11","N30","방광염","1"
"내과","11","K29","위염 및 십이지장염","1"
"내과","11","C34","기관지 및 폐의 악성 신생물","1"
"내과","11","C25","췌장의 악성 신생물","1"
"내과","11","R31","상세불명의 혈뇨","1"
"내과","11","J10","확인된 계절성 인플루엔자바이러스에 의한 인플루엔자","1"
"내과","11","I95","저혈압","1"
"내과","11","J15","달리 분류되지 않은 세균성 폐렴","1"
"내분비내과","1","E11","2형 당뇨병","33"
"내분비내과","2","N10","급성 세뇨관-간질신장염","2"
"내분비내과","3","U07","U07의 응급사용","1"
"내분비내과","3","N39","비뇨계통의 기타 장애","1"
"내분비내과","3","K92","소화계통의 기타 질환","1"
"내분비내과","3","R50","기타 및 원인미상의 열","1"
"내분비내과","3","J82","달리 분류되지 않은 폐호산구증가","1"
"내분비내과","3","G30","알츠하이머병","1"
"내분비내과","3","J44","기타 만성 폐쇄성 폐질환","1"
"내분비내과","3","K51","궤양성 대장염","1"
"내분비내과","3","E10","1형 당뇨병","1"
"류마티스내과","1","E11","2형 당뇨병","6"
"류마티스내과","2","M05","혈청검사양성 류마티스관절염","4"
"류마티스내과","3","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","3"
"류마티스내과","4","J18","상세불명 병원체의 폐렴","1"
"류마티스내과","4","U07","U07의 응급사용","1"
"류마티스내과","4","R63","음식 및 수액 섭취에 관계된 증상 및 징후","1"
"류마티스내과","4","I46","심장정지","1"
"류마티스내과","4","M35","결합조직의 기타 전신침범","1"
"류마티스내과","4","R50","기타 및 원인미상의 열","1"
"류마티스내과","4","M15","다발관절증","1"
"류마티스내과","4","E14","상세불명의 당뇨병","1"
"류마티스내과","4","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"비뇨의학과","1","N40","전립선증식증","43"
"비뇨의학과","2","C61","전립선의 악성 신생물","41"
"비뇨의학과","3","N35","요도협착","1"
"비뇨의학과","3","N45","고환염 및 부고환염","1"
"비뇨의학과","3","R31","상세불명의 혈뇨","1"
"비뇨의학과","3","N21","하부요로의 결석","1"
"비뇨의학과","3","R33","소변정체","1"
"비뇨의학과","3","D41","비뇨기관의 행동양식 불명 또는 미상의 신생물","1"
"소화기내과","1","K63","장의 기타 질환","322"
"소화기내과","2","D12","결장, 직장, 항문 및 항문관의 양성 신생물","300"
"소화기내과","3","K29","위염 및 십이지장염","85"
"소화기내과","4","E11","2형 당뇨병","34"
"소화기내과","5","K59","기타 기능성 장장애","30"
"소화기내과","6","K21","위-식도역류병","25"
"소화기내과","7","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","24"
"소화기내과","8","J18","상세불명 병원체의 폐렴","15"
"소화기내과","9","C16","위의 악성 신생물","14"
"소화기내과","9","K25","위궤양","14"
"소화기내과","11","N39","비뇨계통의 기타 장애","9"
"소화기내과","11","C25","췌장의 악성 신생물","9"
"소화기내과","13","K62","항문 및 직장의 기타 질환","8"
"소화기내과","13","U07","U07의 응급사용","8"
"소화기내과","13","C18","결장의 악성 신생물","8"
"소화기내과","16","K58","과민대장증후군","7"
"소화기내과","16","K22","식도의 기타 질환","7"
"소화기내과","18","J15","달리 분류되지 않은 세균성 폐렴","6"
"소화기내과","18","I50","심부전","6"
"소화기내과","18","K64","치핵 및 항문주위정맥혈전증","6"
"소화기내과","18","E63","기타 영양결핍","6"
"소화기내과","18","E87","수분, 전해질 및 산-염기균형의 기타 장애","6"
"소화기내과","18","J69","고체 및 액체에 의한 폐렴","6"
"신경과","1","I63","뇌경색증","47"
"신경과","2","R42","어지럼증 및 어지럼","26"
"신경과","3","R51","두통","5"
"신경과","4","I69","뇌혈관질환의 후유증","4"
"신경과","5","H81","전정기능의 장애","3"
"신경과","6","G45","일과성 뇌허혈발작 및 관련 증후군","2"
"신경과","6","G40","뇌전증","2"
"신경과","6","G20","파킨슨병","2"
"신경과","6","R26","보행과 이동의 이상","2"
"신경과","6","R53","병감 및 피로","2"
"신경과","6","G81","편마비","2"
"신경과","12","G51","안면신경장애","1"
"신경과","12","R55","실신 및 허탈","1"
"신경과","12","R04","기도출혈","1"
"신경과","12","F03","상세불명의 치매","1"
"신경과","12","H49","마비성 사시","1"
"신경과","12","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1"
"신경과","12","S70","엉덩이 및 대퇴의 표재성 손상","1"
"신경과","12","R25","이상불수의운동","1"
"신경과","12","G93","뇌의 기타 장애","1"
"신경외과","1","S06","두개내손상","28"
"신경외과","2","I61","뇌내출혈","9"
"신경외과","3","M51","기타 추간판장애","6"
"신경외과","4","M48","기타 척추병증","5"
"신경외과","5","G95","척수의 기타 질환","4"
"신경외과","6","M96","달리 분류되지 않은 처치후 근골격장애","3"
"신경외과","6","M54","등통증","3"
"신경외과","6","I67","기타 뇌혈관질환","3"
"신경외과","6","D43","뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물","3"
"신경외과","6","D32","수막의 양성 신생물","3"
"신경외과","11","I60","거미막하출혈","2"
"신경외과","11","S22","늑골, 흉골 및 흉추의 골절","2"
