"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","E11","2형 당뇨병","20"
"가정의학과","2","C22","간 및 간내 담관의 악성 신생물","6"
"가정의학과","3","R63","음식 및 수액 섭취에 관계된 증상 및 징후","5"
"가정의학과","4","C25","췌장의 악성 신생물","4"
"가정의학과","5","C61","전립선의 악성 신생물","3"
"가정의학과","5","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","3"
"가정의학과","5","R42","어지럼증 및 어지럼","3"
"가정의학과","8","J18","상세불명 병원체의 폐렴","2"
"가정의학과","8","C34","기관지 및 폐의 악성 신생물","2"
"가정의학과","8","D50","철결핍빈혈","2"
"가정의학과","8","I20","협심증","2"
"가정의학과","8","M51","기타 추간판장애","2"
"가정의학과","8","M48","기타 척추병증","2"
"가정의학과","8","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된","2"
"가정의학과","8","R50","기타 및 원인미상의 열","2"
"가정의학과","8","C18","결장의 악성 신생물","2"
"가정의학과","8","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","2"
"가정의학과","18","G20","파킨슨병","1"
"가정의학과","18","N39","비뇨계통의 기타 장애","1"
"가정의학과","18","E87","수분, 전해질 및 산-염기균형의 기타 장애","1"
"가정의학과","18","D64","기타 빈혈","1"
"가정의학과","18","R91","폐의 진단영상검사상 이상소견","1"
"가정의학과","18","N20","신장 및 요관의 결석","1"
"가정의학과","18","N40","전립선증식증","1"
"가정의학과","18","C49","기타 결합조직 및 연조직의 악성 신생물","1"
"가정의학과","18","N18","만성 신장병","1"
"가정의학과","18","D12","결장, 직장, 항문 및 항문관의 양성 신생물 ","1"
"가정의학과","18","S14","목부위의 신경 및 척수의 손상","1"
"가정의학과","18","L60","손발톱장애","1"
"가정의학과","18","C24","담도의 기타 및 상세불명 부분의 악성 신생물","1"
"가정의학과","18","K30","기능성 소화불량","1"
"가정의학과","18","S32","요추 및 골반의 골절","1"
"가정의학과","18","J44","기타 만성 폐쇄성 폐질환","1"
"가정의학과","18","C20","직장의 악성 신생물","1"
"가정의학과","18","D37","구강 및 소화기관의 행동양식 불명 또는 미상의 신생물","1"
"가정의학과","18","C90","다발골수종 및 악성 형질세포신생물","1"
"가정의학과","18","I10","본태성(원발성) 고혈압","1"
"가정의학과","18","K70","알코올성 간질환","1"
"가정의학과","18","N41","전립선의 염증성 질환","1"
"가정의학과","18","I63","뇌경색증","1"
"가정의학과","18","K29","위염 및 십이지장염","1"
"가정의학과","18","C67","방광의 악성 신생물","1"
"가정의학과","18","R55","실신 및 허탈","1"
"가정의학과","18","M41","척주측만증","1"
"가정의학과","18","G30","알츠하이머병","1"
"가정의학과","18","E46","상세불명의 단백질-에너지영양실조","1"
"가정의학과","18","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","1"
"감염내과","1","U07","U07의 응급사용","46"
"감염내과","2","N39","비뇨계통의 기타 장애","23"
"감염내과","3","J18","상세불명 병원체의 폐렴","17"
"감염내과","4","L03","연조직염","11"
"감염내과","5","J12","달리 분류되지 않은 바이러스폐렴","10"
"감염내과","6","J69","고체 및 액체에 의한 폐렴","8"
"감염내과","7","J15","달리 분류되지 않은 세균성 폐렴","7"
"감염내과","8","N10","급성 세뇨관-간질신장염","5"
"감염내과","9","K83","담도의 기타 질환","4"
"감염내과","9","A49","상세불명 부위의 세균감염","4"
"감염내과","11","M86","골수염","3"
"감염내과","11","A41","기타 패혈증","3"
"감염내과","11","N41","전립선의 염증성 질환","3"
"감염내과","11","B34","상세불명 부위의 바이러스감염","3"
"감염내과","11","M46","기타 염증성 척추병증","3"
"감염내과","16","L27","내부로 섭취된 물질에 의한 피부염","2"
"감염내과","16","J44","기타 만성 폐쇄성 폐질환","2"
"감염내과","16","L02","피부의 농양, 종기 및 큰종기","2"
"감염내과","16","J10","확인된 계절성 인플루엔자바이러스에 의한 인플루엔자","2"
"감염내과","16","J90","달리 분류되지 않은 흉막삼출액","2"
"구강악안면외과","1","K04","치수 및 근단주위조직의 질환","1"
"구강악안면외과","1","Z48","기타 외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람","1"
"내분비내과","1","E11","2형 당뇨병","127"
"내분비내과","2","E10","1형 당뇨병","10"
"내분비내과","3","E05","갑상선독증[갑상선기능항진증]","3"
"내분비내과","3","D35","기타 및 상세불명의 내분비선의 양성 신생물","3"
"내분비내과","5","E16","췌장내분비의 기타 장애","2"
"내분비내과","5","E89","달리 분류되지 않은 처치후 내분비 및 대사 장애","2"
"내분비내과","5","E03","기타 갑상선기능저하증","2"
"내분비내과","5","E04","기타 비독성 고이터","2"
"내분비내과","5","E87","수분, 전해질 및 산-염기균형의 기타 장애","2"
"내분비내과","5","E83","무기질대사장애","2"
"내분비내과","11","I63","뇌경색증","1"
"내분비내과","11","J69","고체 및 액체에 의한 폐렴","1"
"내분비내과","11","G81","편마비","1"
"내분비내과","11","M81","병적 골절이 없는 골다공증","1"
"내분비내과","11","E24","쿠싱증후군","1"
"내분비내과","11","N17","급성 신부전","1"
"내분비내과","11","R59","림프절비대","1"
"내분비내과","11","L89","욕창궤양 및 압박부위","1"
"내분비내과","11","E27","부신의 기타 장애","1"
"류마티스내과","1","M32","전신홍반루푸스","3"
"류마티스내과","2","M10","통풍","2"
"류마티스내과","2","M79","달리 분류되지 않은 기타 연조직장애","2"
"류마티스내과","4","N05","상세불명의 신염증후군","1"
"류마티스내과","4","D89","달리 분류되지 않은 면역메커니즘을 침범한 기타 장애","1"
"류마티스내과","4","J84","기타 간질성 폐질환","1"
"류마티스내과","4","R94","기능검사의 이상결과","1"
"류마티스내과","4","K71","독성간질환","1"
"류마티스내과","4","M11","기타 결정 관절병증","1"
"류마티스내과","4","J18","상세불명 병원체의 폐렴","1"
"비뇨의학과","1","C61","전립선의 악성 신생물","372"
"비뇨의학과","2","D09","기타 및 상세불명 부위의 제자리암종","136"
"비뇨의학과","3","N40","전립선증식증","107"
"비뇨의학과","4","C67","방광의 악성 신생물","83"
"비뇨의학과","5","N20","신장 및 요관의 결석","43"
"비뇨의학과","6","N13","폐색성 및 역류성 요로병증","37"
"비뇨의학과","7","C64","신우를 제외한 신장의 악성 신생물","31"
"비뇨의학과","8","N21","하부요로의 결석","26"
"비뇨의학과","8","N32","방광의 기타 장애","26"
"비뇨의학과","10","N30","방광염","21"
"비뇨의학과","10","T83","비뇨생식기 인공삽입장치, 삽입물 및 이식편의 합병증","21"
"비뇨의학과","12","Z46","기타 장치의 부착 및 조정를 위하여 보건서비스와 접하고 있는 사람","19"
"비뇨의학과","13","N48","음경의 기타 장애","16"
"비뇨의학과","13","N28","달리 분류되지 않은 신장 및 요관의 기타 장애","16"
"비뇨의학과","13","T81","달리 분류되지 않은 처치의 합병증","16"
"비뇨의학과","16","N43","음낭수종 및 정액류","15"
"비뇨의학과","16","N99","달리 분류되지 않은 비뇨생식계통의 처치후 장애","15"
"비뇨의학과","18","N10","급성 세뇨관-간질신장염","14"
"비뇨의학과","19","N35","요도협착","13"
"비뇨의학과","20","C66","요관의 악성 신생물","11"
"산부인과","1","N84","여성생식관의 폴립","37"
"산부인과","2","N85","자궁경부를 제외한 자궁의 기타 비염증성 장애","22"
"산부인과","2","N39","비뇨계통의 기타 장애","22"
"산부인과","4","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","21"
"산부인과","5","D27","난소의 양성 신생물","20"
"산부인과","6","N81","여성생식기탈출","19"
"산부인과","6","D25","자궁의 평활근종","19"
"산부인과","8","N83","난소, 난관 및 넓은인대의 비염증성 장애","13"
"산부인과","9","C54","자궁체부의 악성 신생물","12"
"산부인과","10","N87","자궁경부의 이형성","9"
"산부인과","11","C56","난소의 악성 신생물","6"
"산부인과","12","N71","자궁경부를 제외한 자궁의 염증성 질환","4"
"산부인과","13","N70","난관염 및 난소염","3"
"산부인과","14","N80","자궁내막증","2"
"산부인과","14","C53","자궁경부의 악성 신생물","2"
"산부인과","14","N73","기타 여성골반염증질환","2"
"산부인과","14","T81","달리 분류되지 않은 처치의 합병증","2"
"산부인과","14","N90","외음부 및 회음부의 기타 비염증성 장애","2"
"산부인과","14","D06","자궁경부의 제자리암종","2"
"산부인과","20","N89","질의 기타 비염증성 장애","1"
"산부인과","20","Z30","피임관리","1"
"산부인과","20","J00","급성 비인두염[감기]","1"
"산부인과","20","Q50","난소, 난관 및 넓은인대의 선천기형","1"
"산부인과","20","K61","항문 및 직장부의 농양","1"
"산부인과","20","D39","여성생식기관의 행동양식 불명 또는 미상의 신생물","1"
"산부인과","20","R53","병감 및 피로","1"
"산부인과","20","T83","비뇨생식기 인공삽입장치, 삽입물 및 이식편의 합병증","1"
"산부인과","20","N72","자궁경부의 염증성 질환","1"
