년도,구분,자연인,연인원
2010,감면,1,0
2010,국비,1,0
2010,일반,3,0
2011,감면,14939,168306
2011,국비,14478,417355
2011,일반,19455,102438
2012,감면,15773,175678
2012,국비,15393,437805
2012,일반,19241,103677
2013,감면,15910,178824
2013,국비,14878,428764
2013,일반,19687,104352
2014,감면,16142,180575
2014,국비,14637,429460
2014,일반,22408,111855
2015,감면,16357,180008
2015,국비,14728,427128
2015,일반,22354,109254
2016,감면,16605,177806
2016,국비,14687,423674
2016,일반,22938,114047
2017,감면,16397,184419
2017,국비,14578,426529
2017,일반,23072,114167
2018,감면,16620,199390
2018,국비,14524,429314
2018,일반,22822,115131
2019,감면,16418,198171
2019,국비,14573,423627
2019,일반,23747,116970
2020,감면,14575,175811
2020,국비,13459,379919
2020,일반,20047,99129
2021,감면,14448,176272
2021,국비,13344,370384
2021,일반,27958,124418
2022,감면,13458,140837
2022,국비,12857,318449
2022,일반,21940,102363
2023,감면,13583,151433
2023,국비,12753,338289
2023,일반,21340,99367
