"년도","구분","자연인","연인원"
"2011","감면","14095","149644"
"2011","국비","15032","418221"
"2011","일반","14704","51490"
"2012","감면","14231","151995"
"2012","국비","15386","423016"
"2012","일반","13522","47410"
"2013","감면","14252","151991"
"2013","국비","14946","426653"
"2013","일반","13963","47312"
"2014","감면","14544","152226"
"2014","국비","14699","430932"
"2014","일반","16757","50604"
"2015","감면","15062","157077"
"2015","국비","14857","433537"
"2015","일반","13558","47119"
"2016","감면","15712","156838"
"2016","국비","14737","438524"
"2016","일반","14638","49051"
"2017","감면","15494","157289"
"2017","국비","14546","435032"
"2017","일반","13746","46442"
"2018","감면","15350","168926"
"2018","국비","14172","418535"
"2018","일반","14554","46946"
"2019","감면","14909","171881"
"2019","국비","14071","419075"
"2019","일반","10350","43268"
