"년도","구분","자연인","연인원"
"2011","국비","9395","273103"
"2011","감면","10017","87940"
"2011","일반","9195","30067"
"2012","국비","9628","285919"
"2012","감면","10406","96619"
"2012","일반","8798","28371"
"2013","국비","9665","295276"
"2013","감면","11294","103473"
"2013","일반","8645","29385"
"2014","국비","9507","295493"
"2014","감면","11489","105131"
"2014","일반","8789","29694"
"2015","국비","9556","309641"
"2015","감면","12057","115492"
"2015","일반","9555","31805"
"2016","국비","9485","321479"
"2016","감면","12223","121456"
"2016","일반","10451","35117"
"2017","국비","9362","313059"
"2017","감면","12274","120271"
"2017","일반","10395","39118"
"2018","국비","9208","320973"
"2018","감면","12585","142634"
"2018","일반","11205","41414"
"2019","국비","9343","327887"
"2019","감면","12799","156806"
"2019","일반","11662","41733"
