년도,구분,자연인,연인원
2011,1_국비,9395,273103
2011,2_감면,10017,87940
2011,3_일반,9195,30067
2012,1_국비,9628,285919
2012,2_감면,10406,96619
2012,3_일반,8798,28371
2013,1_국비,9665,295276
2013,2_감면,11294,103473
2013,3_일반,8645,29385
2014,1_국비,9507,295493
2014,2_감면,11489,105131
2014,3_일반,8789,29694
2015,1_국비,9556,309641
2015,2_감면,12057,115492
2015,3_일반,9555,31805
2016,1_국비,9485,321479
2016,2_감면,12223,121456
2016,3_일반,10451,35117
2017,1_국비,9362,313059
2017,2_감면,12274,120271
2017,3_일반,10395,39118
2018,1_국비,9208,320973
2018,2_감면,12585,142634
2018,3_일반,11205,41414
2019,1_국비,9343,327887
2019,2_감면,12799,156806
2019,3_일반,11662,41733
2020,1_국비,8739,291756
2020,2_감면,10964,140670
2020,3_일반,12594,43601
2021,1_국비,8299,284126
2021,2_감면,10636,143567
2021,3_일반,17193,74640
2022,1_국비,8334,270779
2022,2_감면,10657,139067
2022,3_일반,14143,60943
2023,1_국비,8153,281922
2023,2_감면,11667,148265
2023,3_일반,11289,47902
