"년도","구분","자연인","연인원"
"2010","감면","1","0"
"2011","감면","12530","137085"
"2011","국비","18437","463604"
"2011","일반","7366","32492"
"2012","감면","13096","136915"
"2012","국비","19083","473001"
"2012","일반","7929","34534"
"2013","감면","13271","140239"
"2013","국비","18539","481008"
"2013","일반","8085","34730"
"2014","감면","13859","147915"
"2014","국비","18673","497979"
"2014","일반","8060","35810"
"2015","감면","14633","144737"
"2015","국비","18952","497267"
"2015","일반","8176","35953"
"2016","감면","14922","151581"
"2016","국비","18854","519910"
"2016","일반","8488","37804"
"2017","감면","15274","148095"
"2017","국비","18967","513556"
"2017","일반","8457","36099"
"2018","감면","15353","170804"
"2018","국비","18807","498270"
"2018","일반","8859","37903"
"2019","감면","15040","178479"
"2019","국비","19195","497290"
"2019","일반","9509","42345"
"2020","감면","13835","171090"
"2020","국비","17906","472134"
"2020","일반","9585","41200"
