"년도","구분","자연인","연인원"
"2011","감면","47088","443535"
"2011","국비","46815","770560"
"2011","일반","12525","57258"
"2012","감면","51889","513237"
"2012","국비","49382","830594"
"2012","일반","12444","63727"
"2013","감면","52761","528372"
"2013","국비","45706","829858"
"2013","일반","3156","21238"
"2014","감면","53859","547005"
"2014","국비","45546","846170"
"2014","일반","3209","19781"
"2015","감면","54921","551054"
"2015","국비","45896","859893"
"2015","일반","3132","18942"
"2016","감면","57401","580674"
"2016","국비","45923","880671"
"2016","일반","3487","19452"
"2017","감면","58542","593484"
"2017","국비","46049","879668"
"2017","일반","3573","19341"
"2018","감면","58531","627547"
"2018","국비","45288","849858"
"2018","일반","3726","18689"
"2019","감면","59267","660836"
"2019","국비","45306","837993"
"2019","일반","4127","20806"
