구분,순위,상병코드,상병명칭,실인원,연인원,진료비(천원),59세이하,60세-64세,65세-69세,70세-79세,80세-89세,90세이상
입원실인원,1, I20 , 협심증 ,759,3598,3223656,10,19,43,633,46,8
입원실인원,2, U07 , 코로나바이러스 질환 2019 ,473,3593,1132642,276,72,62,47,15,1
입원실인원,3, M48 , 기타 척추병증 ,362,18220,4465311,9,8,17,298,29,1
입원실인원,4, I50 , 심부전 ,189,2896,921568,2,1,8,112,53,13
입원실인원,5, M51 , 기타 추간판장애 ,175,8332,2100664,14,4,10,143,4,0
입원실인원,6, N40 , 전립선증식증 ,151,1178,263083,0,0,11,131,8,1
입원실인원,7, M17 , 무릎관절증 ,142,6078,1832364,3,6,16,108,9,0
입원실인원,8, K29 , 위염 및 십이지장염 ,111,2002,473587,7,3,3,80,17,1
입원실인원,9, J18 , 상세불명 병원체의 폐렴 ,108,3336,1138563,1,1,2,63,28,13
입원실인원,10, K63 , 장의 기타 질환 ,107,650,282629,2,2,4,93,6,0
입원실인원,11, E11 , 2형 당뇨병 ,105,3531,634669,5,1,3,89,7,0
입원실인원,12, H25 , 노년백내장 ,94,250,116370,0,1,3,85,5,0
입원실인원,13, M75 , 어깨병변 ,91,4463,1170617,4,5,5,75,2,0
입원실인원,14, C16 , 위의 악성 신생물 ,86,2299,641863,5,3,6,63,7,2
입원실인원,15, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,82,4194,1363897,4,6,7,65,0,0
입원실인원,16, I63 , 뇌경색증 ,74,3652,778332,4,0,0,60,8,2
입원실인원,17, C34 , 기관지 및 폐의 악성 신생물 ,73,2173,859974,4,6,4,37,21,1
입원실인원,18, I73 , 기타 말초혈관질환 ,66,690,534009,0,0,0,58,8,0
입원실인원,19, K80 , 담석증 ,65,686,442942,7,4,4,45,3,2
입원실인원,20, C22 , 간 및 간내 담관의 악성 신생물 ,64,2112,673988,4,2,0,48,10,0
입원연인원,1, M48 , 기타 척추병증 ,362,18220,4465311,623,219,776,15301,1240,61
입원연인원,2, M51 , 기타 추간판장애 ,175,8332,2100664,466,46,353,7187,280,0
입원연인원,3, M17 , 무릎관절증 ,142,6078,1832364,101,177,559,4809,432,0
입원연인원,4, M75 , 어깨병변 ,91,4463,1170617,83,146,147,3955,132,0
입원연인원,5, S46 , 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ,82,4194,1363897,130,331,378,3355,0,0
입원연인원,6, I63 , 뇌경색증 ,74,3652,778332,233,0,0,2920,469,30
입원연인원,7, I20 , 협심증 ,759,3598,3223656,31,77,181,2986,270,53
입원연인원,8, U07 , 코로나바이러스 질환 2019 ,473,3593,1132642,2048,540,466,367,162,10
입원연인원,9, E11 , 2형 당뇨병 ,105,3531,634669,213,5,74,3002,237,0
입원연인원,10, J18 , 상세불명 병원체의 폐렴 ,108,3336,1138563,103,15,16,2024,682,496
입원연인원,11, I50 , 심부전 ,189,2896,921568,13,12,83,1930,711,147
입원연인원,12, I69 , 뇌혈관질환의 후유증 ,50,2759,600973,220,0,290,2148,10,91
입원연인원,13, M50 , 경추간판장애 ,49,2600,731100,99,139,410,1793,93,66
입원연인원,14, M96 , 달리 분류되지 않은 처치후 근골격장애 ,46,2589,544039,184,0,49,2333,23,0
입원연인원,15, M43 , 기타 변형성 등병증 ,38,2384,618731,0,146,331,1880,27,0
입원연인원,16, C16 , 위의 악성 신생물 ,86,2299,641863,75,21,146,1948,76,33
입원연인원,17, C34 , 기관지 및 폐의 악성 신생물 ,73,2173,859974,52,145,107,1318,543,8
입원연인원,18, C22 , 간 및 간내 담관의 악성 신생물 ,64,2112,673988,62,7,0,1677,366,0
입원연인원,19, S32 , 요추 및 골반의 골절 ,60,2040,432912,102,13,35,963,727,200
입원연인원,20, G81 , 편마비 ,46,2028,431461,60,0,182,1636,150,0
외래,1,N40,전립선증식증,38146,38146,2862117,418,574,1723,30461,3974,996
외래,2,E11,2형 당뇨병,25010,25010,2335613,1058,1016,2026,18205,2381,324
외래,3,U07,코로나바이러스 질환 2019,22080,22080,1626120,15801,1290,1489,3128,332,40
외래,4,I10,본태성(원발성) 고혈압,19397,19397,1222231,794,739,1479,13795,2158,432
외래,5,M48,기타 척추병증,17974,17974,3357376,360,616,934,14226,1641,197
외래,6,M17,무릎관절증,17668,17668,2027268,627,757,1967,12373,1753,191
외래,7,I20,협심증,15411,15411,1605526,224,392,907,12155,1479,254
외래,8,N18,만성 신장병,14458,14458,3125036,709,558,880,10203,1667,441
외래,9,K05,치은염 및 치주질환,12109,12109,1750215,643,427,954,9146,838,101
외래,10,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,11370,11370,778061,6328,849,850,2987,294,62
외래,11,L29,가려움,10275,10275,337624,387,273,460,8055,933,167
외래,12,K02,치아우식,9685,9685,1586334,661,297,727,7370,569,61
외래,13,M54,등통증,9634,9634,571500,373,219,666,7716,646,14
외래,14,L30,기타 피부염,9239,9239,316325,518,268,630,6786,903,134
외래,15,K08,치아 및 지지구조의 기타 장애,8358,8358,1737556,299,262,706,6401,571,119
외래,16,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,8154,8154,428460,5735,409,516,1348,128,18
외래,17,I63,뇌경색증,7725,7725,869314,308,128,257,5977,847,208
외래,18,H25,노년백내장,7365,7365,597724,29,87,347,6052,736,114
외래,19,H04,눈물계통의 장애,6739,6739,473048,310,248,529,4962,540,150
외래,20,H35,기타 망막장애,6518,6518,925464,111,80,292,5362,543,130
