"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1"," U07 "," 코로나바이러스 질환 2019 ","654","4730","1732179","141","55","62","224","135","37"
"입원실인원","2"," I20 "," 협심증 ","591","3032","2610095","10","9","34","488","43","7"
"입원실인원","3"," M48 "," 기타 척추병증 ","267","12912","3794079","6","8","12","220","17","4"
"입원실인원","4"," N40 "," 전립선증식증 ","259","1478","534901","2","3","7","226","21",""
"입원실인원","5"," J18 "," 상세불명 병원체의 폐렴 ","181","4618","1683207","4","2","3","113","36","23"
"입원실인원","6"," I50 "," 심부전 ","180","2270","793286","2","","1","102","48","27"
"입원실인원","7"," M51 "," 기타 추간판장애 ","157","5938","1812237","14","","10","123","10",""
"입원실인원","8"," M17 "," 무릎관절증 ","129","5203","1782880","","4","16","102","6","1"
"입원실인원","9"," C16 "," 위의 악성 신생물 ","103","2235","703462","5","4","4","77","10","3"
"입원실인원","10"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","90","4452","1255811","3","1","1","80","5",""
"입원실인원","11"," I63 "," 뇌경색증 ","87","4759","1325422","4","1","2","62","14","4"
"입원실인원","12"," K63 "," 장의 기타 질환 ","86","458","196428","4","1","4","74","2","1"
"입원실인원","13"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","76","3441","1248558","7","4","4","60","1",""
"입원실인원","14"," C34 "," 기관지 및 폐의 악성 신생물 ","69","2329","1011117","2","2","5","40","18","2"
"입원실인원","15"," K29 "," 위염 및 십이지장염 ","68","1238","323214","","1","2","54","9","2"
"입원실인원","16"," I73 "," 기타 말초혈관질환 ","63","498","492446","","","2","52","8","1"
"입원실인원","17"," K40 "," 사타구니탈장 ","57","356","130539","1","","2","44","9","1"
"입원실인원","18"," E11 "," 2형 당뇨병 ","55","2497","545543","","1","1","49","4",""
