"구분","순위","상병코드","상병명","실인원","연인원","59이하","60-64","65-69","70-79","80-89","90이상"
"입원실인원","1"," H25 "," Senile incipient cataract, ","1182","3987","14","33","51","877","178","29"
"입원실인원","2"," U07 "," Emergency use of U07 ","897","8163","418","74","82","210","87","26"
"입원실인원","3"," Z51 "," therapeutic radiology ","636","8214","47","51","23","381","100","34"
"입원실인원","4"," M17 "," Osteoarthritis of patellofemoral joint, both ","426","8724","12","18","48","284","59","5"
"입원실인원","5"," I25 "," Atherosclerotic cardiovascular disease ","421","4089","8","9","21","318","49","16"
"입원실인원","6"," C34 "," lung cancer of hilus ","336","6350","2","2","14","253","47","18"
"입원실인원","7"," M48 "," spinal stenosis ","321","4981","10","9","18","232","41","11"
"입원실인원","8"," C61 "," Acinar Prostate Adenocarcinoma ","296","3985","3","2","11","261","13","6"
"입원실인원","9"," I65 "," Occlusion and stenosis of vertebral artery ","289","1784","2","0","7","246","32","2"
"입원실인원","10"," Z04 "," Examination and observation following work accident ","280","873","0","0","0","251","28","1"
"입원실인원","11"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","234","3012","3","4","9","129","59","30"
"입원실인원","12"," M75 "," periarthritis of shoulder ","233","3036","16","9","26","170","11","1"
"입원실인원","13"," C22 "," Ruptured hepatocellular carcinoma ","223","2688","7","9","13","163","21","10"
"입원실인원","14"," I67 "," Dissection intracranial ","214","1120","17","13","28","137","19","0"
"입원실인원","15"," K80 "," gallstone(impacted) of cystic duct ","214","1815","13","11","15","127","34","14"
"입원실인원","16"," J18 "," bronchopneumonia ","209","3010","7","1","3","107","49","42"
"입원실인원","17"," N18 "," Chronic kidney disease, stage 1 ","204","5094","11","9","5","128","43","8"
"입원실인원","18"," K40 "," Bilateral inguinal hernia, with obstruction, without gangrene ","200","669","1","4","6","147","34","8"
"입원실인원","19"," I50 "," Right heart failure ","187","5945","3","1","0","76","62","45"
"입원실인원","20"," C16 "," Malignant neoplasm of cardia of stomach ","184","2573","4","2","7","130","32","9"
"입원연인원","1"," M17 "," Osteoarthritis of patellofemoral joint, both ","426","8724","251","355","973","5793","1248","104"
"입원연인원","2"," Z51 "," therapeutic radiology ","636","8214","850","464","524","3706","1749","921"
"입원연인원","3"," U07 "," Emergency use of U07 ","897","8163","3098","653","681","2471","1004","256"
"입원연인원","4"," F20 "," Paranoid schizophrenia ","85","8057","4132","882","1070","1622","351","0"
"입원연인원","5"," C34 "," lung cancer of hilus ","336","6350","34","6","258","4811","947","294"
