"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1"," N40 "," 전립선증식증 ","596","3156","1542267926","17","33","35","476","28","7"
"입원실인원","2"," M48 "," 기타 척추병증 ","439","8027","2321847323","24","30","50","273","56","6"
"입원실인원","3"," U07 "," U07의 응급사용 ","306","2800","915134252","168","20","21","64","25","8"
"입원실인원","4"," I20 "," 협심증 ","251","1493","1294788913","8","11","11","203","18","0"
"입원실인원","5"," I63 "," 뇌경색증 ","229","9039","2893547863","11","9","16","144","37","12"
"입원실인원","6"," C61 "," 전립선의 악성 신생물 ","189","3027","1815292395","1","3","9","143","25","8"
"입원실인원","7"," M17 "," 윤충증 ","122","3412","1141054590","1","9","7","91","13","1"
"입원실인원","8"," C67 "," 방광의 악성 신생물 ","101","1453","665676855","3","2","3","68","19","6"
"입원실인원","9"," C18 "," 결장의 악성 신생물 ","92","2389","976881874","1","0","1","76","11","3"
"입원실인원","10"," C16 "," 위의 악성 신생물 ","90","3011","1076301014","21","3","4","49","7","6"
"입원실인원","11"," K80 "," 담석증 ","89","1241","629922710","8","4","7","47","14","9"
"입원실인원","12"," C34 "," 기관지 및 폐의 악성 신생물 ","88","2433","1085739671","7","5","7","47","16","6"
"입원실인원","13"," C22 "," 간 및 간내담관의 악성 신생물 ","81","1678","725301968","4","3","3","51","18","2"
"입원실인원","14"," R42 "," 현기 및 어지러움 ","77","975","344063663","12","3","3","44","12","3"
"입원실인원","15"," K81 "," 담낭염 ","69","2035","790747830","2","5","4","39","14","5"
"입원실인원","16"," K40 "," 서혜헤르니아 ","65","523","219275080","3","1","7","42","6","6"
"입원실인원","17"," E11 "," 인슐린-비의존 당뇨병 ","63","784","250859328","2","4","3","50","3","1"
"입원실인원","18"," Z49 "," 투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ","61","7906","2249187216","6","2","2","38","13","0"
"입원실인원","19"," C25 "," 췌장의 악성신생물 ","57","1569","707782784","3","1","2","29","22","0"
"입원실인원","20"," M75 "," 어깨병변 ","57","1540","489119625","3","8","7","36","3","0"
"입원연인원","1"," I63 "," 뇌경색증 ","229","9039","2893547863","403","332","516","6024","1397","367"
"입원연인원","2"," M48 "," 기타 척추병증 ","439","8027","2321847323","281","703","835","4972","1068","168"
"입원연인원","3"," Z49 "," 투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ","61","7906","2249187216","317","33","72","6563","921","0"
"입원연인원","4"," M17 "," 윤충증 ","122","3412","1141054590","35","246","188","2424","408","111"
"입원연인원","5"," N40 "," 전립선증식증 ","596","3156","1542267926","74","116","159","2541","171","95"
"입원연인원","6"," C61 "," 전립선의 악성 신생물 ","189","3027","1815292395","4","42","119","2213","369","280"
"입원연인원","7"," C16 "," 위의 악성 신생물 ","90","3011","1076301014","277","212","221","2015","138","148"
"입원연인원","8"," U07 "," U07의 응급사용 ","306","2800","915134252","1039","130","139","697","686","109"
"입원연인원","9"," L89 "," 욕창성 및 압박부위 궤양 ","14","2601","542440690","0","0","0","714","1788","99"
