"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1","U07","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","994","10726","2468469.692","387","34","66","221","231","55"
"입원실인원","2","I20","협심증","670","5480","4432312.625","19","20","39","494","82","16"
"입원실인원","3","H25","노년백내장","481","640","840790.769","0","12","27","397","34","11"
"입원실인원","4","M51","기타 추간판장애","252","9236","2502313.719","16","9","7","183","31","6"
"입원실인원","5","M48","기타 척추병증","232","7815","2074862.667","3","4","7","159","39","20"
"입원실인원","6","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","209","5177","2526784.514","17","13","25","88","42","24"
"입원실인원","7","E11","2형 당뇨병","198","8561","2300262.157","10","6","6","151","21","4"
"입원실인원","8","R07","목구멍 및 가슴의 통증","136","624","353555.929","9","7","5","99","13","3"
"입원실인원","9","M17","무릎관절증","134","4603","1721315.154","2","2","12","102","15","1"
"입원실인원","10","I48","심방세동 및 조동","133","2233","2180723.96","5","2","3","100","14","9"
"입원실인원","11","J18","상세불명 병원체의 폐렴","116","3742","1067555.011","0","0","3","53","35","25"
"입원실인원","12","Z03","의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된","112","155","80273.243","2","3","6","94","7","0"
"입원실인원","13","M75","어깨병변","94","2343","832322.192","4","10","14","65","1","0"
"입원실인원","14","S32","요추 및 골반의 골절","88","3131","778177.202","0","1","6","45","26","10"
"입원실인원","15","N18","만성 신장병","85","5824","1592207.672","2","1","9","47","20","6"
"입원실인원","16","Z50","재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","73","4482","1135525.313","5","6","3","51","8","0"
"입원실인원","17","C61","전립선의 악성 신생물","70","182","82840.102","0","2","2","57","8","1"
"입원실인원","18","K80","담석증","63","487","342271.875","7","0","14","37","1","4"
"입원실인원","19","K40","사타구니탈장","58","184","115625.804","0","4","1","44","7","2"
"입원실인원","20","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","54","612","176521.173","4","3","4","26","10","7"
"입원연인원","1","U07","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","994","10726","2468469.692","3557","505","753","2482","2617","812"
"입원연인원","2","M51","기타 추간판장애","252","9236","2502313.719","340","362","261","6248","1068","957"
"입원연인원","3","E11","2형 당뇨병","198","8561","2300262.157","354","300","89","5604","2160","54"
"입원연인원","4","M48","기타 척추병증","232","7815","2074862.667","225","105","232","4919","1434","900"
"입원연인원","5","N18","만성 신장병","85","5824","1592207.672","163","43","244","2822","961","1591"
"입원연인원","6","I20","협심증","670","5480","4432312.625","21","78","84","4124","877","296"
"입원연인원","7","Z51","기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람","209","5177","2526784.514","596","281","423","1911","1244","722"
"입원연인원","8","M17","무릎관절증","134","4603","1721315.154","73","89","401","3430","565","45"
"입원연인원","9","Z50","재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","73","4482","1135525.313","1012","254","127","2524","565","0"
"입원연인원","10","J18","상세불명 병원체의 폐렴","116","3742","1067555.011","0","0","19","1599","768","1356"
"입원연인원","11","S32","요추 및 골반의 골절","88","3131","778177.202","0","39","214","1573","919","386"
"입원연인원","12","M75","어깨병변","94","2343","832322.192","117","227","307","1662","30","0"
"입원연인원","13","I48","심방세동 및 조동","133","2233","2180723.96","14","7","17","1646","344","205"
"입원연인원","14","H25","노년백내장","481","640","840790.769","0","16","27","536","40","21"
"입원연인원","15","R07","목구멍 및 가슴의 통증","136","624","353555.929","22","7","20","507","41","27"
