구분,상병코드,상병명칭,59이하,60-64,65-69,70-79,80-89,90이상
입원실인원,M48,기타 척추병증,3,14,14,469,106,11
입원실인원,K63,장의 기타 질환,12,16,28,376,59,1
입원실인원,H25,노년백내장,2,3,17,181,33,1
입원실인원,M96,달리분류되지않은처치후근골격장애,5,3,6,185,26,4
입원실인원,M17,무릎관절증,5,6,12,152,26,1
입원실인원,E11,2형당뇨병,8,2,9,132,38,2
입원실인원,M51,기타추간판장애,24,11,11,126,16,
입원실인원,M75,어깨병변,11,8,12,89,16,1
입원실인원,N18,만성신장병,6,2,3,74,35,9
입원실인원,M43,기타변형성등병증,,4,7,62,18,4
입원실인원,K29,위염및십이지장염,5,1,6,62,10,5
입원실인원,J18,상세불명병원체의폐렴,3,1,1,38,23,21
입원실인원,N40,전립선증식증,,2,4,64,12,
입원실인원,C18,결장의악성신생물,2,5,22,24,23,1
입원실인원,S22,늑골.흉골및흉추골의골절,4,3,3,33,19,11
입원실인원,M54,등통증,2,,4,52,12,
입원실인원,S72,대퇴골의골절,,2,7,25,21,13
입원실인원,K40,서혜헤르니아,,3,5,41,11,5
입원실인원,C34,기관지및폐의악성신생물,2,,3,34,13,11
입원실인원,K59,기타기능성장장애,2,,4,36,14,7
입원연인원,M48,기타척추병증,3,294,173,4715,1618,230
입원연인원,M17,무릎관절증,378,151,350,4307,964,3
입원연인원,M96,달리분류되지않은처치후근골격장애,76,11,158,3737,486,94
입원연인원,M75,어깨병변,202,150,349,2325,434,8
입원연인원,E11,2형당뇨병,66,59,211,2397,680,13
입원연인원,I69,뇌혈관질환의후유증,117,,105,1600,1074,
입원연인원,M54,등통증,32,,113,2018,519,
입원연인원,G82,하반신마비및사지마비,694,70,,1350,261,
입원연인원,S72,대퇴골의골절,,76,144,744,702,527
입원연인원,N18,만성신장병,10,2,9,1518,332,261
입원연인원,J18,상세불명병원체의폐렴,29,2,6,557,712,456
입원연인원,M51,기타추간판장애,118,18,130,1100,164,
입원연인원,S06,두개내손상,10,33,73,1100,180,119
입원연인원,K63,장의기타질환,30,20,55,1186,139,30
입원연인원,I63,뇌경색증,9,67,1,566,653,85
입원연인원,C16,위의악성신생물,127,,108,374,423,299
입원연인원,C34,기관지및폐의악성신생물,47,,30,684,275,295
입원연인원,S22,늑골.흉골및흉추골의골절,42,41,43,644,408,146
입원연인원,C25,췌장의악성신생물,105,90,210,360,345,95
입원연인원,J98,기타호흡장애,4,0,0,681,383,131
외래,N40,전립선증식증,269,632,1220,19603,4150,1381
외래,E11,2형당뇨병,1104,1038,1424,13798,2437,354
외래,M48,기타척추병증,242,295,661,10449,2287,490
외래,I10,본태성(원발성)고혈압,866,661,1149,8650,1921,644
외래,M54,등통증,1102,553,799,9006,1902,195
외래,K05,치은염및치주질환,1117,613,1201,8708,1509,175
외래,E86,용적고갈,335,421,941,7261,1858,444
외래,K63,장의기타질환,677,649,962,7893,1003,49
외래,N18,만성신장병,884,655,418,4529,1702,690
외래,K29,위염및십이지장염,1370,772,944,4594,793,149
외래,M17,무릎관절증,416,361,827,5409,1424,156
외래,I69,뇌혈관질환의후유증,253,112,394,5860,1513,408
외래,F03,상세불명의치매,2,15,129,3213,1733,755
외래,M75,어깨병변,604,350,577,3551,578,68
외래,Z29,기타예방적조치의필요,1068,336,362,2991,519,77
외래,R42,어지럼증및어지럼,203,164,271,3031,838,290
외래,Z26,기타단일감염성질환에대한예방접종의필요,1585,616,540,1619,232,47
외래,L29,가려움,191,135,212,3186,694,158
외래,J98,기타호흡장애,324,254,302,2764,671,249
외래,I20,협심증,110,89,165,3410,566,107
