"구분","순위","상병코드","상병명칭","실인원","연인원","59이하","60-64","65-69","70-79","80-89","90이상"
"입원실인원","1"," H25 "," Senile incipient cataract, ","1356","4893","15","44","62","920","282","33"
"입원실인원","2"," Z51 "," therapeutic radiology ","864","10290","34","38","79","512","142","59"
"입원실인원","3"," I25 "," Atherosclerotic cardiovascular disease ","534","4803","18","10","20","381","92","13"
"입원실인원","4"," M17 "," Osteoarthritis of patellofemoral joint, both ","452","10614","15","10","35","316","74","2"
"입원실인원","5"," C34 "," lung cancer of hilus ","437","7619","11","5","12","319","68","22"
"입원실인원","6"," C61 "," Acinar Prostate Adenocarcinoma ","393","5286","1","4","12","324","37","15"
"입원실인원","7"," M48 "," spinal stenosis ","388","5351","8","9","19","267","75","10"
"입원실인원","8"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","328","5294","9","14","12","193","67","33"
"입원실인원","9"," Z04 "," Examination and observation following work accident ","326","1003","","","","259","66","1"
"입원실인원","10"," J18 "," bronchopneumonia ","303","3926","4","2","6","135","80","76"
"입원실인원","11"," K80 "," gallstone(impacted) of cystic duct ","296","2981","12","11","15","163","68","27"
"입원실인원","12"," I50 "," Right heart failure ","277","5535","4","3","5","115","92","58"
"입원실인원","13"," M75 "," periarthritis of shoulder ","254","3477","14","12","14","200","14",""
"입원실인원","14"," I65 "," Occlusion and stenosis of vertebral artery ","233","1441","1","1","4","183","42","2"
"입원실인원","15"," E11 "," non-insulin-dependent diabetes mellitus with coma ","226","4152","12","5","3","158","34","14"
"입원실인원","16"," K40 "," Bilateral inguinal hernia, with obstruction, without gangrene ","225","793","4","4","6","149","50","12"
"입원실인원","17"," N18 "," Chronic kidney disease, stage 1 ","203","3431","13","7","3","122","43","15"
"입원실인원","18"," I20 "," Angina pectoris ","193","1146","7","2","9","115","58","2"
"입원실인원","19"," C22 "," Ruptured hepatocellular carcinoma ","186","2134","6","5","5","118","40","12"
"입원실인원","20"," C16 "," Malignant neoplasm of cardia of stomach ","183","3423","7","2","4","111","48","11"
"입원연인원","1"," G81 "," flaccid hemiplegia ","164","16944","1985","89","1499","8214","3792","1365"
"입원연인원","2"," M17 "," Osteoarthritis of patellofemoral joint, both ","452","10614","320","256","808","7434","1757","39"
"입원연인원","3"," G82 "," flaccid paraplegia ","63","10571","2155","435","497","5324","1509","651"
"입원연인원","4"," Z51 "," therapeutic radiology ","864","10290","317","846","879","4611","2183","1454"
"입원연인원","5"," F20 "," Paranoid schizophrenia ","83","8577","3869","805","1668","1818","417",""
"입원연인원","6"," C34 "," lung cancer of hilus ","437","7619","146","169","150","5665","1224","265"
"입원연인원","7"," I50 "," Right heart failure ","277","5535","98","31","87","2198","1962","1159"
"입원연인원","8"," M48 "," spinal stenosis ","388","5351","78","148","296","3643","1037","149"
"입원연인원","9"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","328","5294","206","230","147","3211","1011","489"
"입원연인원","10"," C61 "," Acinar Prostate Adenocarcinoma ","393","5286","11","39","119","4486","407","224"
"입원연인원","11"," H25 "," Senile incipient cataract, ","1356","4893","50","159","223","3330","1020","111"
"입원연인원","12"," I25 "," Atherosclerotic cardiovascular disease ","534","4803","96","39","191","3465","839","173"
"입원연인원","13"," S72 "," femur neck fracture Garden type III ","124","4372","177","30","139","1628","1470","928"
"입원연인원","14"," E11 "," non-insulin-dependent diabetes mellitus with coma ","226","4152","259","173","36","2649","828","207"
"입원연인원","15"," J18 "," bronchopneumonia ","303","3926","30","36","91","1556","1071","1142"
"입원연인원","16"," S06 "," Cerebral concussion, without open intracranial wound ","76","3714","","36","50","2445","836","347"
"입원연인원","17"," N17 "," acute tubular necrosis in septisemia ","139","3498","147","51","","1067","1441","792"
"입원연인원","18"," M75 "," periarthritis of shoulder ","254","3477","174","136","245","2683","239",""
"입원연인원","19"," N18 "," Chronic kidney disease, stage 1 ","203","3431","190","112","170","2041","789","129"
"입원연인원","20"," C16 "," Malignant neoplasm of cardia of stomach ","183","3423","78","53","36","1801","1065","390"
"외래","1"," N40 "," benign prostate of hyperplasia(BPH) ","57608","57608","541","1059","2316","39889","10595","3208"
"외래","2"," E11 "," non-insulin-dependent diabetes mellitus with coma ","54235","54235","2549","2002","3703","35385","9034","1562"
"외래","3"," K05 "," Acute gingivitis ","48156","48156","3411","2275","4527","30325","6657","961"
"외래","4"," K08 "," Other disorders of teeth and supporting  structures ","48154","48154","2556","1458","3794","31979","7094","1273"
"외래","5"," M51 "," Lumbar and other intervertebral disc disorders with myelopathy ","31729","31729","1759","600","1525","20442","6427","976"
"외래","6"," I20 "," Angina pectoris ","29410","29410","396","469","1108","20181","5869","1387"
"외래","7"," L30 "," Nummular dermatitis ","26145","26145","1299","704","1139","17909","4363","731"
"외래","8"," I63 "," cerebral infarction due to thrombosis of precerebral arteries ","22266","22266","304","311","816","14263","4778","1794"
"외래","9"," N18 "," Chronic kidney disease, stage 1 ","22051","22051","1069","540","686","13008","5221","1527"
"외래","10"," I10 "," essential hypertension ","21659","21659","956","785","1678","12978","4031","1231"
"외래","11"," R42 "," psychophysiologic dizziness ","18831","18831","664","556","1083","11565","3791","1172"
"외래","12"," C61 "," Acinar Prostate Adenocarcinoma ","18612","18612","40","76","340","13403","3943","810"
"외래","13"," G81 "," flaccid hemiplegia ","18509","18509","2272","663","1184","11179","2656","555"
"외래","14"," H35 "," radiation retinopathy ","17676","17676","131","223","593","11956","3708","1065"
"외래","15"," K02 "," Caries limited to enamel ","16450","16450","1960","648","1205","10014","2280","343"
"외래","16"," I11 "," Hypertensive heart disease ","15714","15714","736","637","1142","10142","2508","549"
"외래","17"," K04 "," suppurative pulpitis ","15547","15547","1150","574","1090","10406","2131","196"
"외래","18"," R52 "," acute pain ","15334","15334","2218","1094","770","8934","1697","621"
"외래","19"," M75 "," periarthritis of shoulder ","14496","14496","904","694","1177","9335","2179","207"
"외래","20","H42","Glaucoma in endocrine, nutritional and metabolic diseases","13076","13076","291","308","696","8297","2799","685"
