"구분","상병코드","상병명칭","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원 실인원","I10~I13, I15","고혈압","3","1","1","28","7","4"
"입원 실인원","E10~E14","당뇨병","3","5","359","4","2","76"
"입원 실인원","F00~F99, G40~G41","정신 및 행동장애","4","0","0","30","18","8"
"입원 실인원","A15, A16, A19","호흡기결핵","0","1","0","6","0","0"
"입원 실인원","I05~I09, I20~I27, I30~I52","심장질환","21","18","18","308","49","22"
"입원 실인원","I60~I69","대뇌혈관질환","25","14","22","189","45","19"
"입원 실인원","G00~G37, G43~G83","신경계질환","57","16","15","100","23","3"
"입원 실인원","C00~C97, D00~D09","악성신생물","65","34","45","568","151","39"
"입원 실인원","E00~E07","갑상선의 장애","0","0","1","5","0","0"
"입원 실인원","B18, B19, K70~K77","간의 질환","7","5","4","23","5","1"
"입원 실인원","N18","만성신부전증","0","3","2","19","8","4"
"입원 연인원","I10~I13, I15","고혈압","10","13","59","164","51","21"
"입원 연인원","E10~E14","당뇨병","7","62","21","1025","54","25"
"입원 연인원","F00~F99, G40~G41","정신 및 행동장애","56","0","0","620","424","59"
"입원 연인원","A15, A16, A19","호흡기결핵","0","14","0","163","0","0"
"입원 연인원","I05~I09, I20~I27, I30~I52","심장질환","144","95","191","2350","648","523"
"입원 연인원","I60~I69","대뇌혈관질환","954","638","858","8364","1638","495"
"입원 연인원","G00~G37, G43~G83","신경계질환","732","384","550","5407","1216","36"
"입원 연인원","C00~C97, D00~D09","악성신생물","1259","825","934","12151","4426","1104"
"입원 연인원","E00~E07","갑상선의 장애","0","0","7","74","0","0"
"입원 연인원","B18, B19, K70~K77","간의 질환","100","77","75","291","53","4"
"입원 연인원","N18","만성신부전증","0","486","27","604","631","85"
"외래","I10~I13, I15","고혈압","1552","1065","1906","11120","2074","722"
"외래","E10~E14","당뇨병","1472","1060","1569","12448","1795","303"
"외래","F00~F99, G40~G41","정신 및 행동장애","3109","1083","1199","9408","4883","1584"
"외래","A15, A16, A19","호흡기결핵","5","25","0","71","14","6"
"외래","I05~I09, I20~I27, I30~I52","심장질환","1134","1033","1503","14894","2577","694"
"외래","I60~I69","대뇌혈관질환","1487","690","812","8115","1927","654"
"외래","G00~G37, G43~G83","신경계질환","1734","1269","1505","7752","1340","273"
"외래","C00~C97, D00~D09","악성신생물","655","451","574","9358","1773","411"
"외래","E00~E07","갑상선의 장애","407","201","266","1160","210","33"
"외래","B18, B19, K70~K77","간의 질환","740","353","340","1945","181","44"
"외래","N18","만성신부전증","640","72","239","2386","969","169"
