구분,상병코드,상병명칭,59세이하,60세-64세,65세-69세,70세-79세,80세-89세,90세이상
입원(실인원),"I10~I13, I15",고혈압,11,5,7,69,26,3
입원(실인원),E10~E14,당뇨병,9,8,4,104,13,2
입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,2,1,4,27,8,14
입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,2,2,1
입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,31,41,54,691,173,65
입원(실인원),I60~I69,대뇌혈관질환,19,12,23,212,49,26
입원(실인원),"G00~G37, G43~G83",신경계질환,25,14,12,134,21,2
입원(실인원),"C00~C97, D00~D09",악성신생물,96,54,56,590,227,36
입원(실인원),E00~E07,갑상선의 장애,0,0,0,7,0,0
입원(실인원),"B18, B19, K70~K77",간의 질환,12,4,4,41,9,4
입원(실인원),N18,만성신부전증,9,6,6,41,21,4
입원(연인원),"I10~I13, I15",고혈압,84,26,34,583,353,23
입원(연인원),E10~E14,당뇨병,57,235,48,1684,274,64
입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,22,4,67,700,99,311
입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,117,15,15
입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,119,184,466,5455,1814,906
입원(연인원),I60~I69,대뇌혈관질환,1008,751,1312,8786,1186,942
입원(연인원),"G00~G37, G43~G83",신경계질환,829,570,442,5699,976,22
입원(연인원),"C00~C97, D00~D09",악성신생물,1755,1404,1304,11398,5752,1570
입원(연인원),E00~E07,갑상선의 장애,0,0,0,103,0,0
입원(연인원),"B18, B19, K70~K77",간의 질환,217,89,28,673,108,57
입원(연인원),N18,만성신부전증,226,179,93,1414,369,75
외래,"I10~I13, I15",고혈압,1676,1003,1687,11558,2290,729
외래,E10~E14,당뇨병,1348,904,1456,11072,2049,324
외래,"F00~F99, G40~G41",정신 및 행동장애,2729,977,1195,8891,4797,2053
외래,"A15, A16, A19",호흡기결핵,0,0,1,18,4,0
외래,"I05~I09, I20~I27, I30~I52",심장질환,1086,1026,1338,15153,3233,945
외래,I60~I69,대뇌혈관질환,1252,585,771,7817,2237,638
외래,"G00~G37, G43~G83",신경계질환,1561,1062,1165,7938,1512,282
외래,"C00~C97, D00~D09",악성신생물,878,492,617,9345,2362,562
외래,E00~E07,갑상선의 장애,398,184,245,1237,235,44
외래,"B18, B19, K70~K77",간의 질환,854,351,401,2321,325,42
외래,N18,만성신부전증,1494,488,885,4134,1614,176
