"구분","상병코드","상병명칭","합계","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원(실인원)","I10~I13, I15","고혈압","36","2","0","4","18","8","4""입원(실인원)","E10~E14","당뇨병","208","10","7","6","159","22","4"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","3","0","0","0","1","2","0"
"입원(실인원)","A15, A16, A19","호흡기결핵","7","0","0","0","3","0","4"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","985","30","30","53","683","131","58""입원(실인원)","I60~I69","대뇌혈관질환","54","2","2","4","31","13","2"
"입원(실인원)","G00~G37, G43~G83","신경계질환","61","2","1","1","53","4","0"
"입원(실인원)","C00~C97, D00~D09","악성신생물","206","1","3","11","151","29","11"
"입원(실인원)","E00~E07","갑상선의 장애","1","0","0","0","1","0","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","27","1","0","1","15","4","6"
"입원(실인원)","N18","만성신부전증","85","2","1","9","47","20","6"
"입원(연인원)","I10~I13, I15","고혈압","1136","4","0","35","720","261","116"
"입원(연인원)","E10~E14","당뇨병","9472","354","332","89","6466","2167","64"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","109","0","0","0","24","85","0"
"입원(연인원)","A15, A16, A19","호흡기결핵","242","0","0","0","75","0","167"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","10797","80","171","187","7347","1848","1164"
"입원(연인원)","I60~I69","대뇌혈관질환","1961","21","19","60","1476","325","60"
"입원(연인원)","G00~G37, G43~G83","신경계질환","3690","841","7","7","2519","316","0"
"입원(연인원)","C00~C97, D00~D09","악성신생물","5222","1","11","338","3580","996","296"
"입원(연인원)","E00~E07","갑상선의 장애","1","0","0","0","1","0","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","992","16","0","9","566","55","346"
"입원(연인원)","N18","만성신부전증","5824","163","43","244","2822","961","1591"
"외래","I10~I13, I15","고혈압","19513","1081","1133","1969","12035","2377","918"
"외래","E10~E14","당뇨병","25068","1395","1277","2203","16739","2777","677"
"외래","F00~F99, G40~G41","정신 및 행동장애","15437","953","495","934","7559","3650","1846"
"외래","A15, A16, A19","호흡기결핵","43","0","0","0","19","20","4"
"외래","I05~I09, I20~I27, I30~I52","심장질환","23358","746","698","1364","16450","3138","962"
"외래","I60~I69","대뇌혈관질환","13569","308","367","906","8938","2255","795"
"외래","G00~G37, G43~G83","신경계질환","16923","1280","596","829","12393","1475","350"
"외래","C00~C97, D00~D09","악성신생물","9269","178","97","437","6599","1474","484"
"외래","E00~E07","갑상선의 장애","5575","505","349","720","3448","416","137"
"외래","B18, B19, K70~K77","간의 질환","3397","639","292","382","1876","189","19"
"외래","N18","만성신부전증","9759","977","598","579","5962","1064","579"
