"구분","상병코드","상병명칭","합계","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원 실인원","I10~I13, I15","고혈압","34","","","7","21","3","3"
"입원 실인원","E10~E14","당뇨병","248","10","11","9","183","34","1"
"입원 실인원","F00~F99, G40~G41","정신 및 행동장애","13","3","","","5","3","2"
"입원 실인원","A15, A16, A19","호흡기결핵","1","1","","","","",""
"입원 실인원","I05~I09, I20~I27, I30~I52","심장질환","90","2","3","5","70","8","2"
"입원 실인원","I60~I69","대뇌혈관질환","156","8","3","4","103","29","9"
"입원 실인원","G00~G37, G43~G83","신경계질환","65","14","5","4","36","6",""
"입원 실인원","C00~C97, D00~D09","악성신생물","412","31","19","25","252","64","21"
"입원 실인원","E00~E07","갑상선의 장애","5","","","","5","",""
"입원 실인원","B18, B19, K70~K77","간의 질환","64","4","1","5","48","6",""
"입원 실인원","N18","만성신부전증","91","3","4","5","68","7","4"
"입원 연인원","I10~I13, I15","고혈압","563","","","16","458","26","63"
"입원 연인원","E10~E14","당뇨병","4824","261","122","404","3192","700","145"
"입원 연인원","F00~F99, G40~G41","정신 및 행동장애","600","111","","","90","33","366"
"입원 연인원","A15, A16, A19","호흡기결핵","24","24","","","","",""
"입원 연인원","I05~I09, I20~I27, I30~I52","심장질환","194","4","6","9","147","15","13"
"입원 연인원","I60~I69","대뇌혈관질환","6764","351","16","42","4356","1865","134"
"입원 연인원","G00~G37, G43~G83","신경계질환","4035","785","72","283","2578","317",""
"입원 연인원","C00~C97, D00~D09","악성신생물","8716","899","429","632","4504","1808","444"
"입원 연인원","E00~E07","갑상선의 장애","98","","","","98","",""
"입원 연인원","B18, B19, K70~K77","간의 질환","782","77","7","43","609","46",""
"입원 연인원","N18","만성신부전증","830","5","4","28","695","69","29"
"외래","I10~I13, I15","고혈압","15989","955","909","1464","10177","1810","674"
"외래","E10~E14","당뇨병","20590","1148","1139","1827","14064","2001","411"
"외래","F00~F99, G40~G41","정신 및 행동장애","16200","1212","461","847","9412","3067","1201"
"외래","A15, A16, A19","호흡기결핵","78","17","","9","29","18","5"
"외래","I05~I09, I20~I27, I30~I52","심장질환","7420","206","173","444","5349","935","313"
"외래","I60~I69","대뇌혈관질환","14785","405","544","967","10175","2128","566"
"외래","G00~G37, G43~G83","신경계질환","8780","998","405","586","5772","782","237"
"외래","C00~C97, D00~D09","악성신생물","7076","319","259","290","4346","1467","395"
"외래","E00~E07","갑상선의 장애","1810","191","123","217","1122","147","10"
"외래","B18, B19, K70~K77","간의 질환","3580","795","259","372","1879","240","35"
"외래","N18","만성신부전증","7234","744","481","195","4270","1071","473"
