"구분","상병코드","상병명칭","59이하","60-64","65-69","70-79","80-89","90이상"
"입원(실인원)","I10~I13, I15","고혈압","1","1","1","39","4","3"
"입원(실인원)","E10~E14","당뇨병","10","3","11","172","23","2"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","3","1","1"
"입원(실인원)","A15, A16, A19","호흡기결핵","0","0","0","0","0","0"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","7","3","8","110","24","6"
"입원(실인원)","I60~I69","대뇌혈관질환","3","4","3","73","22","10"
"입원(실인원)","G00~G37, G43~G83","신경계질환","12","2","2","42","7","1"
"입원(실인원)","C00~C97, D00~D09","악성신생물","47","21","23","180","79","20"
"입원(실인원)","E00~E07","갑상선의 장애","0","0","0","1","1","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","4","2","4","27","5","2"
"입원(실인원)","N18","만성신부전증","2","3","1","82","23","15"
"입원(연인원)","I10~I13, I15","고혈압","1","3","9","334","37","26"
"입원(연인원)","E10~E14","당뇨병","149","44","177","3153","671","18"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","0","0","0","90","18","215"
"입원(연인원)","A15, A16, A19","호흡기결핵","0","0","0","0","0","0"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","24","3","32","346","115","54"
"입원(연인원)","I60~I69","대뇌혈관질환","375","35","127","3027","1225","320"
"입원(연인원)","G00~G37, G43~G83","신경계질환","802","72","12","2897","195","6"
"입원(연인원)","C00~C97, D00~D09","악성신생물","964","364","437","3490","1960","741"
"입원(연인원)","E00~E07","갑상선의 장애","0","0","0","7","12","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","22","18","10","329","88","8"
"입원(연인원)","N18","만성신부전증","2","3","1","1183","343","447"
"외래","I10~I13, I15","고혈압","934","749","1368","9840","1768","726"
"외래","E10~E14","당뇨병","1090","1039","1515","14335","1869","470"
"외래","F00~F99, G40~G41","정신 및 행동장애","990","382","760","8567","2816","1034"
"외래","A15, A16, A19","호흡기결핵","0","1","3","42","11","2"
"외래","I05~I09, I20~I27, I30~I52","심장질환","191","175","443","6409","1165","402"
"외래","I60~I69","대뇌혈관질환","379","422","840","10085","2112","562"
"외래","G00~G37, G43~G83","신경계질환","819","173","464","5638","788","251"
"외래","C00~C97, D00~D09","악성신생물","399","166","336","4186","1409","376"
"외래","E00~E07","갑상선의 장애","293","130","248","1183","147","20"
"외래","B18, B19, K70~K77","간의 질환","746","240","386","1698","214","45"
"외래","N18","만성신부전증","794","600","260","4510","1351","575"
