"구분","상병코드","상병명칭","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원(실인원)","I10~I13, I15","고혈압","5","2","2","31","12","1"
"입원(실인원)","E10~E14","당뇨병","2","2","1","70","8",""
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","","","","3","3","1"
"입원(실인원)","A15, A16, A19","호흡기결핵","","1","","3","",""
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","18","11","38","669","107","41"
"입원(실인원)","I60~I69","대뇌혈관질환","5","5","3","99","18","4"
"입원(실인원)","G00~G37, G43~G83","신경계질환","6","2","7","99","6","1"
"입원(실인원)","C00~C97, D00~D09","악성신생물","28","14","17","288","74","24"
"입원(실인원)","E00~E07","갑상선의 장애","","","","1","1",""
"입원(실인원)","B18, B19, K70~K77","간의 질환","4","2","6","37","4",""
"입원(실인원)","N18","만성신부전증","1","","1","34","6","5"
"입원(연인원)","I10~I13, I15","고혈압","16","4","15","186","100","5"
"입원(연인원)","E10~E14","당뇨병","72","18","13","3354","220",""
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","","","","113","136","1"
"입원(연인원)","A15, A16, A19","호흡기결핵","","13","","43","",""
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","76","34","158","4566","1023","449"
"입원(연인원)","I60~I69","대뇌혈관질환","439","205","102","5506","1140","88"
"입원(연인원)","G00~G37, G43~G83","신경계질환","444","67","236","5117","324","64"
"입원(연인원)","C00~C97, D00~D09","악성신생물","405","229","446","7441","1877","660"
"입원(연인원)","E00~E07","갑상선의 장애","","","","1","14",""
"입원(연인원)","B18, B19, K70~K77","간의 질환","215","40","262","999","151",""
"입원(연인원)","N18","만성신부전증","53","","3","1538","145","140"
"외래","I10~I13, I15","고혈압","738","576","1108","10978","1742","406"
"외래","E10~E14","당뇨병","899","850","1507","17862","2339","358"
"외래","F00~F99, G40~G41","정신 및 행동장애","1431","580","1090","13003","2789","782"
"외래","A15, A16, A19","호흡기결핵","15","13","14","78","17",""
"외래","I05~I09, I20~I27, I30~I52","심장질환","361","438","971","15037","2334","562"
"외래","I60~I69","대뇌혈관질환","534","379","360","8946","1382","309"
"외래","G00~G37, G43~G83","신경계질환","566","359","427","6361","642","127"
"외래","C00~C97, D00~D09","악성신생물","187","144","368","10550","1481","241"
"외래","E00~E07","갑상선의 장애","253","177","279","1823","230","44"
"외래","B18, B19, K70~K77","간의 질환","474","250","368","2386","269","19"
"외래","N18","만성신부전증","716","466","589","8872","1635","534"
