"구분","상병명 코드","상병명 명칭","연령별 합계","연령별(59이하)","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"입원(실인원)","I10~I13, I15","고혈압","40","2","0","1","8","12","17"
"입원(실인원)","E10~E14","당뇨병","190","16","6","18","106","33","11"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","4","0","0","0","3","1","0"
"입원(실인원)","A15, A16, A19","호흡기결핵","1","0","0","0","1","0","0"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","9","0","0","0","3","5","1"
"입원(실인원)","I60~I69","대뇌혈관질환","38","1","2","3","27","5","0"
"입원(실인원)","G00~G37, G43~G83","신경계질환","41","4","6","4","22","4","1"
"입원(실인원)","C00~C97, D00~D09","악성신생물","114","3","0","1","60","41","9"
"입원(실인원)","E00~E07","갑상선의 장애","1","0","0","0","1","0","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","10","1","1","0","5","3","0"
"입원(실인원)","N18","만성신부전증","1","0","0","0","0","0","1"
"입원(연인원)","I10~I13, I15","고혈압","807","5","0","1","153","203","445"
"입원(연인원)","E10~E14","당뇨병","3117","171","33","281","1836","563","233"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","218","0","0","0","193","25","0"
"입원(연인원)","A15, A16, A19","호흡기결핵","13","0","0","0","13","0","0"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","228","0","0","0","61","164","3"
"입원(연인원)","I60~I69","대뇌혈관질환","765","13","7","10","601","134","0"
"입원(연인원)","G00~G37, G43~G83","신경계질환","1191","101","93","24","731","226","16"
"입원(연인원)","C00~C97, D00~D09","악성신생물","2596","63","0","84","1150","1142","157"
"입원(연인원)","E00~E07","갑상선의 장애","14","0","0","0","14","0","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","216","5","8","0","159","44","0"
"입원(연인원)","N18","만성신부전증","11","0","0","0","0","0","11"
"외래","I10~I13, I15","고혈압","10590","607","699","886","6213","1657","528"
"외래","E10~E14","당뇨병","6876","493","366","665","4316","872","164"
"외래","F00~F99, G40~G41","정신 및 행동장애","2370","32","39","117","1240","736","206"
"외래","A15, A16, A19","호흡기결핵","0","0","0","0","0","0","0"
"외래","I05~I09, I20~I27, I30~I52","심장질환","2126","64","74","122","1370","340","156"
"외래","I60~I69","대뇌혈관질환","3443","38","68","153","2463","599","122"
"외래","G00~G37, G43~G83","신경계질환","3926","572","162","225","2502","330","135"
"외래","C00~C97, D00~D09","악성신생물","1698","32","24","32","1142","394","74"
"외래","E00~E07","갑상선의 장애","361","86","13","24","203","33","2"
"외래","B18, B19, K70~K77","간의 질환","952","220","80","77","532","37","6"
"외래","N18","만성신부전증","66","0","4","0","49","3","10"
