"구분","상병코드","상병명칭","합계","59이하","60-64","65-69","70-79","80-89","90이상"
"입원(실인원)","I10~I13, I15","고혈압","4","","","","4","",""
"입원(실인원)","E10~E14","당뇨병","147","19","8","4","93","15","8"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","184","77","27","13","62","4","1"
"입원(실인원)","A15, A16, A19","호흡기결핵","13","","","","8","4","1"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","1009","27","24","46","650","200","62"
"입원(실인원)","I60~I69","대뇌혈관질환","836","40","32","79","569","88","28"
"입원(실인원)","G00~G37, G43~G83","신경계질환","173","15","7","14","113","21","3"
"입원(실인원)","C00~C97, D00~D09","악성신생물","1905","74","47","98","1356","274","56"
"입원(실인원)","E00~E07","갑상선의 장애","9","","","","8","1",""
"입원(실인원)","B18, B19, K70~K77","간의 질환","94","10","8","10","55","8","3"
"입원(실인원)","N18","만성신부전증","177","9","6","5","121","34","2"
"입원(연인원)","I10~I13, I15","고혈압","27","","","","27","",""
"입원(연인원)","E10~E14","당뇨병","3904","293","232","86","2283","581","429"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","13636","5763","2432","1103","4179","152","7"
"입원(연인원)","A15, A16, A19","호흡기결핵","207","","","","126","24","57"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","12937","158","135","458","7087","4246","853"
"입원(연인원)","I60~I69","대뇌혈관질환","8300","229","550","485","4748","1889","399"
"입원(연인원)","G00~G37, G43~G83","신경계질환","3596","227","197","761","1878","456","77"
"입원(연인원)","C00~C97, D00~D09","악성신생물","33464","999","744","1171","23534","5605","1411"
"입원(연인원)","E00~E07","갑상선의 장애","82","","","","79","3",""
"입원(연인원)","B18, B19, K70~K77","간의 질환","1679","86","150","106","1017","138","182"
"입원(연인원)","N18","만성신부전증","5383","113","83","123","3573","1471","20"
"외래","I10~I13, I15","고혈압","55005","2493","2621","4663","34995","8550","1683"
"외래","E10~E14","당뇨병","58595","3309","2656","4872","39473","7225","1060"
"외래","F00~F99, G40~G41","정신 및 행동장애","40478","5530","1729","2579","20778","7721","2141"
"외래","A15, A16, A19","호흡기결핵","477","30","17","9","199","126","96"
"외래","I05~I09, I20~I27, I30~I52","심장질환","45789","1226","1310","2579","31916","7221","1537"
"외래","I60~I69","대뇌혈관질환","35455","1320","1059","2306","23489","5781","1500"
"외래","G00~G37, G43~G83","신경계질환","56804","7489","2558","3663","36350","5716","1028"
"외래","C00~C97, D00~D09","악성신생물","61004","1775","1567","3063","45205","8125","1269"
"외래","E00~E07","갑상선의 장애","8139","896","562","1182","4582","797","120"
"외래","B18, B19, K70~K77","간의 질환","11007","1458","889","1241","6595","743","81"
"외래","N18","만성신부전증","17612","1338","634","778","10792","3125","945"
