"구분","코드","명칭","59이하","60-64","65-69","70-79","80-89","90이상"
"입원(실인원)","I10~I13, I15","고혈압","2","0","0","2","1","0"
"입원(실인원)","E10~E14","당뇨병","17","10","2","118","25","8"
"입원(실인원)","F00~F99, G40~G41","정신 및 행동장애","83","24","20","62","17","1"
"입원(실인원)","A15, A16, A19","호흡기결핵","1","0","0","8","7","7"
"입원(실인원)","I05~I09, I20~I27, I30~I52","심장질환","25","23","48","822","217","94"
"입원(실인원)","I60~I69","대뇌혈관질환","24","22","53","546","107","29"
"입원(실인원)","G00~G37, G43~G83","신경계질환","21","12","18","170","32","4"
"입원(실인원)","C00~C97, D00~D09","악성신생물","47","56","83","1373","233","88"
"입원(실인원)","E00~E07","갑상선의 장애","0","0","1","4","1","0"
"입원(실인원)","B18, B19, K70~K77","간의 질환","3","1","2","57","13","1"
"입원(실인원)","N18","만성신부전증","11","9","6","131","39","8"
"입원(연인원)","I10~I13, I15","고혈압","11","0","0","8","5","0"
"입원(연인원)","E10~E14","당뇨병","286","164","47","2100","477","96"
"입원(연인원)","F00~F99, G40~G41","정신 및 행동장애","5663","1650","1515","3762","914","18"
"입원(연인원)","A15, A16, A19","호흡기결핵","7","0","0","151","110","146"
"입원(연인원)","I05~I09, I20~I27, I30~I52","심장질환","257","179","305","9563","3460","1750"
"입원(연인원)","I60~I69","대뇌혈관질환","99","160","262","4398","1460","901"
"입원(연인원)","G00~G37, G43~G83","신경계질환","867","426","2202","7271","1384","186"
"입원(연인원)","C00~C97, D00~D09","악성신생물","456","477","1154","19611","4271","1142"
"입원(연인원)","E00~E07","갑상선의 장애","0","0","14","40","3","0"
"입원(연인원)","B18, B19, K70~K77","간의 질환","36","14","51","776","161","35"
"입원(연인원)","N18","만성신부전증","229","96","191","3943","367","65"
"외래","I10~I13, I15","고혈압","2161","2110","4024","32513","7694","1896"
"외래","E10~E14","당뇨병","3275","2687","4650","42576","7772","1354"
"외래","F00~F99, G40~G41","정신 및 행동장애","4951","1399","2139","18869","7254","2378"
"외래","A15, A16, A19","호흡기결핵","30","2","0","214","93","123"
"외래","I05~I09, I20~I27, I30~I52","심장질환","1209","1199","2402","33548","7759","2126"
"외래","I60~I69","대뇌혈관질환","1198","862","2119","23055","5561","1597"
"외래","G00~G37, G43~G83","신경계질환","7316","2496","3491","34319","5315","1540"
"외래","C00~C97, D00~D09","악성신생물","1634","1419","2787","41932","7630","1706"
"외래","E00~E07","갑상선의 장애","712","423","880","4472","802","133"
"외래","B18, B19, K70~K77","간의 질환","1165","776","1010","6033","719","85"
"외래","N18","만성신부전증","1044","697","869","12612","3907","1163"
