"구분","코드","명칭","59이하","60-64","65-69","70-79","80-89","90이상"
"입원(실인원)","I10~I13,I15","고혈압","","","1","3","",""
"입원(실인원)","E10~E14","당뇨병","15","5","4","170","32","14"
"입원(실인원)","F00~F99,G40~G41","정신및행동장애","78","21","22","65","15",""
"입원(실인원)","A15,A16,A19","호흡기결핵","","","","15","3","3"
"입원(실인원)","I05~I09,I20~I27,I30~I52","심장질환","46","30","56","941","334","104"
"입원(실인원)","I60~I69","대뇌혈관질환","25","27","45","515","112","35"
"입원(실인원)","G00~G37,G43~G83","신경계질환","34","15","24","228","79","23"
"입원(실인원)","C00~C97,D00~D09","악성신생물","54","36","78","1477","357","124"
"입원(실인원)","E00~E07","갑상선의장애","4","1","","12","","1"
"입원(실인원)","B18,B19,K70~K77","간의질환","5","","1","57","19","6"
"입원(실인원)","N18","만성신부전증","13","8","3","126","39","14"
"입원(연인원)","I10~I13,I15","고혈압","","","6","176","",""
"입원(연인원)","E10~E14","당뇨병","259","168","62","2884","618","85"
"입원(연인원)","F00~F99,G40~G41","정신및행동장애","6009","1887","1815","3115","525",""
"입원(연인원)","A15,A16,A19","호흡기결핵","","","","337","28","40"
"입원(연인원)","I05~I09,I20~I27,I30~I52","심장질환","283","366","490","9759","3851","1296"
"입원(연인원)","I60~I69","대뇌혈관질환","792","276","367","6971","1063","471"
"입원(연인원)","G00~G37,G43~G83","신경계질환","4490","737","2171","16501","5136","1574"
"입원(연인원)","C00~C97,D00~D09","악성신생물","560","604","1130","22557","5004","1643"
"입원(연인원)","E00~E07","갑상선의장애","23","9","","73","51",""
"입원(연인원)","B18,B19,K70~K77","간의질환","80","","25","895","169","97"
"입원(연인원)","N18","만성신부전증","260","133","75","2191","492","78"
"외래","I10~I13,I15","고혈압","1784","1594","3068","24751","6333","1601"
"외래","E10~E14","당뇨병","2954","2404","4225","41363","8643","1417"
"외래","F00~F99,G40~G41","정신및행동장애","4431","1282","1949","17388","7338","2554"
"외래","A15,A16,A19","호흡기결핵","17","2","21","340","74","99"
"외래","I05~I09,I20~I27,I30~I52","심장질환","1244","1244","2542","38085","10463","2744"
"외래","I60~I69","대뇌혈관질환","1047","751","1928","22930","5923","1814"
"외래","G00~G37,G43~G83","신경계질환","6965","2623","4282","34392","7512","1573"
"외래","C00~C97,D00~D09","악성신생물","1548","1014","2617","42637","9768","2168"
"외래","E00~E07","갑상선의장애","784","474","980","5380","1238","156"
"외래","B18,B19,K70~K77","간의질환","813","560","654","4706","701","94"
"외래","N18","만성신부전증","1175","499","779","13566","4666","1300"
