구분,상병코드,상병명칭,합계,59세이하,60세-64세,65세-69세,70세-79세,80세-89세,90세이상
입원(실인원),"I10~I13, I15",고혈압,50,3,1, ,25,10,11
입원(실인원),E10~E14,당뇨병,227,14,11,6,151,39,6
입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,2, , , ,2, , 
입원(실인원),"A15, A16, A19",호흡기결핵,8, , , ,4,2,2
입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,921,23,31,48,626,135,58
입원(실인원),I60~I69,대뇌혈관질환,53, , ,2,34,9,8
입원(실인원),"G00~G37, G43~G83",신경계질환,73,3, ,3,57,9,1
입원(실인원),"C00~C97, D00~D09",악성신생물,182,2,2,10,114,33,21
입원(실인원),E00~E07,갑상선의 장애, , , , , , , 
입원(실인원),"B18, B19, K70~K77",간의 질환,14,1, ,1,7,3,2
입원(실인원),N18,만성신부전증,74,4,1,3,54,8,4
입원(연인원),"I10~I13, I15",고혈압,1600,111,12, ,789,134,554
입원(연인원),E10~E14,당뇨병,10762,538,251,116,8317,1255,285
입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,31, , , ,31, , 
입원(연인원),"A15, A16, A19",호흡기결핵,261, , , ,90,57,114
입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,11027,42,95,274,6706,2570,1340
입원(연인원),I60~I69,대뇌혈관질환,2228, , ,17,1506,280,425
입원(연인원),"G00~G37, G43~G83",신경계질환,3178,77, ,147,2600,259,95
입원(연인원),"C00~C97, D00~D09",악성신생물,4003,14,2,244,1801,1236,706
입원(연인원),E00~E07,갑상선의 장애, , , , , , , 
입원(연인원),"B18, B19, K70~K77",간의 질환,614,13, ,8,115,162,316
입원(연인원),N18,만성신부전증,4667,223,64,53,3850,385,92
외래,"I10~I13, I15",고혈압,18169,1085,851,1740,10852,2604,1037
외래,E10~E14,당뇨병,21975,1199,1089,1783,14331,2864,709
외래,"F00~F99, G40~G41",정신 및 행동장애,16304,964,583,780,7361,4260,2356
외래,"A15, A16, A19",호흡기결핵,40, , , ,28,12, 
외래,"I05~I09, I20~I27, I30~I52",심장질환,23401,745,696,1266,16209,3358,1127
외래,I60~I69,대뇌혈관질환,12605,271,364,863,8089,2156,862
외래,"G00~G37, G43~G83",신경계질환,17729,1284,444,998,12962,1697,344
외래,"C00~C97, D00~D09",악성신생물,9157,218,79,307,6353,1570,630
외래,E00~E07,갑상선의 장애,5121,405,322,524,3234,516,120
외래,"B18, B19, K70~K77",간의 질환,3210,602,301,322,1711,247,27
외래,N18,만성신부전증,10858,621,410,907,7060,1156,704
