구분,상병코드,상병명칭,59세이하,60세-64세,65세-69세,70세-79세,80세-89세,90세이상
입원(실인원),"I10~I13, I15",고혈압,1,4,,40,11,2
입원(실인원),E10~E14,당뇨병,2,3,1,46,6,
입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,,,,4,1,
입원(실인원),"A15, A16, A19",호흡기결핵,,,,12,,2
입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,18,11,28,761,142,57
입원(실인원),I60~I69,대뇌혈관질환,10,4,3,110,30,3
입원(실인원),"G00~G37, G43~G83",신경계질환,13,,8,99,12,
입원(실인원),"C00~C97, D00~D09",악성신생물,22,13,14,307,94,29
입원(실인원),E00~E07,갑상선의 장애,,,,,,
입원(실인원),"B18, B19, K70~K77",간의 질환,6,1,3,36,7,
입원(실인원),N18,만성신부전증,2,,,45,9,6
입원(연인원),"I10~I13, I15",고혈압,2,82,,388,161,18
입원(연인원),E10~E14,당뇨병,124,56,13,1866,155,
입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,,,,202,16,
입원(연인원),"A15, A16, A19",호흡기결핵,,,,294,,46
입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,72,43,230,5987,1505,718
입원(연인원),I60~I69,대뇌혈관질환,666,291,168,6263,2092,111
입원(연인원),"G00~G37, G43~G83",신경계질환,720,,610,6913,754,
입원(연인원),"C00~C97, D00~D09",악성신생물,693,413,496,6929,2151,1156
입원(연인원),E00~E07,갑상선의 장애,,,,,,
입원(연인원),"B18, B19, K70~K77",간의 질환,276,1,126,976,137,1516
입원(연인원),N18,만성신부전증,29,,,2299,578,153
외래,"I10~I13, I15",고혈압,729,513,984,10685,2040,473
외래,E10~E14,당뇨병,845,766,1225,17485,2794,380
외래,"F00~F99, G40~G41",정신 및 행동장애,1487,553,1109,14294,3491,1032
외래,"A15, A16, A19",호흡기결핵,15,,,94,2,11
외래,"I05~I09, I20~I27, I30~I52",심장질환,440,472,973,16903,3299,748
외래,I60~I69,대뇌혈관질환,682,262,523,9567,1964,359
외래,"G00~G37, G43~G83",신경계질환,904,479,555,7567,1089,191
외래,"C00~C97, D00~D09",악성신생물,219,127,213,11931,2037,301
외래,E00~E07,갑상선의 장애,218,119,238,1601,276,47
외래,"B18, B19, K70~K77",간의 질환,518,211,356,2420,313,18
외래,N18,만성신부전증,768,393,217,10250,1746,554
