"구분","병동구분","병상 합계","병실 합계","1인실 병상","1인실 병실","2인실 병상","2인실 병실","4인실 병상","4인실 병실","5인실 병상","5인실 병실","6인실 병상","6인실 병실","기타 병상","기타 병실"
"운영병상(일반)","일반병실","420","96","18","18","30","15","4","1","20","4","348","58","0","0"
"운영병상(일반)","간호간병","89","17","1","1","4","2","0","0","0","0","84","14","0","0"
"운영병상(일반)","완화의료","29","8","1","1","0","0","28","7","0","0","0","0","0","0"
"운영병상(일반)","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","중환자","28","2","1","1","0","0","0","0","0","0","0","0","27","1"
"운영병상","격리병실","5","5","5","5","0","0","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","16","1","0","0","0","0","0","0","0","0","0","0","16","1"
"기타병상","수술실","8","8","0","0","0","0","0","0","0","0","0","0","8","8"
"기타병상","분만실","2","1","0","0","0","0","0","0","0","0","0","0","2","1"
"기타병상","신생아실","5","1","0","0","0","0","0","0","0","0","0","0","5","1"
"기타병상","인공신장실","31","1","0","0","0","0","0","0","0","0","0","0","31","1"
"기타병상","물리치료실","23","3","0","0","0","0","0","0","0","0","0","0","23","3"
"기타병상","회복실","7","1","0","0","0","0","0","0","0","0","0","0","7","1"
