구분,병동구분,병상 합계,병실 합계,1인실 병상,1인실 병실,2인실 병상,2인실 병실,4인실 병상,4인실 병실,5인실 병상,5인실 병실,6인실 병상,6인실 병실,기타 병상,기타 병실
운영병상(일반),일반병실,473,122,15,15,38,19,216,54,0,0,204,34,0,0
운영병상(일반),간호간병,0,0,0,0,0,0,0,0,0,0,0,0,0,0
운영병상(일반),완화의료,29,8,1,1,0,0,28,7,0,0,0,0,0,0
운영병상(일반),정신과폐쇄,0,0,0,0,0,0,0,0,0,0,0,0,0,0
운영병상,중환자,26,2,1,1,0,0,0,0,0,0,0,0,25,1
운영병상,격리병실,33,13,7,7,0,0,16,4,10,2,0,0,0,0
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,응급실,16,1,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,수술실,8,8,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,분만실,2,1,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,신생아실,5,1,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,인공신장실,31,1,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,물리치료실,36,4,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,회복실,7,1,0,0,0,0,0,0,0,0,0,0,0,0
