"구분","병동구분","1인실 병상","1인실 병실","2인실 병상","2인실 병실","4인실 병상","4인실 병실","5인실 병상","5인실 병실","6인실 병상","6인실 병실","기타 병상","기타 병실"
"허가병상","일반병실","14","14","34","17","220","55","0","0","120","20","0","0"
"허가병상","간호간병","1","1","4","2","0","0","0","0","84","14","0","0"
"허가병상","완화의료","1","1","0","0","28","7","0","0","0","0","0","0"
"허가병상","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0"
"허가병상","중환자","1","1","2","1","0","0","0","0","0","0","23","1"
"허가병상","격리병실","3","3","0","0","0","0","0","0","0","0","0","0"
"허가병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0"
"허가병상","계","20","20","40","20","248","62","0","0","204","34","23","1"
"기타병상","응급실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","수술실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","인공신장실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","물리치료실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","회복실","0","0","0","0","0","0","0","0","0","0","0","0"
