"병상구분","병실형태","병상합계","병실합계","특실 병상","특실 병실","1인실 병상","1인실 병실","2인실 병상","2인실 병실","3인실 병상","3인실 병실","4인실 병상","4인실 병실","5인실 병상","5인실 병실","6인실 병상","6인실 병실","기타 병상","기타 병실"
"운영병상","일반병실","396","93","0","0","16","16","0","0","0","0","152","38","30","6","198","33","0","0"
"운영병상","간호간병","45","12","0","0","1","1","0","0","0","0","44","11","0","0","0","0","0","0"
"운영병상","완화의료","18","6","0","0","1","1","2","1","3","1","12","3","0","0","0","0","0","0"
"운영병상","정신과폐쇄","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","",""
"운영병상","중환자","14","4","0","0","3","3","0","0","0","0","0","0","0","0","0","0","11","1"
"운영병상","격리병실","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","14","3","0","0","2","2","0","0","0","0","0","0","0","0","0","0","12","1"
"기타병상","수술실","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","인공신장실","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","1"
