"병상구분","병실형태","특실병상","특실병실","1인실병상","1인실병실","2인실병상","2인실병실","3인실병상","3인실병실","4인실병상","4인실병실","5인실병상","5인실병실","6인실병상","6인실병실","기타병상","기타병실"
"운영병상","일반병실","0","0","13","13","0","0","0","0","120","30","20","4","144","24","1","1"
"운영병상","간호간병","0","0","1","1","0","0","0","0","104","26","15","3","0","0","0","0"
"운영병상","완화의료","0","0","1","1","2","1","3","1","12","3","0","0","0","0","0","0"
"운영병상","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","중환자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","4"
"운영병상","격리병실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","3"
"기타병상","수술실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","인공신장실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","1"
