"구분","병동구분","병상 합계","병실 합계","특실 병상","특실 병실","1인실 병상","1인실 병실","2인실 병상","2인실 병실","3인실 병상","3인실 병실","4인실 병상","4인실 병실","5인실 병상","5인실 병실","6인실 병상","6인실 병실","기타 병상","기타 병실"
"운영병상(일반)","일반병실","211","44","1","1","4","4","0","0","0","0","56","14","0","0","150","25","0","0"
"운영병상(일반)","간호간병","85","17","0","0","0","0","0","0","0","0","8","2","65","13","12","2","0","0"
"운영병상(일반)","완화의료","16","7","0","0","1","1","6","3","9","3","0","0","0","0","0","0","0","0"
"운영병상(일반)","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","코로나전담병동","34","10","0","0","1","1","0","0","0","0","8","2","0","0","24","6","1","1"
"운영병상","중환자","13","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","2"
"운영병상","격리병실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1"
"기타병상","수술실","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","인공신장실","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","1"
"기타병상","회복실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
