구분,병동구분,병상합계,병실합계,특실병상,특실병실,1인실병상,1인실병실,2인실병상,2인실병실,3인실병상,3인실병실,4인실병상,4인실병실,5인실병상,5인실병실,6인실병상,6인실병실,기타병상,기타병실
운영병상(일반),일반병실,220,49,0,0,4,4,0,0,0,0,108,27,0,0,108,18,0,0
운영병상(일반),간호간병,85,19,0,0,0,0,0,0,0,0,40,10,45,9,0,0,0,0
운영병상(일반),완화의료,16,7,0,0,1,1,6,3,9,3,0,0,0,0,0,0,0,0
운영병상(일반),정신과폐쇄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
운영병상,중환자,13,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,1
운영병상,격리병실,14,5,0,0,2,2,0,0,0,0,12,3,0,0,0,0,0,0
운영병상,무균치료실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,응급실,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
기타병상,수술실,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
기타병상,분만실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,신생아실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기타병상,인공신장실,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
기타병상,회복실,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
