"구분","병동 구분","1인실 병상","1인실 병실","2인실 병상","2인실 병실","4인실 병상","4인실 병실","6인실 병상","6 인실 병실","8인실 병상","8인실 병실","기타 병상","기타 병실"
"운영병상(일반)","일반병실","13","13","0","0","20","5","312","52","48","6","0","0"
"운영병상(일반)","간호간병","0","0","0","0","0","0","0","0","48","6","0","0"
"운영병상(일반)","완화의료","0","0","2","2","2","1","0","0","16","4","0","0"
"운영병상","중환자","0","0","0","0","0","0","0","0","0","0","24","1"
"운영병상","격리병실","0","0","0","0","0","0","0","0","0","0","14","5"
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","0","0","0","0","0","0","0","0","0","0","13","1"
"기타병상","수술실","0","0","0","0","0","0","0","0","0","0","7","1"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","1","1"
"기타병상","인공신장실","0","0","0","0","0","0","0","0","0","0","26","1"
"기타병상","회복실","0","0","0","0","0","0","0","0","0","0","4","1"
"기타병상","물리치료실","0","0","0","0","0","0","0","0","0","0","19","1"
