"구분","병동 구분","병상 합계","병실 합계","특실 병상","특실 병실","1인실 병상","1인실 병실","2인실 병상","2인실 병실","3인실 병상","3인실 병실","4인실 병상","4인실 병실","5인실 병상","5인실 병실","6인실 병상","6인실 병실","기타 병상","기타 병실"
"운영병상(일반)","일반병실","764","177","1","1","3","3","62","31","3","1","40","10","655","131","0","0","0","0"
"운영병상(일반)","간호간병","45","11","1","1","0","0","4","2","0","0","0","0","40","8","0","0","0","0"
"운영병상(일반)","완화의료","28","8","0","0","1","1","0","0","3","1","24","6","0","0","0","0","0","0"
"운영병상(일반)","정신과폐쇄","60","12","0","0","0","0","0","0","12","4","0","0","0","0","48","8","0","0"
"운영병상","중환자","55","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55","3"
"운영병상","격리병실","27","13","0","0","5","5","4","2","18","6","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","음압실","7","7","0","0","7","7","0","0","0","0","0","0","0","0","0","0","0","0"
"기타병상","응급실","30","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","1"
"기타병상","수술실","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15"
"기타병상","분만실","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"기타병상","신생아실","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1"
"기타병상","인공신장실","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1"
