"병상구분","구분","합계병상","합계병실","특실병상","특실병실","1인실병상","1인실병실","2인실병상","2인실병실","3인실병상","3인실병실","4인실병상","4인실병실","5인실병상","5인실병실","6인실병상","6인실병실","기타병상","기타병실"
"운영병상","일반병실","622","148","1","1","7","7","42","21","18","6","44","11","510","102","","","",""
"운영병상","간호간병","181","44","1","1","","","18","9","","","160","32","","","","","2","2"
"운영병상","완화의료","28","8","","","1","1","","","3","1","24","6","","","","","",""
"운영병상","정신과폐쇄","60","12","","","","","","","12","4","","","","","48","8","",""
"운영병상","중환자실","54","2","","","","","","","","","","","","","","","54","2"
"운영병상","격리병실","21","11","","","5","5","4","2","12","4","","","","","","","",""
"운영병상","무균치료실","2","2","","","2","2","","","","","","","","","","","",""
"운영병상","음압격리실","5","5","","","","","","","","","","","","","","","5","5"
"기타병상","응급실","25","1","","","","","","","","","","","","","","","25","1"
"기타병상","수술실","15","15","","","","","","","","","","","","","","","15","15"
"기타병상","분만실","1","1","","","","","","","","","","","","","","","1","1"
"기타병상","신생아실","6","1","","","","","","","","","","","","","","","6","1"
"기타병상","인공신장실","25","1","","","","","","","","","","","","","","","25","1"
