상태,대분류,중분류,소분류,항목코드,항목명칭,의료기관사용코드,의료기관사용명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,특이사항,최종변경일,고지시작일,고지종료일,등록일
고지중,약제비,,,050900011,미노큐어치과용연고(미노사이클린염산염),DMC-DO2,미노큐어치과용연고(미노사이클린염산염)(0.25그램),,4490,,,,,,,2022-08-11,9999-12-31,2022-08-11
고지중,약제비,,,056400041,스카이조스터주(대상포진생바이러스백신),MZOSTA,스카이조스터주(대상포진생바이러스백신),,140000,,,,,,2022-08-02,2021-10-08,9999-12-31,2023-04-24
고지중,약제비,,,056400051,스카이바리셀라주(수두생바이러스백신),MBIKEN24,스카이바리셀라주(수두생바이러스백신),,30000,,,,,,2023-04-24,2020-02-04,9999-12-31,2023-04-24
고지중,약제비,,,621400210,소노뷰주(설파헥사플루오라이드),5419900110,소노뷰주(설파헥사플루오라이드)(225마이크로그램),,93141,,,,,,,2019-11-01,9999-12-31,2022-02-09
고지중,약제비,,,622900010,카티스템(동종제대혈유래중간엽줄기세포),4012400834,카티스템(동종제대혈유래중간엽줄기세포)(1.5밀리리터),,4776750,,,,,,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,629600010,피디뷰주사(플루오로프로필씨아이티(18F)),5330100002,피디뷰주사(플루오로프로필씨아이티(18F)),,208482,,,,,,,2022-07-01,9999-12-31,2022-07-04
고지중,약제비,,,641100030,레비트라정10밀리그램(바데나필염산염),DLEVIT10,레비트라정10밀리그람(염산바데나필)(10밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641100040,레비트라정20밀리그램(바데나필염산염),DLEVIT20,레비트라정20밀리그람(염산바데나필)(20밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641100050,레비트라정5밀리그램(바데나필염산염),DLEVIT5,레비트라정5밀리그람(염산바데나필)(5밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641100600,미레나20마이크로그람/일(레보노르게스트렐),3012200004,미레나20마이크로그람/일(레보노르게스트렐)(52밀리그램),,87412,,,,,,2021-06-11,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641104750,야즈정,DYAZ,야즈정(3밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641105710,레비트라구강붕해정10밀리그램(바데나필염산염),DLEVIT10S,레비트라구강붕해정10밀리그램(바데나필염산염)(10밀리그램),,,,,,,원외처방,,2020-02-04,9999-12-31,2022-02-09
고지중,약제비,,,641605991,오메크린크림(퍼메트린),DOMECLEAN,오메크린크림(퍼메트린)(30그램),,6644,,,,,,2022-11-01,2022-08-01,9999-12-31,2022-10-31
