"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대","약제비포함여부","특이사항"
"대전","상급병실료(차액)","1인실","ABZ010001","","","70000","165870","N","N",""
"대전","처치 및 수술료 등신경","경피적 풍선확장 경막외강 신경성형","SZ6410000","","938624","","","N","N","재료대 포함"
"대전","치과의 보철료","크라운-Zirconia","atACT000009","","550000","","","N","N",""
"대전","시기능검사","눈의 계측검사","atACT000008","","50000","","","N","N",""
"대전","신경계 기능검사","언어전반진단검사","atACT000007","","25000","","","N","N",""
"대전","기타 이학요법료","언어치료","SZ03402-SZ03401","","","10000","25000","N","N",""
"대전","정신요법료","광치료","atACT000006","","15000","","","N","N",""
"대전","검체검사료","기타 검사-인플루엔자바이러스 A&B [실시간 중합효소연쇄반응]","atACT000005","","119300","","","N","N",""
"대전","검체검사료","기타 검사-아데노바이러스 [실시간 중합효소연쇄반응]","atACT000004","","61388","","","N","N",""
"대전","검체검사료","Chromosomal(양수)","atACT000003","","474152","","","N","N",""
"대전","입원환자 식대","보호자식대(일반식,1식)","WZ00100","","6000","","","N","N",""
"대전","입원환자 식대","보호자식대(공기밥,1개)","WZ00200","","1000","","","N","N",""
"대전","혈관[동맥 또는 정맥]","사지혈관-조영제주입전·후 촬영판독","HE239","","400000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","혈관[동맥 또는 정맥]","사지혈관-일반","HE139","","400000","","","N","N","급여 인정기준 외 실시한 경우 비급여"
"대전","처치 및 수술료 등피부 및 연부조직","IPL (허벅지 양측-제모) - 비급여","HZDE01400B","","300000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","IPL (얼굴전체) - 비급여","HZDE00501","","300000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","IPL (이마제외 얼굴전체) - 비급여","HZDE00502","","200000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","IPL (겨드랑이 양측-제모) - 비급여","HZDE00600B","","150000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","박피술 [화학] [대]","HZDE01901","","100000","","","N","N",""
"대전","처치 및 수술료 등피부 및 연부조직","IPL(코밑수염제모-여자)1 회째","HZDE01101","","100000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","IPL (코주변만) - 비급여","HZDE00503","","100000","","","N","N","부가가치세 별도"
"대전","처치 및 수술료 등피부 및 연부조직","박피술 [화학] [중]","HZDE01902","","50000","","","N","N",""
