병원,분류,명칭,코드,비용,최저비용,최고비용,치료재료대,약제비포함여부,특이사항
대전,약제비,스카이조스터주(대상포진생바이러스백신)(0.5밀리리터),MZOSTA,140000,,,,,
대전,약제비,카티스템(동종제대혈유래중간엽줄기세포)(1.5밀리리터),4010300054,6050000,,,,,
대전,약제비,아세트펜프리믹스주(아세트아미노펜)(100밀리리터),MAAPNS,7958,,,,,
대전,약제비,오메크린크림(퍼메트린),DOMECLEAN,5419,,,,,
대전,약제비,아진탈정(군납명:아진타미드판크레아틴셀루라제정)(50밀리그램),DAZT,12,,,,,
대전,약제비,일양실데나필정50밀리그램(실데나필시트르산염)(50밀리그램),DSILDE50,7480,,,,,
대전,약제비,일양실데나필정100밀리그램(100밀리그램),DSILDE100,3826,,,,,
대전,약제비,삐콤정(6밀리그램),DBC,11,,,,,
대전,약제비,파자임-95밀리그램이중정,DPZM,77,,,,,
대전,약제비,익스트린엠캡슐(325밀리그램),DMYDR,90,,,,,
대전,약제비,베스타제당의정(75밀리그램),DBST,27,,,,,
대전,약제비,주블리아외용액(에피나코나졸),DEFINAIL,,,,,,
대전,약제비,푸레파인연고(28그램),DPREPAO,3162,,,,,
대전,약제비,케어가글액(벤제토늄염화물),0DCARE,600,,,,,
대전,약제비,구구정20mg(한미약품(주)),DTADA20,2108,,,,,
대전,약제비,유락신연고(크로타미톤),DTAMI,31,,,,,
대전,약제비,헤파빅주(비형간염사람면역글로불린)(수출명:헤파글로브)(1밀리리터),MHBIG,33321,,,,,
대전,약제비,녹십자-일본뇌염백신주(수출명:재패니즈엔세팔리티스백신-지씨씨주나가박젠세박)(1밀리리터),MJBE,30000,,,,,
대전,약제비,녹십자-세포배양일본뇌염백신주(건조세포배양일본뇌염백신)(0.4밀리리터),MJBEC04,30000,,,,,
대전,약제비,액티피드정(60밀리그램),DACT,34,,,,,
대전,약제비,크레온캡슐40000(판크레아스분말),DCREON40,527,,,,,
대전,약제비,파라손연고(푸시딘산나트륨),DFCDO,330,,,,,
대전,약제비,레밋치구강붕해정2.5마이크로그램(날푸라핀염산염),DREMITCH,3908,,,,,
대전,약제비,크린조(염화나트륨)(1000밀리리터),MKLEN,840,,,,,
대전,약제비,아미티자연질캡슐24㎍(루비프로스톤)_(0.024mg/1캡슐),DLUBIP,1183,,,,,
대전,약제비,플로실헤모스태틱매트릭스,DFLOS,213174,,,,,
대전,약제비,오스테민캅셀(결정황산글루코사민)(250밀리그램),DOST,1,,,,,
대전,약제비,그린관장약(농글리세린)(수출명:FIT-APO),D50GLY,451,,,,,
대전,약제비,그린백색바셀린(원료),DVASE100,400,,,,,
대전,약제비,카버젝트주사20마이크로그람(알프로스타딜)(20마이크로그램),MALP20,14945,,,,,
대전,약제비,테라마이신안연고(3.5그램),DOXYEO,217,,,,,
대전,약제비,프리베나13주(폐렴구균씨알엠(CRM197)단백접합백신),MPVENAR-A,90000,,,,,
대전,약제비,인판릭스주(흡착디프테리아파상풍톡소이드및정제백일해혼합백신)(0.5밀리리터),MPDT05,30000,,,,,
대전,약제비,스티바에이크림0.05%(트레티노인),DTRE5,517,,,,,
대전,약제비,스티바에이크림0.025%(트레티노인),DTRE2.5,153,,,,,
대전,약제비,싱그릭스주[대상포진바이러스백신(유전자재조합)](0.5밀리리터),MSHINGRIX,200000,,,,,
대전,약제비,서카톤피알서방정2밀리그램(멜라토닌),DMELATONIN,625,,,,,
대전,약제비,바리엘백신주(수두백신)/Vial   ,MBIKEN,30000,,,,,
대전,약제비,부롬정5밀리그람(브롬페리돌)(수출용)(5밀리그램),DBPD5,58,,,,,
대전,약제비,프록토세딜연고,DPROO,1005,,,,,
대전,약제비,"멘비오(수막구균 A,C,W135 & Y-CRM197 단백 접합백신)",MMENVEO,130000,,,,,
대전,약제비,신일비사코딜정(5밀리그램),5080100014,20,,,,,
대전,약제비,액상하이랙스주(히알루로니다제)(1밀리리터),MHLASE-L,14481,,,,,
대전,약제비,가다실프리필드시린지[인유두종바이러스4가(6111618형)백신(유전자재조합)](0.5밀리리터),MGDS,120000,,,,,
대전,약제비,로타텍액[경구용약독화로타생바이러스백신(사람-소재배열)],DROTAV,100000,,,,,
대전,약제비,엠엠알II(홍역유행성이하선염및풍진혼합생바이러스백신)(0.5밀리리터),MMMR2,30000,,,,,
대전,약제비,박타프리필드시린지(A형간염백신)(0.5밀리리터),MHAV,30000,,,,,
대전,약제비,박타프리필드시린지(A형간염백신)(1밀리리터),MHAV1,70000,,,,,
대전,약제비,브리디온주(슈가마덱스나트륨)(2밀리리터),MBRID2,73413,,,,,
대전,약제비,"가다실 9 프리필드시린지[인유두종바이러스9가(6, 11, 16, 18, 31, 33, 45, 52, 58형)백신(유전자재조합)] (0.5밀리리터)",MGDS9,180000,,,,,
대전,약제비,프로디악스-23프리필드시린지(폐렴구균백신),MPNEUMO,50000,,,,,
대전,약제비,비급여)코티소루주 (한올바이오파마(주)),MSOLUC,2348,,,,,
대전,약제비,설간-구구좌제(200밀리그램),DSGP,152,,,,,
대전,약제비,백색바셀린,DVASE,8,,,,,
대전,약제비,덱스메딘주(덱스메데토미딘염산염)(2밀리리터),MPRECEDEX,24179,,,,,
대전,약제비,예나스테론주(테스토스테론에난테이트),MTESTOE,4397,,,,,
대전,약제비,로와콜연질캅셀(32밀리그램),DROWA,352,,,,,
대전,약제비,오라팡정,DORAFA,10683,,,,,
대전,약제비,타스나정(탄산수소나트륨)(500밀리그램),DBIVONT,24,,,,,
대전,약제비,이모박스폴리오주(개량불활폴리오백신)(0.5밀리리터),MIMOPV,30000,,,,,
대전,약제비,테트락심주,MTETRA,50000,,,,,
대전,약제비,펜탁심주,MPENTAXIM,70000,,,,,
대전,약제비,박씨그리프테트라주(인플루엔자분할백신)(0.5밀리리터),MFLU4-A,30000,,,,,
대전,약제비,아다셀프리필드시린지(성인용흡착디프테리아파상풍톡소이드및정제백일해혼합백신),MADAC,40000,,,,,
대전,약제비,유박스비주(B형간염백신유전자재조합)(수출명:리콤박스주헤파티박스주RecombinantHepatitisBVaccine엘지유박스비주)(0.5밀리리터),MHBVC,20000,,,,,
대전,약제비,유히브주(헤모필루스인플루엔자비형·파상풍톡소이드접합백신),MHPIB,30000,,,,,
대전,약제비,유박스비프리필드주[B형간염백신(유전자재조합)],MHBV,30000,,,,,
대전,약제비,다케다알보칠콘센트레이트액,DALBO,539,,,,,
대전,약제비,보령세포배양일본뇌염백신주(건조세포배양일본뇌염백신),MJBEC,40000,,,,,
대전,약제비,시알리스정20밀리그램(타다라필)(20밀리그램),DCIAL2,11210,,,,,
대전,약제비,디티부스터주_(0.5mL),MTD,30000,,,,,
대전,약제비,아젤리아크림(아젤라산),DAZEL,680,,,,,
대전,약제비,탈리제정5밀리그램(미로가발린베실산염),DTALEAJE5,627,,,,,
대전,약제비,파이브로베인주3%(테트라데실황산나트륨)(2밀리리터),MTROMBO3,17718,,,,,
대전,행위료,1인실,A2Z0010201,157590,,,,,
대전,치료재료대,HISTOACRYL 1050060,BB3001BP,42599,,,,,수가종료
대전,치료재료대,DBX PUTTY,BC0101AT,,434642,869290,,,
대전,치료재료대,RAFUGEN DBM GEL,BC0101BU,,404080,1400000,,,수가종료
대전,치료재료대,ORTHOBLAST ∥ PASTE,BC0101IE,,388987,886210,,,수가종료
대전,치료재료대,"BONGENER, CGDBM DEEP, EL FUSE INJECTABLE",BC0102QT,,345000,855000,,,
대전,치료재료대,"XGEN GRAFT, CAREFUSE-C",BC0105ED,400000,,,,,수가종료
대전,치료재료대,DYNAGRAFT Ⅱ,BC0202IE,,384957,919899,,,수가종료
대전,치료재료대,TRABECULAR METAL FEMORAL CONE AUGMENT,BE4303DL,1940000,,,,,
대전,치료재료대,DISCOCERV,BF0001DB,4300000,,,,,수가종료
대전,치료재료대,PRODISC-C,4010600023,3700000,,,,,
대전,치료재료대,ADCON-GEL,BF0101AY,660000,,,,,
대전,치료재료대,큐블럭(QBLOCK),4010400087,660000,,,,,
대전,치료재료대,PD50K PLD STANDARD PACK,4010400095,1550000,,,,,
대전,치료재료대,일회용 발 조절식 전기수술기용 전극,BF0201SH,1597688,,,,,
대전,치료재료대,YES C DISC,BF0202SH,1597688,,,,,
대전,치료재료대,RF-CURER,BF0202XP,867097,,,,,
대전,치료재료대,DRAIN KEEPER,BJ1001BL,3082,,,,,수가종료
대전,치료재료대,MULTIFIX L-Ⅰ,BJ1009GA,2940,,,,,
대전,치료재료대,ACE GRIP ENDO FIX,BJ1010CO,7400,,,,,수가종료
대전,치료재료대,VNUS CLOSURE FAST,4010200099,880000,,,,,하지정맥류 고주파정맥내막폐쇄술시 사용
대전,치료재료대,VENASEAL CLOSURE SYSTEM,4010200076,1639000,,,,,
대전,치료재료대,OPTICROSS CORONARY IMAGING CATHETER,BJ4503BM,1090400,,,,,20230102수가종료
대전,치료재료대,OPTICROSS HD CORONARY IMAGING CATHETER,5419900049,1570000,,,,,
대전,치료재료대,ABEL EPIDURAL CATHETER,BJ4801GZ,509976,,,,,
대전,치료재료대,ASAN-ZINEU BALLOON CATHETER,BJ4801NX,792000,,,,,
대전,치료재료대,EPISOL,BJ4803GZ,638624,,,,,
대전,치료재료대,I-GEL SUPRAGLOTTIC AIRWAY,BK4202DC,53800,,,,,수가종료
대전,치료재료대,PEHA-HAFT,BK7101DQ,567,,,,,
대전,치료재료대,3M COBAN SELF-ADHERENT WRAP,BK7101EA,1435,,,,,
대전,치료재료대,PEHA-HAFT,BK7104DQ,1045,,,,,
대전,치료재료대,PEHA-HAFT,BK7105DQ,829,,,,,
대전,치료재료대,PEHAHAFT LATEX FREE,3011200161,16080,,,,,
대전,치료재료대,PEHAHAFT LATEX FREE,3011200160,2468,,,,,
대전,치료재료대,3M NO STING BARRIER FILM,BL3004EA,5740,,,,,
대전,치료재료대,PRO ROOT MTA,BL7601NM,59930,,,,,
대전,치료재료대,NASOPORE,BM2201IE,,66500,115104,,,
대전,치료재료대,STERI STRIP REINFORCED SKIN CLOSURE,BM5003EM,1269,,,,,수가종료
대전,치료재료대,엘라반멸균반창고,BM5008JK,1070,,,,,
대전,치료재료대,큐어패드,BM5020HF,,690,1090,,,
대전,치료재료대,웰픽스롤 반창고,BM5101BY,235,,,,,
대전,치료재료대,3M SOFT CLOTH WITH LINER,3011200063,5600,,,,,
대전,치료재료대,베지코트(VESICOAT),3011500045,95000,,,,,
대전,치료재료대,베지코트(VESICOAT),3011500046,146250,,,,,
대전,행위료,실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A,C6095,44742,,,,,
대전,행위료,프로인슐린,LWCZ206,83393,,,,,
대전,행위료,PAPP-A [정밀면역검사](정량),LWZ0015,32200,,,,,
대전,행위료,항GM1항체 [IgG],LWZ0002,19000,,,,,
대전,행위료,p2PSA,LZW0058,84490,,,,,
대전,행위료,인플루엔자 A·B 바이러스항원검사 [현장검사],LZ00900,25000,,,,,
대전,행위료,항GD1b항체 [IgM],LWZ0006,19000,,,,,
대전,행위료,H1N1 RT PCR,LWZ01000,56560,,,,,
대전,행위료,눈의계측검사(편측)초음파 이용 by Ultrasonography,SE7800,50000,,,,,
대전,행위료,진정내시경 환자관리료 Ⅰ ,SEA001,59020,,,,,"직장, S상 결장경 검사"
대전,행위료,진정내시경 환자관리료 Ⅱ,SEA002,85630,,,,,상부소화관내시경검사
대전,행위료,진정내시경 환자관리료 Ⅲ,SEA003,131240,,,,,"결장경, 담도경, ERCP 내시경적역행성 담췌관조영술"
대전,행위료,진정내시경 환자관리료 Ⅳ,SEA004,181510,,,,,"기본기관지경검사, ERCP 경유두적담(췌)관경검사"
대전,행위료,"초음파,근골격계,간단",SZ09301,30000,,,,,
대전,행위료,단순초음파(Ⅰ),SEB401,,15540,30000,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,단순초음파(Ⅱ),SEB402,31080,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,두경부-안 초음파-안구,SEB411,91670,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,두경부-안 초음파-안와,SEB412,91670,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,두경부-경부 초음파-갑상선·부갑상선,SEB414,92020,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,두경부-경부 초음파-갑상선·부갑상선 제외한 경부,SEB415,92020,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,두경부-비·부비동 초음파,SEB416,60790,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,흉부-유방·액와부 초음파,SEB421,124010,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,흉부-유방·액와부 제외한 흉부 초음파,SEB422,85770,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-선천성 심질환 경흉부 심초음파,SEB430,106090,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-경흉부 심초음파-단순,SEB431,112010,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-경흉부 심초음파-일반,SEB432,176810,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-경흉부 심초음파-전문,SEB433,257800,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-부하 심초음파-약물부하,SEB434,521460,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-부하 심초음파-운동부하,SEB435,495810,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,심장-태아정밀 심초음파,SEB436,387390,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,제한적초음파-복부-(일반)간·담낭·담도·비장·췌장,SEB441001,61060,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-간·담낭·담도·비장·췌장-일반,SEB441,122110,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-간·담낭·담도·비장·췌장-정밀,SEB442,181340,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-충수,SEB443,111460,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-소장·대장,SEB444,111540,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-서혜부,SEB445,77020,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-직장·항문,SEB446,131280,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-복부 초음파-항문 ,SEB447,109390,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-비뇨기계 초음파-신장·부신·방광,SEB448,98230,,,,,급여 인정기준 외 실시한경우 비급여
대전,행위료,복부-비뇨기계 초음파-(도플러)신장·부신,SEB44901,97650,,,,,급여 인정기준 외 실시한경우 비급여
