"대분류","중분류","소분류","명칭","코드","비용","최저비용","최고비용","특이사항"
"행위료","상급병실료","상급병실료","병원 1인실 입원료","AB902","","147360","217170","일반과/내소정 /간호간병구분"
"행위료","기본진료료","교육상담료","교육및상담료[당뇨병 교육]","HZGT00102","20000","","",""
"행위료","검사료","신경계 기능검사","자율신경계이상검사발살바법","FY8920000","30000","","",""
"행위료","검사료","신경계 기능검사","자율신경계이상검사심박변이도검사","FY8940000","30000","","",""
"행위료","검사료","외피, 근골 기능 검사","체온열검사부분","EZ7760002","50000","","",""
"행위료","검사료","시기능검사","눈의 계측검사[편측]초음파 이용","E78000000","50000","","",""
"행위료","검사료","시기능검사","눈의 계측검사[편측]레이저 간섭계 이용","E78010000","50000","","",""
"행위료","검사료","시기능검사","안구광학단층촬영[편측]","EZ796","50000","","",""
"행위료","검사료","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","","30000","50000","1부위/ 2부위"
"행위료","검사료","내시경","진정내시경 환자관리료 Ⅰ ","EA001","54960","","",""
"행위료","검사료","내시경","진정내시경 환자관리료 Ⅱ","EA002","79730","","",""
"행위료","검사료","내시경","진정내시경 환자관리료 Ⅲ","EA003","122190","","",""
"행위료","검사료","내시경","진정내시경 환자관리료 Ⅳ","EA004","168990","","",""
"행위료","검사료","감염증 기타검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","25000","","",""
"행위료","검사료","감염증 기타검사","(신속항원검사비급여)SARSCoV2 항원검사[일반면역검사]간이검사","LZ01000","25000","","",""
"행위료","검사료","평형 및 청각 기능검사","비디오전기안진검사","FZ733","","27000","103500","검사방법에 따라"
"행위료","검사료","평형 및 청각 기능검사","균형훈련","FZ00200","8000","","",""
"행위료","검사료","평형 및 청각 기능검사","균형검사","FZ00100","10000","","",""
"행위료","초음파 검사료","초음파 검사료","단순초음파Ⅰ","EB401","15910","","",""
"행위료","초음파 검사료","초음파 검사료","단순초음파Ⅱ","EB402","31830","","",""
"행위료","초음파 검사료","초음파 검사료","두경부안 초음파안구","EB411","93900","","",""
"행위료","초음파 검사료","초음파 검사료","두경부안 초음파안와","EB412","93900","","",""
"행위료","초음파 검사료","초음파 검사료","두경부경부 초음파갑상선·부갑상선","EB414","94250","","",""
"행위료","초음파 검사료","초음파 검사료","두경부경부 초음파갑상선·부갑상선 제외한 경부","EB415","94250","","",""
"행위료","초음파 검사료","초음파 검사료","두경부비·부비동 초음파","EB416","62250","","",""
"행위료","초음파 검사료","초음파 검사료","흉부유방·액와부 초음파","EB421","127010","","",""
"행위료","초음파 검사료","초음파 검사료","흉부유방·액와부 제외한 흉부 초음파","EB422","87840","","",""
"행위료","초음파 검사료","초음파 검사료","흉부유방·액와부 제외한 흉부 초음파(정밀)","EB423","177820","","",""
"행위료","초음파 검사료","초음파 검사료","심장경흉부 심초음파단순","EB431","114720","","",""
"행위료","초음파 검사료","초음파 검사료","심장경흉부 심초음파일반","EB432","181080","","",""
"행위료","초음파 검사료","초음파 검사료","심장경흉부 심초음파전문","EB433","264040","","",""
"행위료","초음파 검사료","초음파 검사료","심장부하 심초음파약물부하","EB434","534080","","",""
"행위료","초음파 검사료","초음파 검사료","심장부하 심초음파운동부하","EB435","507820","","",""
"행위료","초음파 검사료","초음파 검사료","진단초음파복부(일반)간·담낭·담도·비장·췌장","EB441","125060","","",""
"행위료","초음파 검사료","초음파 검사료","진단초음파복부(정밀)간·담낭·담도·비장·췌장","EB442","185730","","",""
"행위료","초음파 검사료","초음파 검사료","복부복부 초음파충수","EB443","114160","","",""
"행위료","초음파 검사료","초음파 검사료","복부복부 초음파소장·대장","EB444","114250","","",""
"행위료","초음파 검사료","초음파 검사료","복부복부 초음파서혜부","EB445","78870","","",""
"행위료","초음파 검사료","초음파 검사료","복부복부 초음파직장·항문","EB446","134450","","",""
"행위료","초음파 검사료","초음파 검사료","복부복부 초음파항문 ","EB447","112040","","",""
"행위료","초음파 검사료","초음파 검사료","복부비뇨기계 초음파신장·부신·방광","EB448","100610","","",""
"행위료","초음파 검사료","초음파 검사료","복부비뇨기계 초음파신장·부신","EB449","90920","","",""
"행위료","초음파 검사료","초음파 검사료","복부비뇨기계 초음파방광","EB450","82020","","",""
"행위료","초음파 검사료","초음파 검사료","복부남성생식기 초음파전립선·정낭","EB451","118000","","",""
"행위료","초음파 검사료","초음파 검사료","복부남성생식기 초음파전립선·정낭경복부로 실시","EB452","65620","","",""
"행위료","초음파 검사료","초음파 검사료","복부남성생식기 초음파음경","EB453","92710","","",""
"행위료","초음파 검사료","초음파 검사료","복부남성생식기 초음파음낭","EB454","92710","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파손가락(편측)","EB461","66680","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파발가락(편측)","EB462","66680","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파주관절(편측)","EB463","73450","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파무릎관절(편측)","EB464","73450","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파고관절(편측)","EB465","91980","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파견관절(편측)","EB466","91980","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파손목관절(편측)","EB467","91980","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파발목관절(편측)","EB468","91980","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부관절 초음파류마티스성 질환에 의한 다발성 관절염 진단 또는 평가","EB469","142690","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부연부조직 초음파일반","EB470","66680","","",""
"행위료","초음파 검사료","초음파 검사료","근골격, 연부연부조직 초음파정밀","EB471","85630","","",""
"행위료","초음파 검사료","초음파 검사료","혈관뇌혈류 초음파","EB481","132370","","",""
"행위료","초음파 검사료","초음파 검사료","혈관두개외 혈관 도플러 초음파경동맥","EB482","113000","","",""
"행위료","초음파 검사료","초음파 검사료","혈관두개외 혈관 도플러 초음파기타 동맥","EB483","59320","","",""
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파상지동맥","EB484","91040","","",""
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파상지정맥","EB485","91040","","",""
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파동정맥루의 혈류 및 협착 측정","EB486","46860","","",""
"행위료","초음파 검사료","초음파 검사료","혈관사지혈관 도플러 초음파하지동맥","EB487","144170","","",""
