"순번","행위구분","분류","명칭","코드","표준코드","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"1","[행위]처치 및 수술료 등","처치 및 수술료","자가 혈소판 풍부 혈장 치료술(Autologous Platelet Rich Plasma Application)","신의료기술","HZOS00400","200000","","","X","X",""
"2","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -고정기구","HD033","ROHD033(A~F)","134488","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"3","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -고정기구","HD033","ROHD033(A~F)","134488","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"4","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -보상체","HD032","ROHD032","291650","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"5","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -다엽콜리메이트","HD031","ROHD03101","82988","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"6","[행위]영상진단 및 방사선치료료","방사선치료료","치료 보조기구 -차폐물","HD031","ROHD031","82988","","","","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"7","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사 전산화치료계획(2회-3회) [1회당]","HD413","ROHD413","56275","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"8","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사 전산화치료계획(1회)","HD013","ROHD013","82588","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"9","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사기본치료계획(2회-3회) [1회당]","HD410","","31938","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"10","[행위]영상진단 및 방사선치료료","방사선치료료","1문조사기본치료계획(1회)","HD010","ROHD010","49925","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"11","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 4ports","HD053+HD056*3","ROHD05607","166550","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"12","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 3ports","HD053+HD056+HD056","ROHD05606","132600","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"13","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 2ports","ROHD053+ROHD056","ROHD05605","98650","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"14","[행위]영상진단 및 방사선치료료","방사선치료료","전자선-Electron 1port","HD053","ROHD05604","64700","","","X","X","미용성형 목적 시 비급여대상(감면제외항목)(부가가치세별도)"
"15","[행위]처치 및 수술료 등","처치 및 수술료","복강경 보조하 경항문 접근 직장 및 에스장 절제술","HZGS00200","HZGS00200","3600000","","","X","X",""
"16","[행위]검사료","기능검사료(소화기 기능검사)","간섬유화검사(Liver Fibroscan)","EZ829","SZ11600","90000","","","","",""
"17","[행위]검사료","기능 검사료(호흡기 기능검사)","호기 산화질소 측정","FZ672","SZ09701","50000","","","","",""
"18","[행위]검사료","내분비검사","항뮬러관호르몬[정밀면역검사]","D3730","LWD3730","52778","","","","",""
"19","[행위]검사료","병리검사료-사람유전자분리병리검사","사람유전자 분자병리검사-비유전성 유전자검사-메틸화특이중합효소연쇄반응","CZ5840000","PWCZ815","86910","","","X","X",""
"20","[행위]검사료","내분비검사","성호르몬결합글로불린","CZ202","LWCZ202","23499","","","","",""
"21","[행위]초음파 검사료","기본초음파-단순초음파","기본초음파-단순초음파(Ⅰ)","EB401","SEB401","16960","","","","","급여 인정기준 외 실시한 경우 비급여"
"22","[행위]초음파 검사료","기본초음파-단순초음파","기본초음파-단순초음파(Ⅱ)","EB402","SEB402","33930","","","","","급여 인정기준 외 실시한 경우 비급여"
"23","[행위]초음파 검사료","초음파 검사료","내시경 초음파를 이용한 세침 흡인 세포 검사","EZ992","SEZ992","800000","","","","",""
"24","[행위]초음파 검사료","초음파 검사료","복부-소아 복부 초음파(만8세 미만)","EB458","SEB458","242590","","","","",""
"25","[행위]초음파 검사료","초음파 검사료","유도초음파-(조영)유도초음파(Ⅳ)","EB564020","SEB564020","451690","","","","",""
"26","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅰ)","EB561","SEB561","57910","","","","","급여 인정기준 외 실시한 경우 비급여"
"27","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅱ)","EB562","SEB562","115810","","","","","급여 인정기준 외 실시한 경우 비급여"
"28","[행위]초음파 검사료","유도초음파-유도초음파","유도초음파-유도초음파(Ⅲ)","EB563","SEB563","138980","","","","","급여 인정기준 외 실시한 경우 비급여"
