"병원","분류","명칭","코드","구분","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"광주","상급병실료 차액","1인실","A2Z00101","입원료(1인실:병실차액)","70000","","","","","-"
"광주","상급병실료 차액","2인실","A2Z00202","입원료(2인실:병실차액)","40000","","","","","-"
"광주","감염증 기타 검사","인플루엔자 A·B 바이러스항원검사 [현장검사]","CZ394","-","25000","","","","","-"
"광주","내분비검사","PTH-rP","CZ192","-","19229","","","","","-"
"광주","내분비검사","PAPP-A 검사","CZ212","-","11227","","","","","-"
"광주","내분비검사","TS Ab(Thyroid stimulating)","CZ213","-","30675","","","","","-"
"광주","내분비검사","항뮬러관호르몬[불임,폐경]","CZ214","-","22423","","","","","위탁검사"
"광주","내시경","유관내시경검사","EZ936","-","","60000","250000","","","-"
"광주","내시경","수면내시경환자관리료","-","-","","50000","100000","","","-"
"광주","바이러스성 간염 혈청검사","C형간염항체(정밀)","C4872","C형간염 항체","17825","","","","","급여 인정기준 외 실시한 경우 비급여"
"광주","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","134225","","","","","-"
"광주","분자병리검사","기타검사-실시간역전사중합효소연쇄반응법-인플루엔자바이러스 A","C6095","Real-Time RT-PCR [Influenza Virus A]","53242","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-PMP22 유전자","CZ616","PMP22 유전자","99320","","","","","위탁검사"
"광주","분자병리검사","CADASIL","CZ619","-","","","","","","-"
"광주","분자병리검사","PARK2 gene mutation","CZ620","-","115517","","","","","-"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-FLT3  유전자, ITD","CZ634","유전자 돌연변이검사 -FLT3  유전자, ITD","29796","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-PKD2 유전자","CZ659","[유전자 염기서열검사]-PKD2 유전자","188937","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-AR 유전자","CZ663","[유전자 염기서열검사]-AR 유전자","164260","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-BRAF 유전자","CZ684","BRAF 유전자돌연변이검사","46604","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사 [유전자 염기서열검사]-NPM1 유전자","CZ707","유전자 돌연변이검사 -NPM1 유전자","55008","","","","","위탁검사"
"광주","분자병리검사","APC(가족성용종성대장암)","CZ718","-","244747","","","","","-"
"광주","분자병리검사","Real-time PCR bcr/abl(BM)","CZ809","-","61387","","","","","-"
"광주","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-MGMT 유전자 [메틸화특이중합효소연쇄반응]","CZ815","MGMT 유전자[메틸화특이중합효소연쇄반응]","176844","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-JAK2 유전자, V617F 돌연변이[대립유전자특이중합효소연쇄반응법]","CZ818","PCR of JAK2 mutation","19900","","","","","위탁검사"
"광주","분자병리검사","유전자 돌연변이검사[기타 검사]-유전자명별-PMP22 유전자,엑손결실/중복[MLPA법]","CZ827","PMP22 유전자,엑손결실/중복[MLPA법]","95500","","","","","위탁검사"
"광주","분자병리검사","HLA-B51 유전자","CZ909","-","20475","","","","","-"
"광주","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","ALK gene FISH","428194","","","","","위탁검사"
"광주","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","MDM2 FISH","118038","","","","","위탁검사"
"광주","분자병리검사","기타 검사-형광동소교잡반응검사[HER2 유전자 제외]","CZ967","BCL2  FISH gene","91451","","","","","위탁검사"
"광주","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 14종","63030","","","","","위탁검사"
"광주","분자병리검사","기타 검사-아데노바이러스 [다중역전사중합효소연쇄반응법]","CZ981","호흡기바이러스 PCR 9종","55008","","","","","위탁검사"
"광주","생식, 임신 및 분만","자궁경부확대촬영검사","EZ886","자궁경부촬영확대술","30000","","","","","-"
"광주","순환기 기능검사","동맥경화도검사(맥파전달속도측정)","EZ868","동맥경화도검사(조기검진용)","10000","","","","","-"
"광주","시기능검사","전산화각막형태검사[편측]","EZ791","각막형태(지형도)검사 [편측]","40000","","","","","-"
"광주","시기능검사","인도시아닌안저혈관조영술[편측]","EZ795","인도시아닌안저혈관조영술 [편측]","120000","","","","","-"
"광주","시기능검사","안구광학단층촬영","EZ796","안구광학단층촬영OCT [편측]","100000","","","","","-"
"광주","시기능검사","눈의 계측검사 (레이저간섭계 이용)","EZ797","인공수정체도수검사 IOL Master [편측]","50000","","","","","-"
"광주","신경계기능검사","증상 및 행동 평가 척도(불안척도)-신경증불안평가","FY705","신경증 불안평가","35000","","","","","-"
"광주","신경계기능검사","증상 및 행동 평가 척도(우울척도)-신경증우울평가","FY713","신경증 우울평가","35000","","","","","-"
"광주","신경계기능검사","증상 및 행동 평가 척도(기타)-한국판성격평가척도(KPAI)","FY739","한국판 성격평가척도","30000","","","","","-"
"광주","신경계기능검사","정량적감각기능검사(전류인지역치)","FY883","정량적감각기능검사(전류인지역치)Current Perception Threshold","30000","","","","","-"
"광주","신경계기능검사","자율신경계이상검사(심박변이도검사)","FY894","자율신경계이상검사(심박변이도검사-Heart Rate Variability Test)","10000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","연속수행력검사[시각]","30000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [시각]","FZ011","신호탐지 SIGNAL/SD","20000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","연속수행력검사[청각]","30000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-연속수행력검사 [청각]","FZ012","지속력 주의력검사 DAUF","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사 VIGIL","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사 [시각]","FZ021","경계력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-경계력검사[청각]","FZ022","경계력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-무시증후군검사","FZ023","무시증후군검사","25000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-기호잇기검사","FZ024","기호잇기검사","15000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-각성도 및 주의력검사-숫자-기호바꾸기검사","FZ025","숫자-기호바꾸기검사","15000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각","FZ031","토막두드리기검사(단기기억력검사)CORSI","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[시각]","FZ031","단기기억력검사[시각]","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-단기기억력검사[청각]","FZ032","단기기억력검사[청각]","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-캘리포니아 언어학습검사","FZ033","캘리포니아 언어학습검사","25000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-홉킨스 언어학습검사","FZ034","홉킨스 언어학습검사","35000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각재인검사 FVW","30000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-시각 학습검사","FZ035","시각 학습 검사","30000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-기억력검사-자서전적 기억평가면접","FZ036","자서전적 기억평가면접","30000","","","","","-"
"광주","신경계기능검사","신경인지기능검사-기억력검사-웩슬러 기억 평정척도","FZ037","웨슬러 기억 평정척도","45363","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 언어능력검사","FZ038","언어능력평가/기본30분까지","20000","","","","","(별표)신경인지 기능검사 반영"
"광주","신경계기능검사","신경인지기능검사-언어능력검사-성인 진단적 이해력검사","FZ039","성인 진단적 이해력 검사","20000","","","","","(별표)신경인지 기능검사 반영"
