"구분","분류","명칭","코드","비고","비용","최저비용","최고비용","치료재료대 포함여부","약제비 포함여부","특이사항"
"제증명수수료","","통원확인서[병명 기재]","AQA02602","통원확인서[병명 기재]","3000","","","","",""
"약제","해독제","브리디온주 2ml","MBRID2","","106713","","","N","N",""
"약제","발기부전치료제","일양셀데나필 100 mg","DSILDE100","","1455","","","N","N",""
"약제","중추신경용약","레밋치","DREMITCH","","3549","","","","",""
"약제","","하이드라섹산10mg","644206380","","514","","","","",""
"약제","","하이드라섹산30mg","644206370","","708","","","","",""
"약제","예방접종-인플루엔자","플루아릭스테트라프리필드시린지-4가","650003030","","30000","","","","Y",""
"약제","","노보-헬리젠 데포(유지용)--4vial/1box","","","360000","","","","","660000130 외 3종"
"약제","예방접종-폐렴구균","프리베나13주 0.5ml(사노피파스퇴르)폐렴-소아용","646500900","","100000","","","","Y",""
"약제","예방접종-인플루엔자","스카이셀플루4가 프리필드시린지-세포배양","644704380","","30000","","","","Y",""
"약제","예방접종-인플루엔자","플루백신V주 0.25ml(6~36개월 미만)-3가","670500350","","25000","","","","Y",""
"약제","예방접종-인플루엔자","플루백신V주 0.5ml(만3세이상)-3가","670500330","","25000","","","","Y",""
"약제","","노보-헬리젠 데포(초기용)-4vial/1box","","","330000","","","","","660000050 외 3종"
"치료재료","피부보호제","NDA Plus 3g (Spray)","BM3001RQ","","34000","","","N","N",""
"[행위]기본진료료","1인실 입원료(병실차액)","1인실 입원료(병실차액)","A2Z0010201","","150360","136110","150360","N","N",""
"[행위]기본진료료","상급병실료 차액","1인실","A2Z00102","입원료(1인실:병실차액)","70000","","","","",""
"[행위]기본진료료","1인실 입원료(병실차액)","1인실 입원료(병실차액)-간호간병(일반과)","A2Z0010203","간호간병입원료(일반과)","207230","","","N","N",""
"[행위]기본진료료","1인실 입원료(병실차액)","1인실 입원료(병실차액)-간호간병(내.소.정)","A2Z0010205","간호간병입원료(내.소.정)","219910","","","N","N",""
"[행위]이학요법료(물리치료료)","이학요법료","보툴리눔 독소 주사요법","FZ02300","","150000","","","","N",""
"치료재료","경막외강 신경박리술용","EPISOL","BJ4803GZ","","638624","","","","N",""
"치료재료","자착성(탄력)붕대","Peha-Haft (Latex Free) 4cm*20m","BK7111DQ","","","5000","25500","","","4cm,6cm,8cm,10cm.,12cm"
"치료재료","기타","홋이불(씨트)","","","9004","","","","",""
"치료재료","기타","환의 상하 한벌 (귀가용)","","","","9536","10745","","",""
"치료재료","혈관내영상카테타","85900P EAGLE EYE PLATINUM DIGITAL IVUS CATHETER","BJ4504JT","","1419830","","","","",""
"치료재료","혈관 중재적 시술후 지혈용","NONPNEUMATIC TOURNIQUET","BJ7001EW","","24874","","","","",""
"치료재료","척추극돌기간 고정용","YES DISC-cervical","BF0202SH","","1597688","","","","",""
"치료재료","척추극독기간 고정용","YES DISC-Lumbar","BF0201SH","","1597688","","","","",""
"[행위]처치 및 수술료 등","근골","체외충격파치료(근골격계질환)","SZ084","","","50000","100000","Y","Y","1부위100%,2부위50%,최대 200%까지만산정가능"
"약제","줄기세포","카티스템","622900010","","4776750","","","","",""
"[행위]자기공명영상진단료(MRI)","두경부","안면-일반","RMHE103","MRI Face","470000","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","특수검사","분광영상","RMHF103","MRI MR spectroscopy","228960","","","","",""
"[행위]자기공명영상진단료(MRI)","특수검사","분광영상-기본검사 동시","RMHF203","MR spectroscopy [기본MRI와 동시촬영]","131260","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","특수검사","영화 [3차원자기공명영상 포함]","RMHF104","MRI Cine","514270","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]기타","치아질환 처치","광중합 복합 레진 충전","JM0001T","Composite resin filling (light curing)","80000","","","","","JU0239, JU0240,JU0241　동일"
"제증명수수료","","소견서(노인장기요양보험)","AQA00202","노인장기요양보험(5등급예상 치매진단)의사소견서","51350","","","","","20180101"
"[행위]검사료","신경계기능검사","언어전반진단검사","SZ11500","언어전반진단검사","25000","","","","",""
"[행위]검사료","호흡기능검사","후각기능(인지 및 역치)검사","SZ09700","후각기능검사(인지및역치)","20000","","","","",""
"[행위]처치 및 수술료 등","치아질환 처치","치태조절 및 예방술식, 단순","JM0016T","plaque control","10000","","","","","단순,복잡으로 구분-초시행시 복잡,재시행시 단순으로산정"
"[행위]처치 및 수술료 등","치아질환처치","치태조절 및 예방술식, 복잡","JM0017T","plaque control, complex","30000","","","","","단순,복잡으로 구분-초시행시 복잡,재시행시 단순으로산정"
"[행위]자기공명영상진단료(MRI)","특수검사","확산","RMHF101","MRI Diffusion/단독촬영","228050","","","","",""
"약제","예방접종-자궁경부예방접종(9가)","가다실9 프리필드시린지(인유두종바이러스9가백신)","655501930","","200000","","","","Y",""
"[행위]이학요법료(물리치료료)","외피,근골기능검사","동작분석(생역학검사)","EZ774","","80000","","","Y","",""
"치료재료","피부봉합용 봉합기","Zipline Surgical Skin Closure (전규격)","BB3200DI","Zipline Surgical Skin Closure (8cm)　(16cm)","","152000","185000","","",""
"치료재료","인체조직(동종진피implant용)","SUREDERM 4*5,　4*8","BTS01314","","","1100000","1500000","","N",""
"치료재료","치과임플란트","AnyOne Angled Abutment","L7553024","","51378","","","","",""
"치료재료","치과임플란트","AnyOne EZ-Post","L7552038","","42753","","","","",""
"[행위]자기공명영상진단료(MRI)","특수검사","관류 [3차원자기공명영상 포함]-기본검사 동시","RMHF202","MRI Perfusion [기본MRI와 동시촬영]","190460","","","","",""
"[행위]자기공명영상진단료(MRI)","특수검사","관류 [3차원자기공명영상 포함]","RMHF102","MRI Perfusion [단독촬영","345770","","","","","조영제별도산정"
"[행위]검사료","기능검사(기타)","다주파수 바이오임피던스 분석법을 이용한 체수분 상태 측정","SZ05310","","15000","","","N","","신의료363"
"[행위]자기공명영상진단료(MRI)","특수검사","Dynamic","RMHF105","MRI ,Dynamic","400320","","","","","급여 인정기준 외 실시한 경우 비급여(조영제 별도산정)"
"[행위]자기공명영상진단료(MRI)","특수검사","기능적 [3차원자기공명영상 포함]","RMHF107","MRI Functional","591500","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","혈관","뇌혈관-[테슬라3.0이상+품질관리적합]","RMHI13503","3T-brain-MRA　[테슬라3.0이상+품질관리적합]","428330","","","","",""
"[행위]자기공명영상진단료(MRI)","혈관","뇌혈관-조영제 주입 전/후 촬영판독- [테슬라3.0이상+품질관리적합]","RMHI23503","MRI Brain Angio 조영제사용[테슬라3.0이상+품질관리적합]","569500","","","","N","조영제 별도산정"
"[행위]자기공명영상진단료(MRI)","혈관","경부혈관- [테슬라3.0이상+품질관리적합]","RMHI13603","","428330","","","","",""
"[행위]자기공명영상진단료(MRI)","혈관","경부혈관-조영제 주입 전/후 촬영판독-[테슬라3.0이상+품질관리적합]","RMHI23603","MRI Neck Angio 조영제사용[테슬라3.0이상+품질관리적합]","569500","","","","N","조영제 별도산정"
"[행위]처치 및 수술료 등","순환기","하지정맥류 고주파정맥내막폐쇄술 [편측]","HZGS00100A","","800000","","","","","재료대별도,　양측-1,300,000원"
"약제","알러지 & 면역관련 약물","티로신에스(유지용)","","","352000","","","","","20180801가격변동"
"[행위]자기공명영상진단료(MRI)","뇌","뇌-[테슬라3.0이상+품질관리적합]","RMHI10103","","392330","","","","",""
"[행위]자기공명영상진단료(MRI)","뇌","뇌-조영제 주입 전/후 촬영판독- [테슬라3.0이상+품질관리적합]","RMHI20103","MRI Brain 조영제사용- [테슬라3.0이상+품질관리적합]","521670","","","","N","조영제 별도산정"
"약제","알러지 & 면역관련 약물","티로신에스(초기용)","","","352000","","","","","20180801가격변동"
"[행위]자기공명영상진단료(MRI)","특수검사","확산-기본검사 동시","RMHF201","MRI Brain Diffusion [기본MRI와 동시촬영]","124850","","","","","급여 인정기준 외 실시한 경우 비급여"
"[행위]자기공명영상진단료(MRI)","두경부MRI","MRI 안면 Face 조영제 주입 전후 촬영료[테슬라3.0이상+품질관리적합]","RMHI20303","","613855","","","","Y","조영제포함(47,275원)"
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 안면 Face 촬영료 [테슬라3.0이상+품질관리적합]","RMHI10303","","426300","","","","N",""
"[행위]자기공명영상진단료(MRI)","두경부 MRI","MRI 부비동 PNS 조영제 주입 전후 촬영료 [테슬라3.0이상+품질관리적합]","RMHI20403","","613855","","","","Y","조영제포함(47,275원)"
